### 1.3.6.1.4.1.2011.5.2 hwtacacsClientCounter3
- **OID**: 1.3.6.1.4.1.2011.5.2
- **节点名称**: hwtacacsClientCounter3
- **数据类型**: Counter32
- **最大访问权限**: Read-Only
- **含义**: 客户端接收到的错误计费报文数。
- **实现规格**: 与MIB文件定义一致。

### 1.3.6.1.4.1.2011.5.2 hwtacacsClientAcctPendingPackets
- **OID**: 1.3.6.1.4.1.2011.5.2
- **节点名称**: hwtacacsClientAcctPendingPackets
- **数据类型**: Counter32
- **最大访问权限**: Read-Only
- **含义**: 超时时间段内服务器未响应的计费请求报文数。
- **实现规格**: 与MIB文件定义一致。

### 39.4 MIB Table 详细描述
**文档版本**: 06 (2017-09-12)  
**华为专有和保密信息**: 446  
**版权所有**: © 华为技术有限公司  
**CloudEngine 12800系列交换机**  
**MIB参考**: 39 HUAWEI-HWTACACS-MIB

### 39.4.1 hwtacacsTemplateTable 详细描述
该表的索引是hwtacacsClientTemplateIndex。

| OID | 节点名称 | 数据类型 | 最大访问权限 | 含义 | 实现规格 |
| --- | --- | --- | --- | --- | --- |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.1 | hwtacacsClientTemplateIndex | Unsigned32 (0..127) | Not-Accessible | HWTACACS模板的唯一标识。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.2 | hwtacacsClientTemplateName | OCTET STRING (SIZE (1..32)) | Read-Create | HWTACACS模板的名称。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.3 | hwtacacsClientSharedKey | OCTET STRING (SIZE (0..392)) | Read-Create | HWTACACS模板的共享密钥。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.4 | hwtacacsClientSourceIP | IpAddress | Read-Create | HWTACACS模板与服务器进行通信的源IP地址。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.5 | hwtacacsClientQuietTime | Unsigned32 | Read-Create | HWTACACS主服务器恢复激活状态的时间。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.6 | hwtacacsClientResponseTimeout | Unsigned32 (0..300) | Read-Create | HWTACACS服务器应答超时时间。缺省情况下，应答时间为5秒。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.7 | hwtacacsClientDomainNameIncluded | Integer32 (0..1) | Read-Create | 用户名格式中是否带域名。 | 与MIB文件定义一致。 |
| 1.3.6.1.4.1.2011.5.25.20.3.1.14.1.8 | hwtacacsClientRowStatus | RowStatus | Read-Create | 表示表项状态。若该状态为active，表示hwtacacsTemplateEntry表中的值可以被修改。 | 与MIB文件定义一致。 |

