以下是优化后的文本，使其更加清晰、连贯和专业：

| 操作系统/平台 | 战术 | 技术 | 详细描述 | 监控建议 |
| --- | --- | --- | --- | --- |
| Windows | 持久化 | 注册表运行键/启动文件夹 | APT3（G0022）将脚本放置在启动文件夹中以实现持久化。 | 监控Windows注册表和文件 |
| Windows | 防御规避 | DLL侧加载 | APT3（G0022）已知会使用有效版本的Chrome工具进行DLL侧加载。 | 监控进程网络使用情况、进程监控、已加载的DLL |
| Linux, macOS, Windows, GCP, Azure, AWS | 发现 | 远程系统发现 | APT3（G0022）拥有一个可以检测远程系统存在的工具。 | 网络协议分析、进程监控、进程网络使用情况、进程命令行参数 |
| Linux, macOS, Windows | 发现 | 文件和目录发现 | APT3（G0022）拥有一个可以查找本地文件系统中的文件和目录的工具。 | 文件监控、进程监控、进程命令行参数 |
| Linux, macOS, Windows | 命令与控制, 横向移动 | 远程文件复制 | APT3（G0022）拥有一个可以将文件复制到远程机器上的工具。 | 文件监控、数据包捕获、进程网络使用情况、Netflow/Enclave Netflow、网络协议分析、进程监控 |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | 防御规避, 持久化, 权限提升, 初始访问 | 有效账户 | APT3（G0022）在获取凭据后利用有效账户在受害者域内操作。 | AWS CloudTrail日志、Stackdriver日志、认证日志、进程监控 |
| Linux, macOS, Windows | 发现 | 进程发现 | APT3（G0022）拥有一个可以列出当前运行进程的工具。 | 进程监控、进程命令行参数 |
| Linux, macOS, Windows | 防御规避 | 混淆文件或信息 | APT3（G0022）混淆文件或信息以帮助逃避防御措施。 | 网络协议分析、进程网络使用情况、文件监控、恶意软件逆向工程、二进制文件元数据、进程命令行参数、环境变量、进程监控、Windows事件日志、网络入侵检测系统、电子邮件网关、SSL/TLS检查 |
| Linux, macOS, Windows, AWS, GCP, Azure AD, Azure, Office 365 | 持久化 | 创建账户 | APT3（G0022）已知会创建或启用账户，如support_388945a0。 | Office 365账户日志、Azure活动日志、AWS CloudTrail日志、进程监控、进程命令行参数、认证日志、Windows事件日志 |
| Windows | 持久化, 权限提升 | 新服务 | APT3（G0022）拥有一个可以创建新服务以实现持久化的工具。 | Windows注册表、进程监控、进程命令行参数、Windows事件日志 |
| Windows | 防御规避, 执行 | Rundll32 | APT3（G0022）拥有一个可以运行DLL的工具。 | 文件监控、进程监控、进程命令行参数、二进制文件元数据 |
| Linux, macOS, Windows | 数据渗漏 | 通过命令与控制通道渗漏 | APT3（G0022）拥有一个可以通过C2通道渗漏数据的工具。 | 用户界面、进程监控 |
| Linux, macOS, Windows, Office 365, Azure AD | 发现 | 权限组发现 | APT3（G0022）拥有一个可以枚举与Windows组相关的权限的工具。 | Azure活动日志、Office 365账户日志、API监控、进程监控、进程命令行参数 |
| Windows | 横向移动 | Windows管理员共享 | APT3（G0022）会将文件复制到Windows管理员共享（如ADMIN$）作为横向移动的一部分。 | 进程网络使用情况、认证日志、进程监控、进程命令行参数 |
| Linux, macOS, Windows, AWS, GCP, Azure | 凭证访问 | 文件中的凭证 | APT3（G0022）拥有一个可以在文件系统中找到Firefox或Chrome等浏览器中的凭证的工具。 | 文件监控、进程命令行参数 |
| Linux, macOS, Windows | 防御规避 | 文件删除 | APT3（G0022）拥有一个可以删除文件的工具。 | 文件监控、进程命令行参数、二进制文件元数据 |
| Linux, macOS, Windows | 收集, 凭证访问 | 输入捕获 | APT3（G0022）使用了一个记录加密文件中的按键记录的键盘记录工具。 | Windows注册表、内核驱动程序、进程监控、API监控 |
| Linux, macOS, Windows | 发现 | 系统网络配置发现 | APT3（G0022）使用的键盘记录工具从受害者处收集网络信息，包括MAC地址、IP地址、WINS、DHCP服务器和网关。 | 进程监控、进程命令行参数 |
