1537,03-17,16:15:51.189,2626,3066,D,PhoneInterfaceManager,getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq,E49,getAllCellInfo is blocked by permission manager . callingPackage = 
1538,03-17,16:15:51.192,2626,2643,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...
1539,03-17,16:15:51.199,2626,2643,I,PhoneInterfaceManager,shouldBlockLocation  ret:true,E129,shouldBlockLocation  ret:true
1540,03-17,16:15:51.200,2626,2643,D,PhoneInterfaceManager,getCellLocation is blocked by permission manager uid:10111 pid:28601,E50,getCellLocation is blocked by permission manager uid: pid:
1541,03-17,16:15:51.236,1702,2395,W,ActivityManager,getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller  does not hold REAL_GET_TASKS; limiting output
1542,03-17,16:15:51.359,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,E64,HBM brightnessIn =
1543,03-17,16:15:51.359,1702,1820,I,DisplayPowerController,HBM brightnessOut =38,E65,HBM brightnessOut =
1544,03-17,16:15:51.359,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200",E21,"Animating brightness: target=, rate="
1545,03-17,16:15:51.546,1702,2105,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261976180, event=2, flags=0x0, uid=1000",E164,"userActivityNoUpdateLocked: eventTime=, event=, flags=, uid="
1546,03-17,16:15:51.547,1702,2105,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=,adj=.0userId="
1547,03-17,16:15:51.659,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,E64,HBM brightnessIn =
1548,03-17,16:15:51.659,1702,1820,I,DisplayPowerController,HBM brightnessOut =38,E65,HBM brightnessOut =
1549,03-17,16:15:51.659,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200",E21,"Animating brightness: target=, rate="
1550,03-17,16:15:51.698,2227,2227,V,PhoneStatusBar,setLightsOn(true),E123,setLightsOn(true)
1551,03-17,16:15:51.699,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)",E126,"setSystemUiVisibility vis= mask= oldVal= newVal= diff= fullscreenStackVis= dockedStackVis=, fullscreenStackBounds=Rect(,  - , ), dockedStackBounds=Rect(,  - , )"
1552,03-17,16:15:51.708,2227,2227,V,PhoneStatusBar,setLightsOn(true),E123,setLightsOn(true)
1553,03-17,16:15:51.709,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)",E126,"setSystemUiVisibility vis= mask= oldVal= newVal= diff= fullscreenStackVis= dockedStackVis=, fullscreenStackBounds=Rect(,  - , ), dockedStackBounds=Rect(,  - , )"
