日志名称,日志信息,日志级别,日志含义
AAA/3/hwAdminLoginFailed_active,"AAA/3/hwAdminLoginFailed_active: Administrator type users login failed too frequently.(failed times=[hwLoginFailedTimes], statistic period=[hwStatisticPeriod] minutes)",Errors,管理类用户一段时间内登录失败次数达到指定的门限。
AAA/3/hwAdminLoginFailed_clear,"AAA/3/hwAdminLoginFailed_clear: Administrator type users login failed not frequently.(failed times=[hwLoginFailedTimes], statistic period=[hwStatisticPeriod] minutes)",Errors,管理类用户登录失败不再频繁。
AAA/5/ADD_NEW_USER_SECURITY,"AAA/5/ADD_NEW_USER_SECURITY: User was created. (OperatorName=[operateUserName], IPAddress=[IPAddr], NewUserName=[newUserName])",Notifications,AAA/5/ADD_NEW_USER_SECURITY
AAA/5/DELETE_USER_SECURITY,"AAA/5/DELETE_USER_SECURITY: User was deleted. (OperatorName=[OperatorName], IPAddress=[IPAddr], DeletedUserName=[DeletedUserName])",Notifications,AAA/5/DELETE_USER_SECURITY
AAA/5/PASSWORD_EXPIRED_LOG,AAA/5/PASSWORD_EXPIRED_LOG: The user's password has expired. (UserName=[UserName]),Notifications,AAA/5/PASSWORD_EXPIRED_LOG
AAA/5/USER_AGED,AAA/5/USER_AGED: User was aged. (UserName=[UserName]),Notifications,AAA/5/USER_AGED
AAA/5/USER_ATTRIBUTE_CHANGE,"AAA/5/USER_ATTRIBUTE_CHANGE: User attribute was changed. (OperatorName=[OperatorName], IPAddress=[IPAddr], User=[Username], Attribute=[UserAttribute], Previous=[Previous], Current=[Current])",Notifications,AAA/5/USER_ATTRIBUTE_CHANGE
AAA/5/USER_EXPIRED_LOG,AAA/5/USER_EXPIRED_LOG: User was expired. (UserName=[UserName]),Notifications,AAA/5/USER_EXPIRED_LOG
AAA/5/USER_LOCKED,"AAA/5/USER_LOCKED: User was locked. (User=[User], Continue failed times=[FailedTimes], Continue failed period=[FailedPeriod], Locked duration=[LockedDuration], Access type=[accessType])",Notifications,AAA/5/USER_LOCKED
AAA/5/USER_UNAGED,AAA/5/USER_UNAGED: The aged user was activated. (UserName=[UserName]),Notifications,AAA/5/USER_UNAGED
AAA/5/USER_UNLOCK,"AAA/5/USER_UNLOCK: User was unlocked. (User=[User], Activate mode=[UnlockMode])",Notifications,AAA/5/USER_UNLOCK
AM/4/hwAllocatedIpLimitReachAlarm_active,AM/4/hwAllocatedIpLimitReachAlarm_active: The number of allocated IP addresses reached the limit.(LimitValue=[LimitValue]),Warnings,已分配IPv6地址个数达到限制值。
AM/4/hwAllocatedIpLimitReachAlarm_clear,AM/4/hwAllocatedIpLimitReachAlarm_clear: The number of allocated IP addresses was under the limit.(LimitResumeValue=[LimitValue]),Warnings,已分配IP地址个数低于限制值。
AM/4/hwAllocatedIpThresholdReachAlarm_active,AM/4/hwAllocatedIpThresholdReachAlarm_active: The number of allocated IP addresses reached the threshold.(AlarmThreshold=[Threshold]),Warnings,已分配IPv6地址个数达到阈值。
AM/4/hwAllocatedIpThresholdReachAlarm_clear,AM/4/hwAllocatedIpThresholdReachAlarm_clear: The number of allocated IP addresses was under the threshold.(AlarmResumeThreshold=[Threshold]),Warnings,已分配IP地址个数低于阈值。
ARP/2/ARP_DYNAMIC_ENTRY_SPECS_EXCEED_active,"ARP/2/ARP_DYNAMIC_ENTRY_SPECS_EXCEED_active: The number of dynamic ARP entries exceeds the specification. (EntPhysicalIndex=[EntPhysicalIndex], Slot name=[SlotName], Specs=[Specs], Number of dynamic ARP entries=[DynEntries]).",Critical,ARP动态表项数量超过限定规格值。
ARP/2/ARP_DYNAMIC_ENTRY_SPECS_EXCEED_clear,"ARP/2/ARP_DYNAMIC_ENTRY_SPECS_EXCEED_clear: The number of dynamic ARP entries falls below the specification. (EntPhysicalIndex=[EntPhysicalIndex], Slot name=[SlotName], Specs=[Specs], Number of dynamic ARP entries=[DynEntries]).",Critical,ARP动态表项数量低于限定规格值。
ARP/2/hwARPHostConflict_active,"ARP/2/hwARPHostConflict_active: The host access interface frequently changed. (LocalIPAddress=[LocalIP], LocalBDID=[LocalBDId], LocalMAC=[LocalMAC], RemoteIPAddress=[ConflictIP], RemoteBDID=[RemoteBDId], RemoteMAC=[RemoteMAC], LocalInterface=[LocalInterface], RemoteInterface=[RemoteInterface], TunnelPeer=[TunnelPeer])",Critical,主机接入端口频繁变更。
ARP/2/hwARPHostConflict_clear,"ARP/2/hwARPHostConflict_clear: The host access interface did not frequently change any more. (LocalIPAddress=[LocalIP], LocalBDID=[LocalBDId], LocalMAC=[LocalMAC], RemoteIPAddress=[ConflictIP], RemoteBDID=[RemoteBDId], RemoteMAC=[RemoteMAC], LocalInterface=[LocalInterface], RemoteInterface=[RemoteInterface], TunnelPeer=[TunnelPeer])",Critical,主机接入端口不再频繁变更。
ARP/2/hwEthernetARPMACIPConflict_active,"ARP/2/hwEthernetARPMACIPConflict_active: MAC and IP address conflict. (Conflict interface=[LogicIfName], Conflict MAC address=[ConflictMAC], Conflict IP address=[ConflictIP], Received packet's destination MAC address=[DstMAC], Received packet's destination IP address=[DstIP], Received packet's VLAN=[Vlan], Received packet's CE-VLAN=[Cevlan], Input interface=[PhyIfName])",Critical,IP地址和MAC地址冲突告警。
ARP/2/hwEthernetARPMACIPConflict_clear,"ARP/2/hwEthernetARPMACIPConflict_clear: MAC and IP address confliction resolved. (Conflict interface=[LogicIfName], Conflict MAC address=[ConflictMAC], Conflict IP address=[ConflictIP])",Critical,MAC地址/IP地址冲突解除。
ARP/4/ARPMISS_VLAN_SPEED_LMT,"ARP/4/ARPMISS_VLAN_SPEED_LMT: The VLAN's ARP-Miss message speed exceeded the configured speed limit value. (SuppressValue=[SpeedLmtValue], Vlan=[VlanId])",Warnings,ARP/4/ARPMISS_VLAN_SPEED_LMT
ARP/4/ARP_DUPLICATE_IPADDR,"ARP/4/ARP_DUPLICATE_IPADDR: Received an ARP packet with a duplicate IP address from the interface. (InterfaceName=[InterfaceName], IpAddress=[IpAddress], MacAddress=[MacAddress], PE-VLAN=[PeVLAN], CE-VLAN=[CeVLAN])",Warnings,ARP/4/ARP_DUPLICATE_IPADDR
ARP/4/ARP_ENTRY_CHECK,"ARP/4/ARP_ENTRY_CHECK: ARP entry attack. (SourceInterface=[InterfaceName], SourceIP=[IpAddress], SourceMAC=[MacAddress], VLAN=[PeVlan], INNER-VLAN=[CeVlan])",Warnings,ARP/4/ARP_ENTRY_CHECK
ARP/4/ARP_IP_CONFLICT_DETECT,"ARP/4/ARP_IP_CONFLICT_DETECT: Detected an IP address collision. (IpAddress=[IpAddr], Local MacAddress=[LocalMacAddr], Local InterfaceName=[LocalIfName], Local VLAN=[LocalPVid], Local INNER-VLAN=[LocalCVid], Received MacAddress=[RcvMacAddr], Received InterfaceName=[RcvIfName], Received VLAN=[RcvPVid], Received INNER-VLAN=[RcvCVid], Collision Type=[type])",Warnings,ARP/4/ARP_IP_CONFLICT_DETECT
