---
title: HTML Characters Entities
date: 2022-01-13 11:44:21
tags:
    - html
    - code
    - characters
categories:
  - Other
intro: |
  This cheatsheet is a complete list of HTML entities with their numbers and names. Also included is a full list of ASCII characters that can be represented in HTML.
---
HTML Character Entity References {.cols-1}
---------------
### HTML Special Characters
| HTML           | Symbol       | Numeric      | Description              | Hex             | CSS (ISO)         | JS (Octal)          |
|----------------|--------------|--------------|--------------------------|-----------------|-------------------|---------------------|
| `&quot;`   | "          | `&#34;`  | quotation mark         | u+0022 ISOnum | \\0022           | \42    |
| `&num;`    | #          | `&#35;`  | number sign            | u+0023 ISOnum | \\0023           | \43    |
| `&dollar;` | $          | `&#36;`  | dollar sign            | u+0024 ISOnum | \\0024           | \44    |
| `&percnt;` | %          | `&#37;`  | percent sign           | u+0025 ISOnum | \\0025           | \45    |
| `&amp;`    | &      | `&#38;`  | ampersand              | u+0026 ISOnum | \\0026           | \46    |
| `&apos;`   | '          | `&#39;`  | apostrophe             | u+0027 ISOnum | \\0027           | \47    |
| `&lpar;`   | (          | `&#40;`  | left parenthesis       | u+0028 ISOnum | \\0028           | \50    |
| `&rpar;`   | )          | `&#41;`  | right parenthesis      | u+0029 ISOnum | \\0029           | \51    |
| `&ast;`    | *          | `&#42;`  | asterisk               | u+002A ISOnum | \\002a           | \52    |
| `&plus;`   | +          | `&#43;`  | plus sign              | u+002B ISOnum | \\002b           | \53    |
| `&comma;`  | ,          | `&#44;`  | comma                  | u+002C ISOnum | \\002c           | \54    |
| `&minus;`  | -          | `&#45;`  | hyphen-minus           | u+002D ISOnum | \\002d           | \55    |
| `&period;` | .          | `&#46;`  | full stop; period      | u+002E ISOnum | \\002e           | \56    |
| `&sol;`    | /          | `&#47;`  | solidus; slash         | u+002F ISOnum | \\002f           | \57    |
| `&colon;`  | :          | `&#58;`  | colon                  | u+003A ISOnum | \\003a           | \72    |
| `&semi;`   | ;          | `&#59;`  | semicolon              | u+003B ISOnum | \\003b           | \73    |
| `&lt;`     | \74    |
| `&equals;` | =          | `&#61;`  | equals                 | u+003D ISOnum | \\003d           | \75    |
| `&gt;`     | >       | `&#62;`  | greater-than sign      | u+003E ISOnum | \\003e           | \76    |
| `&quest;`  | ?          | `&#63;`  | question mark          | u+003F ISOnum | \\003f           | \77    |
| `&commat;` | @          | `&#64;`  | at sign; commercial at | u+0040 ISOnum | \\0040           | \100   |
| `&lsqb;`   | [          | `&#91;`  | left square bracket    | u+005B ISOnum | \\005b           | \133   |
| `&bsol;`   | \          | `&#92;`  | backslash              | u+005C ISOnum | \\005c           | \134   |
| `&rsqb;`   | ]          | `&#93;`  | right square bracket   | u+005D ISOnum | \\005d           | \135   |
| `&Hat;`    | ^          | `&#94;`  | circumflex accent      | u+005E ISOnum | \\005e           | \136   |
| `&lowbar;` | _          | `&#95;`  | low line               | u+005F ISOnum | \\005f           | \137   |
| `&grave;`  | &#96;        | `&#96;`  | grave accent           | u+0060 ISOnum | \\0060           | \u0060 |
| `&lcub;`   | {          | `&#123;` | left curly bracket     | u+007b ISOnum | \\007b           | \173   |
| `&verbar;` | \|          | `&#124;` | vertical bar           | u+007c ISOnum | \\007c           | \174   |
| `&rcub;`   | }          | `&#125;` | right curly bracket    | u+007d ISOnum | \\007d           | \175   |
|            | ~           | `&#126;` | tilde      | u+007e ISOnum | \\007e         | \176 |
{.show-header}
### HTML Latin
| HTML           | Symbol   | Numeric        | Description                           | Hex      | CSS (ISO) | JS (Octal)          |
|----------------|----------|----------------|---------------------------------------|----------|-----------|---------------------|
| `&nbsp;`   |   | `&#160;`   | no-break space                      | %A0 | \\00a0   | \240   |
| `&iexcl;`  | ¡      | `&#161;`   | inverted exclamation mark           | %A1 | \\00a1   | \241   |
| `&cent;`   | ¢      | `&#162;`   | cent sign                           | %A2 | \\00a2   | \242   |
| `&pound;`  | £      | `&#163;`   | pound sterling sign                 | %A3 | \\00a3   | \243   |
| `&curren;` | ¤      | `&#164;`   | general currency sign               | %A4 | \\00a4   | \244   |
| `&yen;`    | ¥      | `&#165;`   | yen sign                            | %A5 | \\00a5   | \245   |
| `&#x20B9;` | ₹      | `&#x20B9;` | Indian Rupee (INR) sign             | U+20B9 | \\20B9   | \u20B9 |
| `&brvbar;` | ¦      | `&#166;`   | broken (vertical) bar               | %A6 | \\00a6   | \246   |
| `&sect;`   | §      | `&#167;`   | section sign                        | %A7 | \\00a7   | \247   |
| `&uml;`    | ¨      | `&#168;`   | umlaut (dieresis)                   | %A8 | \\00a8   | \250   |
| `&copy;`   | ©      | `&#169;`   | copyright sign                      | %A9 | \\00a9   | \251   |
| `&ordf;`   | ª      | `&#170;`   | ordinal indicator, feminine         | %AA | \\00aa   | \252   |
| `&laquo;`  | «      | `&#171;`   | angle quotation mark, left          | %AB | \\00ab   | \253   |
| `&not;`    | ¬      | `&#172;`   | not sign                            | %AC | \\00ac   | \254   |
| `&shy;`    | ­      | `&#173;`   | soft hyphen                         | %AD | \\00ad   | \255   |
| `&reg;`    | ®      | `&#174;`   | registered sign                     | %AE | \\00ae   | \256   |
| `&macr;`   | ¯      | `&#175;`   | macron                              | %AF | \\00af   | \257   |
