# 3月19日安全热点 – Facebook证实剑桥分析公司窃取其数据
##### 译文声明
本文为翻译文章，译文仅供参考。具体内容及含义以原文为准。

## 资讯类

### 剑桥分析公司如何利用Facebook数据助力特朗普竞选
- **背景**：剑桥分析公司在未经用户同意的情况下获取了大量Facebook用户的个人信息，并将其用于政治广告和选民定位。
- **影响**：此事件引发了公众对个人隐私保护的广泛关注，并促使Facebook加强了数据访问权限的管理。

### Firefox密码系统过去九年的安全性问题
- **概述**：Mozilla最近发现Firefox浏览器在过去九年中存在一个严重的密码存储漏洞，可能使用户的登录凭据面临风险。
- **措施**：官方已发布补丁修复该漏洞，并建议用户更新至最新版本以确保账户安全。

### US-CERT警告能源行业关键基础设施网络攻击
- **现状**：尽管美国计算机应急响应团队（US-CERT）已就针对能源部门的潜在威胁发出警报，但与俄罗斯有关联的Sofacy APT组织仍持续瞄准欧洲政府机构。
- **建议**：相关企业和机构需加强网络安全防护，定期进行系统检查并及时修补已知漏洞。

### 沙特石化工厂遭遇新一轮网络袭击
- **详情**：2022年8月，沙特一家主要石化企业遭受黑客入侵，试图破坏其运营设施。
- **应对**：当地政府与国际合作伙伴正密切合作，追踪攻击源头并采取相应防范措施。

### 物联网设备的安全性探讨
- **议题**：随着物联网技术的发展，越来越多的家庭和工业设备连接到互联网，然而这些设备往往缺乏足够的安全保护机制。
- **解决方案**：专家呼吁制造商提高产品设计时的安全标准，并鼓励消费者使用强密码及双因素认证等方式增强防护能力。

## 技术类

### 使用Rust构建高效的Electron应用
- **简介**：通过结合Rust语言的强大性能优势与Electron框架的跨平台特性，开发者可以创建出既快速又稳定的桌面应用程序。
- **实践指南**：提供了一套完整的开发流程示例，包括项目初始化、模块编写以及打包发布等步骤。

### RDP劫持——远程桌面服务会话劫持技术解析
- **概念解释**：远程桌面协议（RDP）允许用户从一台计算机控制另一台计算机。而RDP劫持则是指攻击者非法接管合法用户的RDP会话。
- **防御策略**：介绍了几种有效的预防方法，如启用网络级别身份验证（NLA）、限制RDP端口访问等。

...（其他条目省略，可按需添加）

### 以下热点来自360CERT

#### 漏洞
1. Jupyter Notebook 远程代码执行漏洞
2. es6模板引擎中的代码注入风险

#### 安全事件
1. 俄罗斯中央选举委员会信息中心在选举期间遭受黑客攻击

#### 安全资讯
1. 江苏省2月份记录到超过两亿次网络攻击事件，其中绝大多数为僵尸木马感染
2. 利用奥巴马照片制作假身份证实施信用卡诈骗案件引发关注

#### 安全研究
1. 新型Chrome扩展程序能够有效抵御基于JavaScript的CPU侧通道攻击

#### 恶意软件
1. 黑客利用PostgreSQL服务器传播隐藏于图片文件中的恶意代码
