## Steps to Reproduce
I have to create multilingual app but Marathi is not supported by flutter or
not yet cooked by MaterialLocalizations.
Help me for getting it work for Marathi language.  
or Provide Some Tutorial to generate language from arb files
## Logs
     +179 ms] I/flutter (14098): ══╡ EXCEPTION CAUGHT BY WIDGETS LIBRARY ╞═══════════════════════════════════════════════════════════
    [  +42 ms] I/flutter (14098): The following assertion was thrown building MyAppBar(dirty, state: _AppBarState#858f2):
    [        ] I/flutter (14098): No MaterialLocalizations found.
    [        ] I/flutter (14098): MyAppBar widgets require MaterialLocalizations to be provided by a Localizations widget ancestor.
    [        ] I/flutter (14098): Localizations are used to generate many different messages, labels,and abbreviations which are used
    [        ] I/flutter (14098): by the material library. 
    [        ] I/flutter (14098): To introduce a MaterialLocalizations, either use a  MaterialApp at the root of your application to
    [        ] I/flutter (14098): include them automatically, or add a Localization widget with a MaterialLocalizations delegate.
    [        ] I/flutter (14098): The specific widget that could not find a MaterialLocalizations ancestor was:
    [        ] I/flutter (14098):   MyAppBar
    [        ] I/flutter (14098): The ancestors of this widget were:
    [        ] I/flutter (14098):   _FlexibleSpaceBarSettings
    [        ] I/flutter (14098):   ConstrainedBox(BoxConstraints(0.0](id: _ScaffoldSlot.appBar)
    [        ] I/flutter (14098):   CustomMultiChildLayout
    [        ] I/flutter (14098):   AnimatedBuilder(animation: AnimationController#7f51c(⏭ 1.000; paused))
    [        ] I/flutter (14098):   DefaultTextStyle(debugLabel: (englishLike body1).merge(blackMountainView body1), inherit: false,
    [        ] I/flutter (14098):   color: Color(0xdd000000), family: Roboto, size: 14.0, weight: 400, baseline: alphabetic,
    [        ] I/flutter (14098):   decoration: TextDecoration.none, softWrap: wrapping at box width, overflow: clip)
    [        ] I/flutter (14098):   AnimatedDefaultTextStyle(duration: 200ms, debugLabel: (englishLike body1).merge(blackMountainView
    [        ] I/flutter (14098):   body1), inherit: false, color: Color(0xdd000000), family: Roboto, size: 14.0, weight: 400,
    [        ] I/flutter (14098):   baseline: alphabetic, decoration: TextDecoration.none, softWrap: wrapping at box width, overflow:
    [        ] I/flutter (14098):   clip)
    [        ] I/flutter (14098):   _InkFeatures-[GlobalKey#2aaa0 ink renderer]
    [        ] I/flutter (14098):   NotificationListener
    [        ] I/flutter (14098):   PhysicalModel(shape: rectangle, borderRadius: BorderRadius.zero, elevation: 0.0, color:
    [        ] I/flutter (14098):   Color(0xfffafafa), shadowColor: Color(0xff000000))
    [        ] I/flutter (14098):   AnimatedPhysicalModel(duration: 200ms, shape: rectangle, borderRadius: BorderRadius.zero,
    [        ] I/flutter (14098):   elevation: 0.0, color: Color(0xfffafafa), animateColor: false, shadowColor: Color(0xff000000),
    [        ] I/flutter (14098):   animateShadowColor: true)
    [        ] I/flutter (14098):   Material(type: canvas, color: Color(0xfffafafa))
    [        ] I/flutter (14098):   PrimaryScrollController(ScrollController#b0626(one client, offset 0.0))
    [        ] I/flutter (14098):   _ScaffoldScope
    [        ] I/flutter (14098):   Scaffold-[LabeledGlobalKey#ba591]
    [        ] I/flutter (14098):   HomeScreen
    [        ] I/flutter (14098):   Builder
    [        ] I/flutter (14098):   RepaintBoundary-[GlobalKey#d90cd]
    [        ] I/flutter (14098):   IgnorePointer(ignoring: false)
    [        ] I/flutter (14098):   FadeTransition(opacity: AnimationController#5a0f3(▶ 0.000; for
    [        ] I/flutter (14098):   PageRouteBuilder)➩ProxyAnimation)
    [        ] I/flutter (14098):   AnimatedBuilder(animation: Listenable.merge([AnimationController#5a0f3(▶ 0.000; for
    [        ] I/flutter (14098):   PageRouteBuilder)➩ProxyAnimation,
    [        ] I/flutter (14098):   kAlwaysDismissedAnimation➩ProxyAnimation➩ProxyAnimation]))
    [        ] I/flutter (14098):   RepaintBoundary
    [   +1 ms] I/flutter (14098):   _FocusScopeMarker
    [        ] I/flutter (14098):   Semantics(container: false, properties: SemanticsProperties, label: null, value: null, hint: null,
    [        ] I/flutter (14098):   hintOverrides: null)
    [        ] I/flutter (14098):   FocusScope
    [        ] I/flutter (14098):   PageStorage
    [        ] I/flutter (14098):   Offstage(offstage: false)
    [        ] I/flutter (14098):   _ModalScopeStatus(active)
    [        ] I/flutter (14098):   _ModalScope-[LabeledGlobalKey>#1e8e4]
    [        ] I/flutter (14098):   _OverlayEntry-[LabeledGlobalKey#8527a]
    [        ] I/flutter (14098):   Stack(alignment: AlignmentDirectional.topStart, fit: expand, overflow: clip)
    [        ] I/flutter (14098):   _Theatre
    [        ] I/flutter (14098):   Overlay-[LabeledGlobalKey#b7ad6]
    [        ] I/flutter (14098):   _FocusScopeMarker
    [        ] I/flutter (14098):   Semantics(container: false, properties: SemanticsProperties, label: null, value: null, hint: null,
    [        ] I/flutter (14098):   hintOverrides: null)
    [        ] I/flutter (14098):   FocusScope
    [        ] I/flutter (14098):   AbsorbPointer(absorbing: false)
    [        ] I/flutter (14098):   Listener(listeners: [down, up, cancel], behavior: deferToChild)
    [        ] I/flutter (14098):   Navigator-[GlobalObjectKey _WidgetsAppState#752c4]
    [        ] I/flutter (14098):   DefaultTextStyle(debugLabel: fallback style; consider putting your text in a Material, inherit:
    [        ] I/flutter (14098):   true, color: Color(0xd0ff0000), family: monospace, size: 48.0, weight: 900, decoration: double
    [        ] I/flutter (14098):   Color(0xffffff00) TextDecoration.underline, softWrap: wrapping at box width, overflow: clip)
    [        ] I/flutter (14098):   Title(title: "Adil Store", color: Color(0xff0288d1))
    [        ] I/flutter (14098):   Directionality(textDirection: ltr)
    [        ] I/flutter (14098):   _LocalizationsScope-[GlobalKey#e1a98]
    [        ] I/flutter (14098):   Semantics(container: false, properties: SemanticsProperties, label: null, value: null, hint: null,
    [        ] I/flutter (14098):   textDirection: ltr, hintOverrides: null)
    [        ] I/flutter (14098):   Localizations(locale: mr_IN, delegates: [TranslationsDelegate[Translations],
    [        ] I/flutter (14098):   _MaterialLocalizationsDelegate[MaterialLocalizations],
    [        ] I/flutter (14098):   _WidgetsLocalizationsDelegate[WidgetsLocalizations],
    [        ] I/flutter (14098):   _MaterialLocalizationsDelegate[MaterialLocalizations],
    [        ] I/flutter (14098):   _WidgetsLocalizationsDelegate[WidgetsLocalizations]])
    [        ] I/flutter (14098):   MediaQuery(MediaQueryData(size: Size(423.5, 800.0), devicePixelRatio: 2.5, textScaleFactor: 1.0,
    [        ] I/flutter (14098):   padding: EdgeInsets(0.0, 23.9, 0.0, 0.0), viewInsets: EdgeInsets.zero, alwaysUse24HourFormat:
    [        ] I/flutter (14098):   false, accessibleNavigation: falsedisableAnimations: falseinvertColors: falseboldText: false))
    [        ] I/flutter (14098):   WidgetsApp-[GlobalObjectKey _MaterialAppState#5934e]
    [        ] I/flutter (14098):   IconTheme(IconThemeData#2abdc(color: Color(0xdd000000)))
    [        ] I/flutter (14098):   _InheritedTheme
    [        ] I/flutter (14098):   Theme(ThemeData#ce7a6(primaryColor: Color(0xff0288d1), accentColor: MaterialColor(primary value:
    [        ] I/flutter (14098):   Color(0xfff44336)), indicatorColor: MaterialColor(primary value: Color(0xfff44336)),
    [        ] I/flutter (14098):   toggleableActiveColor: MaterialColor(primary value: Color(0xfff44336)), buttonTheme:
    [        ] I/flutter (14098):   ButtonThemeData#b7822, textTheme: TextTheme#9edf9, primaryTextTheme: TextTheme#60427(display4:
    [        ] I/flutter (14098):   TextStyle(debugLabel: whiteMountainView display4, inherit: true, color: Color(0xb3ffffff), family:
    [        ] I/flutter (14098):   Roboto, decoration: TextDecoration.none), display3: TextStyle(debugLabel: whiteMountainView
    [        ] I/flutter (14098):   display3, inherit: true, color: Color(0xb3ffffff), family: Roboto, decoration:
    [        ] I/flutter (14098):   TextDecoration.none), display2: TextStyle(debugLabel: whiteMountainView display2, inherit: true,
    [        ] I/flutter (14098):   color: Color(0xb3ffffff), family: Roboto, decoration: TextDecoration.none), display1:
    [        ] I/flutter (14098):   TextStyle(debugLabel: whiteMountainView display1, inherit: true, color: Color(0xb3ffffff), family:
    [        ] I/flutter (14098):   Roboto, decoration: TextDecoration.none), headline: TextStyle(debugLabel: whiteMountainView
    [        ] I/flutter (14098):   headline, inherit: true, color: Color(0xffffffff), family: Roboto, decoration:
    [        ] I/flutter (14098):   TextDecoration.none), title: TextStyle(debugLabel: whiteMountainView title, inherit: true, color:
    [        ] I/flutter (14098):   Color(0xffffffff), family: Roboto, decoration: TextDecoration.none), subhead:
    [        ] I/flutter (14098):   TextStyle(debugLabel: whiteMountainView subhead, inherit: true, color: Color(0xffffffff), family:
    [        ] I/flutter (14098):   Roboto, decoration: TextDecoration.none), body2: TextStyle(debugLabel: whiteMountainView body2,
    [        ] I/flutter (14098):   inherit: true, color: Color(0xffffffff), family: Roboto, decoration: TextDecoration.none), body1:
    [        ] I/flutter (14098):   TextStyle(debugLabel: whiteMountainView body1, inherit: true, color: Color(0xffffffff), family:
    [        ] I/flutter (14098):   Roboto, decoration: TextDecoration.none), caption: TextStyle(debugLabel: whiteMountainView
    [        ] I/flutter (14098):   caption, inherit: true, color: Color(0xb3ffffff), family: Roboto, decoration:
    [        ] I/flutter (14098):   TextDecoration.none), button: TextStyle(debugLabel: whiteMountainView button, inherit: true,
    [        ] I/flutter (14098):   color: Color(0xffffffff), family: Roboto, decoration: TextDecoration.none)), accentTextTheme:
    [        ] I/flutter (14098):   TextTheme#60427(display4: TextStyle(debugLabel: whiteMountainView display4, inherit: true, color:
    [        ] I/flutter (14098):   Color(0xb3ffffff), family: Roboto, decoration: TextDecoration.none), display3:
    [        ] I/flutter (14098):   TextStyle(debugLabel: whiteMountainView display3, inherit: true, color: Color(0xb3ffffff), family:
    [        ] I/flutter (14098):   Roboto, decoration: TextDecoration.none), display2: TextStyle(debugLabel: whiteMountainView
    [        ] I/flutter (14098):   display2, inherit: true, color: Color(0xb3ffffff), family: Roboto, decoration:
    [        ] I/flutter (14098):   TextDecoration.none), display1: TextStyle(debugLabel: whiteMountainView display1, inherit: true,
    [        ] I/flutter (14098):   color: Color(0xb3ffffff), family: Roboto, decoration: TextDecoration.none), headline:
    [        ] I/flutter (14098):   TextStyle(debugLabel: whiteMountainView headline, inherit: true, color: Color(0xffffffff), family:
    [        ] I/flutter (14098):   Roboto, decoration: TextDecoration.none), title: TextStyle(debugLabel: whiteMountainView title,
    [        ] I/flutter (14098):   inherit: true, color: Color(0xffffffff), family: Roboto, decoration: TextDecoration.none),
    [        ] I/flutter (14098):   subhead: TextStyle(debugLabel: whiteMountainView subhead, inherit: true, color: Color(0xffffffff),
    [        ] I/flutter (14098):   family: Roboto, decoration: TextDecoration.none), body2: TextStyle(debugLabel: whiteMountainView
    [        ] I/flutter (14098):   body2, inherit: true, color: Color(0xffffffff), family: Roboto, decoration: TextDecoration.none),
    [        ] I/flutter (14098):   body1: TextStyle(debugLabel: whiteMountainView body1, inherit: true, color: Color(0xffffffff),
    [   +2 ms] I/flutter (14098):   family: Roboto, decoration: TextDecoration.none), caption: TextStyle(debugLabel: whiteMountainView
    [   +1 ms] I/flutter (14098):   caption, inherit: true, color: Color(0xb3ffffff), family: Roboto, decoration:
    [        ] I/flutter (14098):   TextDecoration.none), button: TextStyle(debugLabel: whiteMountainView button, inherit: true,
    [        ] I/flutter (14098):   color: Color(0xffffffff), family: Roboto, decoration: TextDecoration.none)), inputDecorationTheme:
    [        ] I/flutter (14098):   InputDecorationTheme#5a215, iconTheme: IconThemeData#2abdc(color: Color(0xdd000000)),
    [        ] I/flutter (14098):   primaryIconTheme: IconThemeData#15fa8(color: Color(0xffffffff)), accentIconTheme:
    [        ] I/flutter (14098):   IconThemeData#15fa8(color: Color(0xffffffff)), sliderTheme:
