Image picker version: 0.4.10
When image without extension is selected this exception is thrown:
    E/AndroidRuntime( 8438): FATAL EXCEPTION: main
    E/AndroidRuntime( 8438): Process: com.mepigu.mepigu, PID: 8438
    E/AndroidRuntime( 8438): java.lang.RuntimeException: Failure delivering result ResultInfo{who=null, request=2342, result=-1, data=Intent { dat=content://com.android.providers.downloads.documents/document/4461 flg=0x1 }} to activity {com.mepigu.mepigu/com.mepigu.mepigu.MainActivity}: java.lang.IllegalArgumentException: Unknown URI: content://downloads/public_downloads/4461
    E/AndroidRuntime( 8438): 	at android.app.ActivityThread.deliverResults(ActivityThread.java:5035)
    E/AndroidRuntime( 8438): 	at android.app.ActivityThread.handleSendResult(ActivityThread.java:5078)
    E/AndroidRuntime( 8438): 	at android.app.ActivityThread.-wrap20(Unknown Source:0)
    E/AndroidRuntime( 8438): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2053)
    E/AndroidRuntime( 8438): 	at android.os.Handler.dispatchMessage(Handler.java:108)
    E/AndroidRuntime( 8438): 	at android.os.Looper.loop(Looper.java:166)
    E/AndroidRuntime( 8438): 	at android.app.ActivityThread.main(ActivityThread.java:7523)
    E/AndroidRuntime( 8438): 	at java.lang.reflect.Method.invoke(Native Method)
    E/AndroidRuntime( 8438): 	at com.android.internal.os.Zygote$MethodAndArgsCaller.run(Zygote.java:245)
    E/AndroidRuntime( 8438): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:921)
    E/AndroidRuntime( 8438): Caused by: java.lang.IllegalArgumentException: Unknown URI: content://downloads/public_downloads/4461
    E/AndroidRuntime( 8438): 	at android.database.DatabaseUtils.readExceptionFromParcel(DatabaseUtils.java:165)
    E/AndroidRuntime( 8438): 	at android.database.DatabaseUtils.readExceptionFromParcel(DatabaseUtils.java:135)
    E/AndroidRuntime( 8438): 	at android.content.ContentProviderProxy.query(ContentProviderNative.java:418)
    E/AndroidRuntime( 8438): 	at android.content.ContentResolver.query(ContentResolver.java:766)
    E/AndroidRuntime( 8438): 	at android.content.ContentResolver.query(ContentResolver.java:716)
    E/AndroidRuntime( 8438): 	at android.content.ContentResolver.query(ContentResolver.java:667)
    E/AndroidRuntime( 8438): 	at io.flutter.plugins.imagepicker.FileUtils.getDataColumn(FileUtils.java:117)
    E/AndroidRuntime( 8438): 	at io.flutter.plugins.imagepicker.FileUtils.getPathFromLocalUri(FileUtils.java:69)
    E/AndroidRuntime( 8438): 	at io.flutter.plugins.imagepicker.FileUtils.getPathFromUri(FileUtils.java:41)
    E/AndroidRuntime( 8438): 	at io.flutter.plugins.imagepicker.ImagePickerDelegate.handleChooseImageResult(ImagePickerDelegate.java:395)
    E/AndroidRuntime( 8438): 	at io.flutter.plugins.imagepicker.ImagePickerDelegate.onActivityResult(ImagePickerDelegate.java:375)
    E/AndroidRuntime( 8438): 	at io.flutter.app.FlutterPluginRegistry.onActivityResult(FlutterPluginRegistry.java:210)
    E/AndroidRuntime( 8438): 	at io.flutter.app.FlutterActivityDelegate.onActivityResult(FlutterActivityDelegate.java:139)
    E/AndroidRuntime( 8438): 	at io.flutter.app.FlutterActivity.onActivityResult(FlutterActivity.java:138)
    E/AndroidRuntime( 8438): 	at android.app.Activity.dispatchActivityResult(Activity.java:7701)
    E/AndroidRuntime( 8438): 	at android.app.ActivityThread.deliverResults(ActivityThread.java:5031)
    E/AndroidRuntime( 8438): 	... 9 more
    I/Process ( 8438): Sending signal. PID: 8438 SIG: 9
    Lost connection to device.
