Lua
===
`Lua` 是一门扩展式程序设计语言，被设计成支持通用过程式编程，并有相关数据描述设施。 同时对面向对象编程、函数式编程和数据驱动式编程也提供了良好的支持。 它作为一个强大、轻量的嵌入式脚本语言，可供任何需要的程序使用。 `Lua` 由 clean C（标准 C 和 C++ 间共通的子集） 实现成一个库。
作为一门扩展式语言，`Lua` 没有 `main` 程序的概念： 它只能 嵌入 一个宿主程序中工作， 该宿主程序被称为 被嵌入程序 或者简称 宿主 。 宿主程序可以调用函数执行一小段 `Lua` 代码，可以读写 `Lua` 变量，可以注册 `C` 函数让 `Lua` 代码调用。 依靠 C 函数，`Lua` 可以共享相同的语法框架来定制编程语言，从而适用不同的领域。 `Lua` 的官方发布版包含一个叫做 lua 的宿主程序示例， 它是一个利用 `Lua` 库实现的完整独立的 `Lua` 解释器，可用于交互式应用或批处理。
`Lua` 是一个自由软件，其使用许可证决定了它的使用过程无需任何担保。 本手册所描述的实现可以在 `Lua` 的官方网站 [www.lua.org](www.lua.org) 找到。
与其它的许多参考手册一样，这份文档有些地方比较枯燥。 关于 `Lua` 背后的设计思想， 可以看看 `Lua` 网站上提供的技术论文。 至于用 `Lua` 编程的细节介绍， 请参阅 Roberto 的书，Programming in `Lua`。
[LuaRocks is the package manager for Lua modules.](https://luarocks.org/)  
[下面翻译来源于](http://cloudwu.github.io/lua53doc/manual.html#3.3.1)  
译者在翻译时，使用了一些尚未统一的中文术语译词，统一罗列如下：  
```
元表      metatable  
元方法    metamethod  
弱表      weak table  
协程      coroutine  
闭包      closure  
注册表    registry  
让出      yield  
表        table  
用户数据   userdata  
延续点     continuation  
宿主      host  
一等公民   first-class  
语法糖     syntactic sugar  
序列      sequence  
异构      heterogeneous  
终结器     finalizer  
暂时表     ephemeron table  
符记      token  
字面串     literal string  
代码块     chunk  
标签      label  
实例化     instantiated  
上值      upvalue  
```
- [简介](#简介)
- [基本概念](#基本概念)
  - [值与类型](#值与类型)
  - [环境与全局环境](#环境与全局环境)
  - [错误处理](#错误处理)
  - [元表及元方法](#元表及元方法)
  - [垃圾收集](#垃圾收集)
    - [垃圾收集元方法](#垃圾收集元方法)
    - [弱表](#弱表)
  - [协程](#协程)
- [语言定义](#语言定义)
  - [词法约定](#词法约定)
  - [变量](#变量)
  - [语句](#语句)
    - [语句块](#语句块)
    - [代码块](#代码块)
    - [赋值](#赋值)
    - [控制结构](#控制结构)
    - [For 语句](#for-语句)
    - [函数调用语句](#函数调用语句)
    - [局部声明](#局部声明)
  - [表达式](#表达式)
    - [数学运算操作符](#数学运算操作符)
    - [位操作符](#位操作符)
    - [强制转换](#强制转换)
    - [比较操作符](#比较操作符)
    - [逻辑操作符](#逻辑操作符)
    - [字符串连接](#字符串连接)
    - [取长度操作符](#取长度操作符)
    - [优先级](#优先级)
    - [表构建](#表构建)
    - [函数调用](#函数调用)
    - [函数定义](#函数定义)
  - [可见性规则](#可见性规则)
- [编程接口](#编程接口)
