	- 8.18 [智能卡破解入门二三事](http://www.freebuf.com/geek/143800.html)
	- 8.18 [Decryption key for Apple iOS Secure Enclave Processor firmware revealed](https://www.helpnetsecurity.com/2017/08/18/secure-enclave-security/)
	- 8.18 [【木马分析】“隐魂”木马篡改主页分析：史上反侦察力最强木马的犯罪素描](http://bobao.360.cn/learning/detail/4279.html)
	- 8.18 [关于区块链和比特币的六个谎言：揭穿该项技术的有效性](https://www.kaspersky.com.cn/blog/bitcoin-blockchain-issues/8336/)
	- 8.18 [印度政府调查手机安全](http://www.solidot.org/story?sid=53523)
	- 8.18 [New malware masquerades as a ride-sharing app](https://techcrunch.com/2017/08/18/new-malware-masquerades-as-a-ride-sharing-app/)
	- 8.19 [【权威发布】360追日团队：Xshellghost技术分析——入侵感染供应链软件的大规模定向攻击](http://bobao.360.cn/learning/detail/4280.html) 
	- 8.20 [Smart Devices Can Be Hijacked to Track Your Body Movements And Activities Remotely](http://thehackernews.com/2017/08/hacking-track-movements.html)
	- 8.21 [Peripheral Pwnage](https://www.toshellandback.com/2017/08/16/mousejack/)
	- 8.21 [反混淆：恢复被OLLVM保护的程序](http://www.freebuf.com/column/144896.html)
	- 8.21 [远控木马上演白利用偷天神技：揭秘假破解工具背后的盗刷暗流](http://www.freebuf.com/articles/terminal/144590.html)
	- 8.21 [“微信支付大盗”来袭，有人被盗近万元](http://www.freebuf.com/column/144894.html)
	- 8.21 [借用UAC完成的提权思路分享](http://www.freebuf.com/column/144886.html)
	- 8.21 [从e租宝被查看P2P网站应用安全](http://www.freebuf.com/column/144889.html)
	- 8.21 [Android应用方法隐藏及反调试技术浅析](http://www.freebuf.com/articles/terminal/144887.html)
	- 8.21 [【木马分析】“曼巴”勒索软件卷土重来](http://bobao.360.cn/learning/detail/4286.html)
	- 8.21 [backdoorppt：一个可将载荷伪装成PPT的工具](http://www.freebuf.com/column/144947.html)
	- 8.21 [【分析报告】偷天换日：2017签名冒用大追踪](http://bobao.360.cn/learning/detail/4289.html)
	- 8.21 [斯诺登最新泄露文档：揭秘美国部署在澳洲的秘密监控设施“Rainfall”](http://www.freebuf.com/news/145006.html)
	- 8.21 [ShadowPad: How Attackers Hide Backdoor In Software Used By Hundreds Of Large Companies Around The World](http://www.informationsecuritybuzz.com/study-research/shadowpad-attackers-hide-backdoor-software-used-hundreds-large-companies-around-world/)
	- 8.22 [磁碟加密勒索病毒 HDDCryptor 变种, 根据感染规模来调整受害者的赎金](https://blog.trendmicro.com.tw/?p=51746)
	- 8.22 [Bahamut, Pursuing a Cyber Espionage Actor in the Middle East - bellingcat](https://www.bellingcat.com/news/mena/2017/06/12/bahamut-pursuing-cyber-espionage-actor-middle-east/)
	- 8.22 [IPHONE最新款能抢红包的微信--小紫和小黑](https://www.52pojie.cn/thread-637577-1-1.html)
	- 8.22 [DockerScan：Docker安全分析&测试工具](http://www.freebuf.com/column/145215.html)
	- 8.22 [CTFcrackTools-V3 – 一款旨在帮助 CTFer 在 CTF 中发挥作用的一个框架](http://www.ijiandao.com/safe/cto/67086.html)
	- 8.22 [Krebs fan creates new Trojan](http://news.drweb.com/news/?i=11429&lng=en)
	- 8.23 [Malware on Google Play abusing Accessibility Service](https://www.zscaler.com/blogs/research/malware-google-play-abusing-accessibility-service)
	- 8.23 [国内某广告SDK会从Android手机中窃取用户数据，感染App下载量过亿](http://www.freebuf.com/news/145296.html)
	- 8.23 [Smart robots prove stupidly easy to hack for spying and murder](https://www.theregister.co.uk/2017/08/22/smart_robots_easy_to_hack/)
	- 8.23 [AccuWeather caught sending user location data, even when location sharing is off](http://www.zdnet.com/article/accuweather-caught-sending-geo-location-data-even-when-denied-access/)
	- 8.24 [Advisory: AccuWeather iOS app sends location information to data monetization firm](https://medium.com/@chronic_9612/advisory-accuweather-ios-app-sends-location-information-to-data-monetization-firm-83327c6a4870)
	- 8.24 [Hackers can control damaged phones using replacement screens](https://www.welivesecurity.com/2017/08/23/hackers-damaged-replacement-screens/)
	- 8.24 [【技术分享】针对新型KONNI变种的分析](http://bobao.360.cn/learning/detail/4290.html)
	- 8.24 [出租车木马病毒来袭](https://www.kaspersky.com.cn/blog/faketoken-trojan-taxi/8321/)
	- 8.24 [New multi platform malware/adware spreading via Facebook Messenger](http://securelist.com/new-multi-platform-malwareadware-spreading-via-facebook-messenger/81590/)
	- 8.24 [Deep Analysis of New Poison Ivy Variant](https://blog.fortinet.com/2017/08/23/deep-analysis-of-new-poison-ivy-variant)
	- 8.24 [Dr.Web was the first to detect Trojan loader for smart Linux devices with MIPS/MIPSEL architectures](http://news.drweb.com/news/?i=11435&lng=en)
	- 8.24 [Dr.Web was the first to detect Trojan loader for smart Linux devices with MIPS/MIPSEL architectures](https://news.drweb.com/show/?i=11435&lng=en)
	- 8.25 [Android Click-Fraud Apps Briefly Return to Google Play](https://securingtomorrow.mcafee.com/mcafee-labs/android-click-fraud-apps-briefly-return-google-play/)
	- 8.25 [Malicious Chrome Extensions Stealing Roblox In-Game Currency, Sending Cookies via Discord](http://blog.trendmicro.com/trendlabs-security-intelligence/malicous-chrome-extensions-stealing-roblox-game-currency-sending-cookies-via-discord/)
	- 8.25 [Why It’s Still A Bad Idea to Post or Trash Your Airline Boarding Pass](https://krebsonsecurity.com/2017/08/why-its-still-a-bad-idea-to-post-or-trash-your-airline-boarding-pass/)
	- 8.25 [乌克兰国家银行攻击样本技术分析与检测防护方案](http://blog.nsfocus.net/ukraine-malware-analysis/)
	- 8.25 [挖洞经验|记一次曲折的Getshell过程](http://www.freebuf.com/vuls/144643.html)
	- 8.25 [互联网安全现状Q2报告：旧攻击方式重受青睐，DDoS攻击走向商业化](http://www.freebuf.com/news/145333.html)
	- 8.26 [“隐魂”木马篡改主页分析：史上反侦察力最强木马的犯罪素描](http://www.freebuf.com/articles/system/144792.html)
	- 8.27 [最新漏洞利用包可租用每天需80美元](http://www.freebuf.com/news/145542.html)
	- 8.28 [YY安全中心的“蜜罐技术”应用实践](http://www.freebuf.com/articles/network/145691.html)
	- 8.28 [身体改造会是人类的未来吗？身体植入14枚“插件”的生物黑客Patrick Paumen专访](http://www.freebuf.com/articles/neopoints/145230.html)
	- 8.29 [冒充业务和财务部门的电子邮件,夹带后门程式攻击企业](https://blog.trendmicro.com.tw/?p=51863)
	- 8.29 [Android Mobile Ransomware: Bigger, Badder, Better?](http://blog.trendmicro.com/trendlabs-security-intelligence/android-mobile-ransomware-evolution/)
	- 8.29 [【病毒分析】360烽火实验室：“WireX Botnet”事件Android样本分析报告](http://bobao.360.cn/learning/detail/4326.html)
	- 8.29 [聊聊WiFi Hacks：为何你的Karma攻击不好使了](http://www.freebuf.com/articles/wireless/145259.html)
	- 8.29 [Chinese APT17 group leverages fake Game of Thrones leaks as lures](http://securityaffairs.co/wordpress/62376/apt/apt17-hbo-hack.html)
	- 8.29 [黑客的七夕礼物|大量IoT设备Telnet密码列表遭泄露](http://www.freebuf.com/news/145739.html)
	- 8.29 [“大宝剑”的用法：玩玩DEFCON后渗透工具Koadic](http://www.freebuf.com/sectool/145674.html)
	- 8.30 [英特尔CPU控制机制存在隐秘开关 可被黑客利用成为后门](http://www.aqniu.com/threat-alert/27742.html)
	- 8.30 [Mac下的破解软件真的安全吗？](http://www.freebuf.com/articles/terminal/145327.html) 
	- 8.30 [【木马分析】几款Android平台新型扣费木马的分析](http://bobao.360.cn/learning/detail/4328.html)
	- 8.30 [客人换衣被直播 宾馆电脑都被安装软件](http://www.ijiandao.com/news/focus/67930.html)
	- 8.30 [关于finecms v5 会员头像 任意文件上传漏洞分析](http://www.freebuf.com/column/146031.html)
	- 8.30 [USB Malware Implicated in Fileless Attacks](http://blog.trendmicro.com/trendlabs-security-intelligence/usb-malware-implicated-fileless-attacks/)
	- 8.31 [“金蝉脱壳”病毒分析报告](http://www.freebuf.com/articles/terminal/145550.html)
	- 8.31 [【木马分析】金融木马：银行木马软件Zeus Panda 的Webinjects分析（part 1）](http://bobao.360.cn/learning/detail/4339.html)
	- 8.31 [【工具分享】走近“黑客”：聊一聊“黑客”手中的那些好玩的“装备”](http://bobao.360.cn/learning/detail/4335.html)
	- 8.31 [Updated KHRAT Malware Used in Cambodia Attacks](https://researchcenter.paloaltonetworks.com/2017/08/unit42-updated-khrat-malware-used-in-cambodia-attacks/)
	- 8.31 [APT group leverage Gazer backdoor to spy on embassies and consular operations](http://securityaffairs.co/wordpress/62518/apt/gazer-backdoor-apt-turla.html)
	- 8.31 [Introducing WhiteBear](https://securelist.com/introducing-whitebear/81638/)
- 0x08
	- 9.1 [CIA 新一波工具AngelFire： 针对Windows系统的永久恶意框架](http://www.freebuf.com/news/146345.html)
	- 9.1 [全球最隐秘的十种恶意攻击](http://www.aqniu.com/threat-alert/27809.html)
	- 9.1 [Emotet Trojan Acts as Loader, Spreads Automatically](https://securingtomorrow.mcafee.com/mcafee-labs/emotet-trojan-acts-as-loader-spreads-automatically/)
	- 9.2 [DragonOK APT is adopting new tactics, techniques and procedures](http://securityaffairs.co/wordpress/62615/apt/dragonok-apt-changes-ttps.html)
	- 9.2 [FDA recalls 465,000 pacemakers open to cyber attack](http://securityaffairs.co/wordpress/62581/security/fda-recalls-pacemakers.html) 
	- 9.3 [“双子星”文档攻击预警 – 新型的跨平台恶意文档攻击分析报告](http://www.freebuf.com/articles/system/145543.html)
	- 9.4 [利用Python实现DGA域名检测](http://www.freebuf.com/articles/web/145981.html)
	- 9.4 [揭秘盗取“羊毛党”比特币的钓鱼攻击事件 | 一例C2服务器跟踪分析报告](http://www.freebuf.com/articles/network/145985.html)
	- 9.4 [【病毒分析】老树新芽：Kronos恶意软件分析（part 1）](http://bobao.360.cn/learning/detail/4348.html)
	- 9.4 [【APT报告】海莲花团伙的活动新趋势](http://bobao.360.cn/learning/detail/4353.html)
	- 9.4 [再见了，接码平台：交互式语音验证码](http://www.freebuf.com/articles/network/146246.html)
	- 9.5 [Bulk messaging malware in Facebook Messenger](https://www.kaspersky.com/blog/facebook-messenger-malware/18412/)
	- 9.5 [在智能手机上跟踪ADS-B系统的飞机航线信息](http://www.freebuf.com/geek/146379.html)
