# G0075: Rancor

## Description
Rancor (https://attack.mitre.org/groups/G0075) is a threat group that has conducted targeted campaigns primarily in the South East Asia region. The group employs politically-motivated lures to entice victims into opening malicious documents. (Citation: Rancor Unit42 June 2018)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows | Defense Evasion, Execution | [Signed Binary Proxy Execution](https://attack.mitre.org/techniques/T1218/) | Rancor has used `msiexec` to download and execute malicious installer files over HTTP. | Process monitoring, Process command-line parameters |
| Windows, macOS, Linux | Initial Access | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | Rancor has attached malicious documents to emails to gain initial access. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, macOS, Windows | Command and Control, Lateral Movement | [Remote File Copy](https://attack.mitre.org/techniques/T1105/) | Rancor has downloaded additional malware, including by using `certutil`. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Windows | Execution, Persistence, Privilege Escalation | [Scheduled Task](https://attack.mitre.org/techniques/T1053/) | Rancor has launched scheduled tasks to gain persistence using the `schtasks /create /sc` command. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Defense Evasion, Execution | [Scripting](https://attack.mitre.org/techniques/T1064/) | Rancor has used shell and VBS scripts, as well as embedded macros for execution. | Process monitoring, File monitoring, Process command-line parameters |
| Linux, macOS, Windows | Command and Control | [Standard Application Layer Protocol](https://attack.mitre.org/techniques/T1071/) | Rancor has used HTTP for command and control (C2) communications. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Linux, macOS, Windows | Execution | [Command-Line Interface](https://attack.mitre.org/techniques/T1059/) | Rancor has used `cmd.exe` to execute commands. | Process monitoring, Process command-line parameters |
| Linux, Windows, macOS | Execution | [User Execution](https://attack.mitre.org/techniques/T1204/) | Rancor has attempted to get users to click on an embedded macro within a Microsoft Office Excel document to launch their malware. | Anti-virus, Process command-line parameters, Process monitoring |

This revised version aims to improve clarity, coherence, and professionalism by standardizing the format and ensuring consistent terminology.
