# Debian参考手册

## 作者
Osamu Aoki (青木修)

## 版权声明
版权所有 © 2013-2021 青木修

## 版本信息
版本: 2.109  
发布日期: 2023年12月18日 14:53:01 UTC

## 目的
《Debian参考手册》旨在作为一份安装后的用户指南，为Debian系统的使用与管理提供广泛的概览。它通过非开发者编写的shell命令示例来涵盖系统管理的各个方面。

## 协作人员
- **编写者**: Osamu Aoki (青木修) - 2023年12月18日

## 修订历史
| 序号 | 日期       | 描述           | 名称     |
|------|------------|----------------|----------|
|      |            |                |          |

## 目录
1. GNU/Linux教程
    1.1 控制台基础
        1.1.1 shell提示符
        1.1.2 GUI下的shell提示符
        1.1.3 root账户
        1.1.4 root shell提示符
        1.1.5 GUI系统管理工具
        1.1.6 虚拟控制台
        1.1.7 怎样退出命令行提示符
        1.1.8 怎样关闭系统
        1.1.9 恢复一个正常的控制台
        1.1.10 建议新手安装的额外软件包
        1.1.11 额外用户账号
        1.1.12 sudo配置
        1.1.13 动手时间
    1.2 类Unix文件系统
        1.2.1 Unix文件基础
        1.2.2 文件系统深入解析
        1.2.3 文件系统权限
        1.2.4 控制新建文件的权限：umask
        1.2.5 一组用户的权限（组）
        1.2.6 时间戳
        1.2.7 链接
        1.2.8 命名管道（先进先出）
        1.2.9 套接字
        1.2.10 设备文件
        1.2.11 特殊设备文件
        1.2.12 procfs和sysfs
        1.2.13 tmpfs
    1.3 Midnight Commander (MC)
        1.3.1 自定义MC
        1.3.2 启动MC
        1.3.3 MC文件管理
        1.3.4 MC命令行技巧
        1.3.5 MC内部编辑器
        1.3.6 MC内部查看器
        1.3.7 自动启动MC
        1.3.8 MC中的虚拟文件系统
    1.4 类Unix工作环境基础
        1.4.1 登录shell
        1.4.2 定制bash
        1.4.3 特殊按键
        1.4.4 鼠标操作
        1.4.5 分页程序
        1.4.6 文本编辑器
        1.4.7 设置默认文本编辑器
        1.4.8 使用vim
        1.4.9 记录shell活动
        1.4.10 基本的Unix命令
    1.5 简单shell命令
        1.5.1 命令执行和环境变量
        1.5.2 “$LANG”变量
        1.5.3 “$PATH”变量
        1.5.4 “$HOME”变量
        1.5.5 命令行选项
        1.5.6 Shell通配符
        1.5.7 命令的返回值
        1.5.8 典型的顺序命令和shell重定向
        1.5.9 命令别名
    1.6 类Unix的文本处理
        1.6.1 Unix文本工具
        1.6.2 正则表达式
        1.6.3 替换表达式
        1.6.4 正则表达式的全局替换
        1.6.5 从文本文件的表格中提取数据
        1.6.6 用于管道命令的小片段脚本

2. Debian软件包管理
    2.1 Debian软件包管理的前提
        2.1.1 Debian软件包管理
        2.1.2 软件包配置
        2.1.3 基本的注意事项
        2.1.4 持续升级的生活
        2.1.5 Debian档案库基础
        2.1.6 Debian是100%的自由软件
        2.1.7 软件包依赖关系
        2.1.8 包管理的事件流
        2.1.9 对包管理问题的第一个回应
        2.1.10 如何挑选Debian软件包
        2.1.11 怎样和不一致的要求协作
    2.2 基础软件包管理操作
        2.2.1 apt vs. apt-get/apt-cache vs. aptitude
        2.2.2 命令行中的基础软件包管理操作
        2.2.3 aptitude的交互式使用
        2.2.4 aptitude的按键绑定
        2.2.5 aptitude软件包视图
        2.2.6 aptitude搜索方式选项
        2.2.7 aptitude正则表达式
        2.2.8 aptitude的依赖解决
        2.2.9 软件包活动日志
    2.3 aptitude操作范例
        2.3.1 查找感兴趣的软件包
        2.3.2 通过正则表达式匹配软件包名称来列出软件包
        2.3.3 使用正则表达式匹配浏览
        2.3.4 完整地清理已删除软件包
        2.3.5 调整自动/手动安装状态
        2.3.6 全面的系统升级
    2.4 高级软件包管理操作
        2.4.1 命令行中的高级软件包管理操作
        2.4.2 验证安装的软件包文件
        2.4.3 预防软件包故障
        2.4.4 搜索软件包元数据
    2.5 Debian软件包内部管理
        2.5.1 档案库元数据
        2.5.2 顶层“Release”文件及真实性
        2.5.3 档案库层的“Release”文件
        2.5.4 获取用于软件包的元数据
        2.5.5 APT的软件包状态
        2.5.6 aptitude的软件包状态
        2.5.7 获取的软件包的本地副本
        2.5.8 Debian软件包文件名称
        2.5.9 dpkg命令
        2.5.10 update-alternatives命令
        2.5.11 dpkg-statoverride命令
        2.5.12 dpkg-divert命令
    2.6 从损坏的系统中恢复
        2.6.1 缺少依赖导致的安装失败
        2.6.2 软件包数据缓存错误
        2.6.3 不兼容旧的用户配置
        2.6.4 具有相同文件的不同软件包
        2.6.5 修复损坏的软件包脚本
        2.6.6 使用dpkg命令进行救援
        2.6.7 恢复软件包选择数据
    2.7 软件包管理技巧
        2.7.1 上传软件包的是谁？
        2.7.2 限制APT的下载带宽
        2.7.3 自动下载和升级软件包
        2.7.4 更新和向后移植
        2.7.5 外部软件包档案库
        2.7.6 不使用apt-pinning的混合源档案库软件包
        2.7.7 使用apt-pinning调整获选版本
        2.7.8 阻止推荐的软件包的安装
        2.7.9 使用带有unstable软件包的testing版本
        2.7.10 使用带有experimental软件包的unstable版本
        2.7.11 紧急降级
        2.7.12 equivs软件包
        2.7.13 移植一个软件包到stable系统
        2.7.14 用于APT的代理服务器
        2.7.15 更多关于软件包管理的文档

3. 系统初始化
    3.1 启动过程概述
        3.1.1 第一阶段：UEFI
        3.1.2 第二阶段：引导加载程序
        3.1.3 第三阶段：迷你Debian系统
        3.1.4 第四阶段：常规Debian系统
    3.2 Systemd
        3.2.1 Systemd初始化
        3.2.2 Systemd登录

---

此优化后的文本结构更加清晰，内容连贯，并且专业性更强。希望这能帮助您更好地理解和使用《Debian参考手册》。
