| Samsung Galaxy S20 Ultra (2020)    | 6.9 inch  | 1440 x 3200 px | 412 x 915 px  | 511 ppi | 146 ppi | 3.5 xxxhdpi  | Android 10.0  |
| Samsung Galaxy S20+ (2020)         | 6.7 inch  | 1440 x 3200 px | 384 x 854 px  | 525 ppi | 140 ppi | 3.75 xxxhdpi | Android 10.0  |
| Samsung Galaxy S21 Ultra (2021)    | 6.8 inch  | 1440 x 3200 px | 384 x 854 px  | 515 ppi | 137 ppi | 3.75 xxxhdpi | Android 11.0  |
| Samsung Galaxy S8                  | 5.8 inch  | 1440 x 2960 px | 360 x 740 px  | 570 ppi | 142 ppi | 4.0 xxxhdpi  | Android 7.0   |
| Samsung Galaxy S8+                 | 6.2 inch  | 1440 x 2960 px |                          | 529 ppi | 132 ppi | 4.0 xxxhdpi  | Android 7.0   |
| Samsung Galaxy S9                  | 5.8 inch  | 1440 x 2960 px | 360 x 740 px  | 570 ppi | 142 ppi | 4.0 xxxhdpi  | Android 8.0   |
| Samsung Galaxy S9+                 | 6.2 inch  | 1440 x 2960 px |                          | 529 ppi | 151 ppi | 4 xxxhdpi    | Android 8.0   |
| Samsung Galaxy Z Flip (2020)       | 6.7 inch  | 1080 x 2636 px | 412 x 1004 px | 425 ppi | 162 ppi | 2.625 xxhdpi | Android 10.0  |
| Samsung Galaxy Z Fold2 (2020)      | 7.6 inch  | 1768 x 2208 px | 884 x 1104 px | 373 ppi | 187 ppi | 2 xhdpi      | Android 10.0  |
| Samsung Note10 (2019)              | 6.3 inch  | 1080 x 2280 px | 412 x 869 px  | 401 ppi | 153 ppi | 2.625 xxhdpi | Android 9.0   |
| Samsung Note10+ (2019)             | 6.8 inch  | 1440 x 3040 px | 412 x 869 px  | 498 ppi | 142 ppi | 3.5 xxxhdpi  | Android 9.0   |
| Samsung S6                         | 5.1 inch  | 1440 x 2560 px | 360 x 640 px  | 577 ppi | 144 ppi | 4.0 xxxhdpi  | Android 5.0.2 |
| Samsung S6 edge                    | 5.1 inch  | 1440 x 2560 px | 360 x 640 px  | 577 ppi | 144 ppi | 4.0 xxxhdpi  | Android 5.0.2 |
| Samsung S7                         | 5.1 inch  | 1440 x 2560 px | 360 x 640 px  | 577 ppi | 144 ppi | 4.0 xxxhdpi  | Android 6.0   |
| Samsung S7 edge                    | 5.5 inch  | 1440 x 2560 px | 360 x 640 px  | 534 ppi | 153 ppi | 4.0 xxxhdpi  | Android 6.0   |
| Sony Xperia X                      | 5 inch    | 1080 x 1920 px | 360 x 640 px  | 441 ppi | 147 ppi | 3.0 xxhdpi   | Android 6.0.1 |
| Sony Xperia XZ                     | 5.2 inch  | 1080 x 1920 px | 360 x 640 px  | 424 ppi | 141 ppi | 3.0 xxhdpi   | Android 6.0.1 |
| Xiaomi Redmi Note 7 (2019)         | 6.3 inch  | 1080 x 2340 px | 393 x 851 px  | 409 ppi | 149 ppi | 2.75 xxhdpi  | Android 9.0   |
| Xiaomi Redmi Note 8 (2019)         | 6.3 inch  | 1080 x 2340 px | 393 x 851 px  | 409 ppi | 149 ppi | 2.75 xxhdpi  | Android 9.0   |
| Xiaomi Redmi Note 8 Pro (2019)     | 6.53 inch | 1080 x 2340 px | 393 x 851 px  | 395 ppi | 144 ppi | 2.75 xxhdpi  | Android 9.0   |
{.show-header}
### Tablets
| DEVICES                     | SCREEN SIZE          | RESOLUTION                | VIEWPORT                  | DENSITY            | DEVICE DENSITY     | RATIO                | OS             |
|-----------------------------|----------------------|---------------------------|---------------------------|--------------------|--------------------|----------------------|----------------|
| Apple iPad 10.2" (2019)     | 10.2 inch | 1620 x 2160 px | 810 x 1080 px  | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  13.1.2 |
| Apple iPad 10.2" (2020)     | 10.2 inch | 1620 x 2160 px | 810 x 1080 px  | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  14     |
| Apple iPad Air              | 9.7 inch  | 1536 x 2048 px | 768 x 1024 px  | 264 ppi | 132 ppi | 2.0 xhdpi | iOS 7          |
| Apple iPad Air 10.5" (2019) | 10.5 inch | 1668 x 2224 px | 834 x 1112 px  | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  13.1.2 |
| Apple iPad Air 10.9" (2020) | 10.9 inch | 1640 x 2360 px | 820 x 1180 px  | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  14     |
| Apple iPad Air 2            | 9.7 inch  | 1536 x 2048 px | 768 x 1024 px  | 264 ppi | 132 ppi | 2.0 xhdpi | iOS 8.1        |
| Apple iPad Mini 7.9" (2019) | 7.9 inch  | 1536 x 2048 px | 768 x 1024 px  | 324 ppi | 162 ppi | 2 xhdpi   | iPadOS  13.1.2 |
| Apple iPad Pro              | 12.9 inch | 2048 x 2732 px | 1024 x 1366 px | 264 ppi | 132 ppi | 2.0 xhdpi | iOS 9          |
| Apple iPad Pro 10.5 (2017)  | 10.5 inch | 1668 x 2224 px | 834 x 1112 px  | 264 ppi | 132 ppi | 2.0 xhdpi | iOS 11         |
| Apple iPad Pro 11" (2018)   | 11 inch   | 1668 x 2388 px | 834 x 1194 px  | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  13.1.2 |
| Apple iPad Pro 11" (2020)   | 11 inch   | 1668 x 2388 px | 834 x 1194 px  | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  13.4   |
| Apple iPad Pro 12.9" (2018) | 12.9 inch | 2048 x 2732 px | 1024 x 1366 px | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  13.1.2 |
| Apple iPad Pro 12.9" (2020) | 12.9 inch | 2048 x 2732 px | 1024 x 1366 px | 264 ppi | 132 ppi | 2 xhdpi   | iPadOS  13.4   |
| Apple iPad Pro 9.7          | 9.7 inch  | 1536 x 2048 px | 768 x 1024 px  | 264 ppi | 132 ppi | 2.0 xhdpi | iOS 9.3.2      |
| Apple iPad Pro 9.7 (2017)   | 9.7 inch  | 1536 x 2048 px | 768 x 1024 px  | 264 ppi | 132 ppi | 2.0 xhdpi | iOS 10.3       |
| Apple iPad mini 3           | 7.9 inch  | 1536 x 2048 px | 768 x 1024 px  | 324 ppi | 132 ppi | 2.0 xhdpi | iOS 9          |
| Apple iPad mini 4           | 7.9 inch  | 1536 x 2048 px | 768 x 1024 px  | 324 ppi | 162 ppi | 2.0 xhdpi | iOS 8.1        |
| Google Pixel C (2015)       | 10.2 inch | 2560x1800 px   | 1280 x 900 px  | 308 ppi | 154 ppi | 2 xhdpi   | Android 6.0.1  |
{.show-header}
### Laptops
| DEVICES              | SCREEN SIZE          | RESOLUTION                | VIEWPORT                 | DENSITY            | DEVICE DENSITY     | RATIO                | OS              |
|----------------------|----------------------|---------------------------|--------------------------|--------------------|--------------------|----------------------|-----------------|
