7.7.3 近似视频点播的文件存放
7.7.4 在单个磁盘上存放多个文件
7.7.5 在多个磁盘上存放文件
7.8 高速缓存
7.8.1 块高速缓存
7.8.2 文件高速缓存
7.9 多媒体磁盘调度
7.9.1 静态磁盘调度
7.9.2 动态磁盘调度
7.10 有关多媒体的研究
7.11 小结
习题
第8章 多处理机系统
8.1 多处理机
8.1.1 多处理机硬件
8.1.2 多处理机操作系统类型
8.1.3 多处理机同步
8.1.4 多处理机调度
8.2 多计算机
8.2.1 多计算机硬件
8.2.2 低层通信软件
8.2.3 用户层通信软件
8.2.4 远程过程调用
8.2.5 分布式共享存储器
8.2.6 多计算机调度
8.2.7 负载平衡
8.3 虚拟化
8.3.1 虚拟化的条件
8.3.2 I型管理程序
8.3.3 II型管理程序
8.3.4 准虚拟化
8.3.5 内存的虚拟化
8.3.6 I/O设备的虚拟化
8.3.7 虚拟工具
8.3.8 多核处理机上的虚拟机
8.3.9 授权问题
8.4 分布式系统
8.4.1 网络硬件
8.4.2 网络服务和协议
8.4.3 基于文档的中间件
8.4.4 基于文件系统的中间件
