User: 如何在Linux系统中进行系统监控？请列出常用的系统监控工具和指标。
Assistant: 常用的Linux系统监控工具有：

1. top：实时显示系统中运行的进程和它们的资源占用情况。

2. htop：top的增强版，提供了更多的交互式操作和信息显示。

3. sar：系统活动报告，可以对CPU、内存、硬盘等进行详细的统计和报告。

4. vmstat：虚拟内存统计，可以显示CPU、IO、内存等数据。

5. iostat：输入输出统计，可以报告磁盘IO的读写性能。

6. netstat：网络统计，可以显示网络连接状态和传输情况。

7. ntop：网络监控，可以实时监控网络流量、连接情况等。

8. iftop：类似于top的网络流量监控工具。

常用的系统监控指标包括：

1. CPU使用情况：包括用户空间利用率、系统空间利用率、等待I/O、空闲等。

2. 内存使用情况：包括总内存、已使用内存、空闲内存、内存缓存等。

3. 磁盘IO活动情况：包括读写速度、响应时间、等待队列长度等。

4. 网络流量情况：包括速度、包数、连接状态等。

5. 进程数量和状态：包括运行中、休眠、停止等。

6. 负载平均值：反映系统负荷情况，包括1分钟、5分钟和15分钟的平均负载。

7. 温度和电压等硬件监控情况。
