# 声明：本页面所有信息均来自互联网，如有侵权！请及时与我联系。
- https://xz.aliyun.com/t/1140#toc-11  黑客入侵应急分析手工排查
- https://xz.aliyun.com/t/2524  Windows 系统安全事件应急响应
- https://www.jianshu.com/p/134c381d5687  windows、linux应急响应、安全巡检
- https://yq.aliyun.com/articles/85909   应急响应大合集：用于安全事件响应的工具与资源列表
- https://mp.weixin.qq.com/s/mG0O8Pr8kFF195JLc-XD3A  Linux 应急响应流程及实战演练     
- https://mp.weixin.qq.com/s/odo2Fjtklj-ibStAsyUjHw  windows 应急流程及实战演练    
- https://bbs.sangfor.com.cn/forum.php?mod=viewthread&tid=31919  webshell事件处置之X老师徒手抓小黑客    
- http://www.sohu.com/a/255074596_653604  网络安全应急响应流程
- https://www.jianshu.com/p/e49f0319044c   关于应急响应的一点笔记
- https://www.secrss.com/articles/2036  金融企业网络安全应急响应之基础篇
- https://github.com/grayddq/GScan  Linux主机排查自动全面化检测工具
- https://github.com/Bypass007/Emergency-Response-Notes 应急响应实战笔记
- https://github.com/jiansiting/Decryption-Tools/blob/master/readme.md  勒索病毒解密工具汇总
