# Network Ports and Services Overview

**Authors:**

## Table of Contents
1. [Ports and Services](#ports-and-services)
2. [Links](#links)

## Ports and Services

The following table provides a comprehensive list of common network ports, their associated protocols, services, and relevant commands for testing and interaction.

| **Port Number** | **Protocol** | **Service & Application** | **Commands** |
|:---------------:|:------------:|:-------------------------:|:-------------|
| 1               | TCP          | BlackICE                  | -            |
| 7               | TCP          | Echo                      | -            |
| 11              | TCP          | Systat                    | -            |
| 13              | TCP          | Daytime                   | -            |
| 15              | TCP          | Netstat                   | -            |
| 17              | TCP          | Quote of the Day          | -            |
| 19              | TCP          | Character Generator       | -            |
| 21              | TCP          | FTP                       | `nmap --script ftp-anon <target>` |
| 22              | TCP          | SSH                       | `msf > use auxiliary/scanner/ssh/ssh_login`<br>`nmap --script ssh2-enum-algos <target>`<br>`nmap --script ssh-hostkey <target>`<br>`nmap --script sshv1 <target>` |
| 23              | TCP          | Telnet                    | `msf > use auxiliary/scanner/telnet/telnet_login`<br>`nmap -p 23 --script telnet-brute --script-args userdb=myusers.lst,passdb=mypwds.lst,telnet-brute.timeout=8s <target>`<br>`nmap -p 23 --script telnet-encryption <target>`<br>`nmap -p 23 --script telnet-ntlm-info <target>` |
| 25              | TCP          | SMTP                      | `nmap -p 25 --script smtp-brute <target>`<br>`nmap --script smtp-commands.nse [--script-args smtp-commands.domain=<domain>] -pT:25,465,587 <target>`<br>`nmap -p 25,465,587 --script smtp-ntlm-info --script-args smtp-ntlm-info.domain=domain.com <target>`<br>`nmap --script smtp-open-relay.nse [--script-args smtp-open-relay.domain=<domain>,smtp-open-relay.ip=<address>,...] -p 25,465,587 <target>`<br>`nmap --script=smtp-vuln-cve2010-4344 --script-args="smtp-vuln-cve2010-4344.exploit" -pT:25,465,587 <target>`<br>`nmap --script=smtp-vuln-cve2010-4344 --script-args="exploit.cmd='uname -a'" -pT:25,465,587 <target>`<br>`nmap --script=smtp-vuln-cve2011-1720 --script-args='smtp.domain=<domain>' -pT:25,465,587 <target>`<br>`nmap --script=smtp-vuln-cve2011-1764 -pT:25,465,587 <target>` |
| 26              | TCP          | SSH                       | -            |
| 37              | TCP          | Rdate                     | -            |
| 49              | TCP          | TACACS+                   | -            |
| 53              | TCP/UDP      | DNS                       | -            |
| 67              | TCP          | DHCP                      | -            |
| 68              | TCP          | Dhclient                  | -            |
| 69              | UDP          | TFTP, BitTorrent          | -            |
| 70              | TCP          | Gopher                    | -            |
| 79              | TCP          | Finger                    | -            |
