 VOLT_HIGH,[STRING]: Voltage is high.,$1：端口类型和编号,5,OPTMOD/5/VOLT_HIGH: GigabitEthernet1/0/13:   Voltage is high.,光模块电压超过上限,1.display   transceive diagnosis interface命令查看电压是否已经超过高告警门限   2.display   transceive alarm interface命令查看当前是否确实有电压高告警   3.如果确实超过门限了，模块有问题，更换模块
 VOLT_LOW,[STRING]: Voltage is low.,$1：端口类型和编号,5,OPTMOD/5/VOLT_LOW: GigabitEthernet1/0/13:   Voltage is low.,光模块电压低于下限,1.display   transceive diagnosis interface命令查看电压是否已经超过低告警门限   2.display   transceive alarm interface命令查看当前是否确实有电压低告警   3.如果确实超过门限了，模块有问题，更换模块
 VOLT_NORMAL,[STRING]: Voltage is normal.,$1：端口类型和编号,5,OPTMOD/5/VOLT_NORMAL: GigabitEthernet1/0/13:   Voltage is normal!,光模块电压恢复至正常范围,无
 OSPF_DUP_RTRID_NBR,"OSPF [UINT16] Duplicate router ID   [STRING] on interface [STRING], sourced from IP address [IPADDR].",$1：OSPF进程ID   $2：路由器ID   $3：接口名称   $4：IP地址,6,"OSPF/6/OSPF_DUP_RTRID_NBR: OSPF 1   Duplicate router ID 11.11.11.11 on interface GigabitEthernet0/0/3, sourced from   IP address 11.2.2.2.",检测到两台直连设备配置了相同的路由器ID,修改其中一台设备的路由器ID，并使用reset ospf process命令使新的路由器ID生效
 OSPF_IP_CONFLICT_INTRA,OSPF [UINT16] Received newer   self-originated network-LSAs. Possible conflict of IP address [IPADDR] in   area [STRING] on interface [STRING].,$1：OSPF进程ID   $2：IP地址   $3：OSPF区域ID   $4：接口名称,6,OSPF/6/OSPF_IP_CONFLICT_INTRA: OSPF 1   Received newer self-originated network-LSAs. Possible conflict of IP address 11.1.1.1   in area 0.0.0.1 on interface GigabitEthernet0/0/3.,同一OSPF区域内两台设备的接口上可能配置了相同的主IP地址，其中至少一台设备是DR,在确保同一OSPF区域内不存在Router ID冲突的情况下，修改IP地址配置
 OSPF_LAST_NBR_DOWN,OSPF [UINT32] Last neighbor down event: Router   ID: [STRING] Local address: [STRING] Remote address: [STRING] Reason: [STRING].,$1：OSPF进程ID   $2：路由器ID   $3：本地IP地址   $4：邻居IP地址   $5：原因,6,OSPF/6/OSPF_LAST_NBR_DOWN: OSPF 1 Last   neighbor down event: Router ID: 2.2.2.2 Local address: 10.1.1.1 Remote   address: 10.1.1.2 Reason: Dead Interval timer expired.,最近一次OSPF邻居down事件,检查OSPF邻居down事件的原因，根据具体原因进行处理：   ·如果是配置相关命令导致邻居down，如接口参数变化等，请检查配置是否正确   ·如果是超时邻居down，检查网络状况或者配置的超时时间是否合理   ·如果是BFD检测导致的邻居down ，检查网络状况或者BFD检测时间配置是否合理   ·如果是接口状态变化导致的邻居down，检查网络连接情况
 OSPF_MEM_ALERT,OSPF Process received system memory alert   [STRING] event.,$1：内存告警类型,5,OSPF/5/OSPF_MEM_ALERT: OSPF Process   received system memory alert start event.,OSPF模块收到内存告警信息,当超过各级内存门限时，检查系统内存，对占用内存较多的模块进行调整，尽量释放可用内存
 OSPF_NBR_CHG,OSPF [UINT32] Neighbor [STRING] ([STRING])   changed from [STRING] to [STRING].,$1：OSPF进程ID   $2：邻居路由器ID   $3：接口名称   $4：旧邻接状态   $5：新邻接状态,5,OSPF/5/OSPF_NBR_CHG: OSPF 1 Neighbor   2.2.2.2 (Vlan-interface100) changed from Full to Down.,接口OSPF邻接状态改变,当某接口与邻居邻接状态从Full变为其他状态时，检查OSPF配置正确性和网络连通性
 OSPF_RT_LMT,OSPF [UINT32] route limit reached.,$1：OSPF进程ID,4,OSPF/4/OSPF_RT_LMT: OSPF 1 route limit   reached.,OSPF进程的路由数达到了上限值,检查是否受到攻击或者减少网络路由数
 OSPF_RTRID_CHG,"OSPF [UINT32] New router ID elected,   please restart OSPF if you want to make the new router ID take effect.",$1：OSPF进程ID,5,"OSPF/5/OSPF_RTRID_CHG: OSPF 1 New router   ID elected, please restart OSPF if you want to make the new router ID take   effect.",用户更改了router   ID或者是使用的接口IP发生变化而改变了OSPF路由器ID。需要手动重启OSPF使新的路由器ID生效,使用reset ospf process命令使新的路由器ID生效
 OSPF_RTRID_CONFLICT_INTER,OSPF [UINT16] Received newer   self-originated ase-LSAs. Possible conflict of router ID [STRING].,$1：OSPF进程ID   $2：路由器ID,6,OSPF/6/OSPF_RTRID_CONFILICT_INTER: OSPF 1   Received newer self-originated ase-LSAs. Possible conflict of router ID   11.11.11.11.,同一OSPF域内非直连的两台设备可能配置了相同的路由器ID，其中一台设备为ASBR,修改其中一台设备的路由器ID，并使用reset ospf process命令使新的路由器ID生效
