# Misc 04 (misc, 140p, 36 solved)
In the task we get access to an application:
```
                   Wellcom to Friendly face challenge
According to experts, the formula for measuring the friendliness of a face is
    (lip point**nose point)**(eyes point**forehead point) mod Face_index
                              Now play!
------------------------------Stage 1--------------------------------------
Face_index: 9928546
Face           Lip point      Nose point     Eyes point     Forehead point 
:-)            568824892      457742011      941012180      253144504      
(';')          23952035       628931911      972045092      777026341      
(=^..^=)       686029537      64319452       611190375      112129192      
:)             617374078      81959857       20649197       24703650       
:-]            280039606      627778866      988980689      684158291      
:]             60783119       594342583      347303300      539141757      
:-3            321261378      928676123      34262697       822086619      
:3             321223152      802095261      306245331      746806683      
:->            267149366      274650373      453784293      155962876      
:>             147037766      878265535      332179064      544535138      
:-*            282364953      414082899      798987403      764105746      
:*             583265502      889346653      407539632      137243339      
(>__         727687008      366192925      114776444      54859934       
(';')          437962554      268054657      936090419      377085453      
(^_^;)         964356686      583217140      860994507      930144447      
(-_-;)         574103967      483119825      355139943      678768494      
(~_~;)         389800758      803218695      435535853      239965696      
(...;)         359662407      610432925      642837810      772797892      
(._.;)         509720900      307969711      80913034       958275474      
^_^;           859083357      536473752      783709719      414574837      
(#^.^#)        557456218      753671213      649539972      266160251      
(^^;)          140043688      782606707      915951984      913136529      
(-_-)zzz       866318536      905466702      220292777      185393572      
(^_-)          445063898      96616021       982269754      18154          
((+_+))        792421359      230028929      670678620      542664022      
(+o+)          902780243      773999795      696449166      573196057      
^_^            482459943      486150568      797684171      883635208      
(^_^)/         194918846      505240052      344925190      628519414      
(=_=)          204409002      470486904      847693668      200782527      
(?_?)          641072342      281225817      293240755      321003907      
(^_^)          324078528      889045681      483983051      103283684      
(~o~)          57590473       618155926      389926985      4295912        
(~_~)          480720695      535339640      709805607      130080855      
o.O            88139622       584724341      528917361      868022901      
(o.o)          31773824       321278395      230937564      139287394      
oO             929305518      457021266      885282508      821646046      
_>            86259272       495387210      523761674      655522004      
          352569223      806985052      405453886      96888458       
(>^.^)         13446885       781237903      842345802      967302054      
(^.^,:-(           273791760      575559835      149683227      202477348      
@(-_-)@        385413303      476361140      733303627      988872984      
@(^_^)@        162219164      322345611      136067195      835475504      
~O-O~          871128442      534455323      132275419      372845099      
:)]            789516425      636339074      530573592      89693503       
.-]            720189903      767600763      32801237       62540911       
.-)            526402082      503564697      735408367      406646597      
,-)            284230473      377456495      171934951      584351302      
':-(           934728851      411860493      740283917      152086679      
'-)            296992354      721230115      853558354      582693347      
:-D            611619258      364242222      775590048      18022636       
:=)            149406960      655734808      401841140      420418918      
:@             524904631      323701516      445590058      166023135      
-           860279369      879340025      531178009      275273365      
:^)            998244997      568869594      564026954      915507847      
3:]            627467503      261246151      519795303      424916420      
(o^-^o)        127803732      820062459      77131195       633921273      
:-        436096951      167519805      895912006      597810060      
9_9            182635947      968356305      365764220      374100297      
=))            357705508      909193878      176866598      126632317      
7:)            52189358       812712480      882190330      90405608       
()          992091929      126117984      520145161      784652516      
:-(            958493227      371815292      156487035      318488198      
/:-)           798055879      768101151      854110711      293863015      
(-_-)          247572818      96884158       225496762      524371879      
:-*            476938541      184608385      859713180      38362037       
::=))          217212770      475918153      8001010        52368247       
o_o            960321847      777557966      370232776      603559555      
(*^_^*)        164917508      497580071      304718977      778749984      
(-::-)         135600425      591552662      411230811      844033074      
(^o^)          114043599      267851809      764197233      729657426      
:o)            77033635       724309071      532256499      650125580      
:|)            92133304       673460316      661186700      844697945      
:)             341143663      291599585      224605429      514213089      
:-)            616261301      602862592      150890219      603786555      
+:-)           413093363      228415667      18326665       17079145       
(:-)           584187072      634395735      223113532      45382578       
{:-)           343750287      1908872        702997957      311091423      
^&^            529079589      574938394      233399359      117832407      
=.=            577014898      409511688      354573727      22364817       
*~*            196610398      165376804      497915681      485447329      
(:>-<          804706985      474755647      535797022      259962366      
:-)---         860526346      688746022      263287692      724472915      
