  pid  | relation |   locktype    | database | relation | page | tuple | virtualxid | transactionid | classid | objid | objsubid | virtualtransaction |  pid  |       mode       | granted | fastpath   
-------+----------+---------------+----------+----------+------+-------+------------+---------------+---------+-------+----------+--------------------+-------+------------------+---------+----------  
 57451 | p13      | relation      |    13285 |  1920786 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p12      | relation      |    13285 |  1920778 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p11      | relation      |    13285 |  1920770 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p10      | relation      |    13285 |  1920762 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p9       | relation      |    13285 |  1920754 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p8       | relation      |    13285 |  1920746 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p7       | relation      |    13285 |  1920738 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p6       | relation      |    13285 |  1920730 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p5       | relation      |    13285 |  1920722 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p4       | relation      |    13285 |  1920714 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p3       | relation      |    13285 |  1920706 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p2       | relation      |    13285 |  1920698 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p1       | relation      |    13285 |  1920690 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | p0       | relation      |    13285 |  1920682 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 | pg_locks | relation      |    13285 |    11645 |      |       |            |               |         |       |          | 3/60843            | 57451 | AccessShareLock  | t       | t  
 57451 | p        | relation      |    13285 |  1920677 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | t  
 57451 |          | virtualxid    |          |          |      |       | 3/60843    |               |         |       |          | 3/60843            | 57451 | ExclusiveLock    | t       | t  
 57451 | p197     | relation      |    13285 |  1922258 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p250     | relation      |    13285 |  1922682 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p152     | relation      |    13285 |  1921898 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p20      | relation      |    13285 |  1920842 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p150     | relation      |    13285 |  1921882 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p112     | relation      |    13285 |  1921578 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p210     | relation      |    13285 |  1922362 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p131     | relation      |    13285 |  1921730 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p198     | relation      |    13285 |  1922266 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p223     | relation      |    13285 |  1922466 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p165     | relation      |    13285 |  1922002 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p43      | relation      |    13285 |  1921026 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p168     | relation      |    13285 |  1922026 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p95      | relation      |    13285 |  1921442 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p98      | relation      |    13285 |  1921466 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p160     | relation      |    13285 |  1921962 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p50      | relation      |    13285 |  1921082 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p71      | relation      |    13285 |  1921250 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p44      | relation      |    13285 |  1921034 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p51      | relation      |    13285 |  1921090 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p216     | relation      |    13285 |  1922410 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p63      | relation      |    13285 |  1921186 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p18      | relation      |    13285 |  1920826 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p101     | relation      |    13285 |  1921490 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p253     | relation      |    13285 |  1922706 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p215     | relation      |    13285 |  1922402 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p48      | relation      |    13285 |  1921066 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p225     | relation      |    13285 |  1922482 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p97      | relation      |    13285 |  1921458 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p36      | relation      |    13285 |  1920970 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p17      | relation      |    13285 |  1920818 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p142     | relation      |    13285 |  1921818 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p171     | relation      |    13285 |  1922050 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p237     | relation      |    13285 |  1922578 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p94      | relation      |    13285 |  1921434 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p76      | relation      |    13285 |  1921290 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p147     | relation      |    13285 |  1921858 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p231     | relation      |    13285 |  1922530 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p187     | relation      |    13285 |  1922178 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p30      | relation      |    13285 |  1920922 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p108     | relation      |    13285 |  1921546 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p177     | relation      |    13285 |  1922098 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p64      | relation      |    13285 |  1921194 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p175     | relation      |    13285 |  1922082 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p54      | relation      |    13285 |  1921114 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p207     | relation      |    13285 |  1922338 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p243     | relation      |    13285 |  1922626 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p217     | relation      |    13285 |  1922418 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p119     | relation      |    13285 |  1921634 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p45      | relation      |    13285 |  1921042 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p73      | relation      |    13285 |  1921266 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p83      | relation      |    13285 |  1921346 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p103     | relation      |    13285 |  1921506 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p55      | relation      |    13285 |  1921122 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p52      | relation      |    13285 |  1921098 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p251     | relation      |    13285 |  1922690 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p34      | relation      |    13285 |  1920954 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p32      | relation      |    13285 |  1920938 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
 57451 | p69      | relation      |    13285 |  1921234 |      |       |            |               |         |       |          | 3/60843            | 57451 | RowExclusiveLock | t       | f  
