### 应急保障能力的体现与措施

为了确保应急保障能力，可以采取以下措施：

1. **建立应急预案**：
   - 提前做好各类预判和准备工作。
   - 定期对应急预案进行演练，包括不同类型事件的应急保障团队、服务方式等。
   - 确保在突发故障发生时能够有条不紊地按照预案进行应急响应和处理。

2. **配备应急服务装备**：
   - 准备必要的工具、备件、软件、3G无线网卡和精确检测仪器等。
   - IT运维专家应具备通过技术手段提升应急保障能力的专业技能。

3. **建议用户储备必要备品备件**：
   - 对于包含硬件设备的信息化系统，建议用户储备必要的备品、备件和备用设备。
   - 一旦突发硬件故障且短时间内无法修复时，能够利用备品备件先行顶替故障设备，尽快恢复业务。

### 运维服务的保障措施

运维服务的效果体现为“有保障”，即召之即来、来之能战、战之能胜，让用户对系统和运维放心。具体措施如下：

1. **多途径运维服务**：
   - 通过网络互动服务、电话服务热线和现场服务等多种途径，确保用户随时随地都能找到我们。

2. **建立运维梯队**：
   - 对于较大的IT系统，建立一线、二线、三线运维梯队，二线支持一线，三线支持二线。
   - 系统开发商和设备供应商属于三线支持，必要时给予二线足够的支持与保障。
   - 对于较小或较简单的IT系统，不一定需要完备的一线、二线、三线队伍，但需在岗位职责中明确相应的职责，确保运维工作流程闭环。

3. **完善的软硬件支撑环境**：
   - 包括IT服务管理平台、电话呼叫系统、网上培训平台、全套运维模拟环境和运维协同办公系统等。

4. **制定重点保障预案**：
   - 在业务高峰期或重点节假日期间，制定并严格执行重点保障预案，并在结束后向用户提交完成情况报告。

### 掌握服务平衡

要做好IT运维，需要理解八项原则的要义。这八项原则如同练好内功的秘籍，只有练到炉火纯青，才能确保运维工作的高效和可靠。

#### 主动服务与受理服务

1. **主动服务**：
   - 目的是防患于未然，提供系统的维护保养服务，使其长期处于健康稳定状态。
   - 形式包括：提供服务计划、定期巡检、设计应急预案等。
   - 工作内容包括：远程监控、现场巡检、技术培训、服务报告、问卷调查等。
   - 评价标准从策略制定、计划实施和服务评价三个方面进行。

2. **受理服务**：
   - 用户在发生故障时提出服务需求并获得运维服务的过程。
   - 目的是在系统意外故障时快速有效解决问题，减少对业务的影响。
   - 包括受理各类用户电话请求（故障请求、服务请求、咨询请求等）、远程请求和现场服务请求。
   - 标准包括：分类标准、处理规范和效率要求。
   - 分类标准基于紧急度和影响度两个维度，处理规范包括响应时间、电话作业规范和事件处理流程，效率要求包括目标恢复时间和目标解决时间。

#### 服务的平衡

好的IT运维服务能为IT系统提供全方位的维护保养。运维专家既要能够“治未病”（主动服务），也要能够“治已病”（受理服务）。这两项服务都要做好，其实际工作中的占比需根据企业实际情况和用户需求而定。

- **避免不合理比例**：例如，在系统建设期刚结束、运维期刚开始之际，如果运维人员没有提前介入，容易出现手忙脚乱的局面，疲于应付受理服务而无暇顾及主动服务。
- **提前规划**：在系统规划期对IT系统的运维需求进行调研，并预先规划运维指标，包括工作量测算、运维范围、技术资料和资源需求等。
- **及时介入**：在系统建设后期，运维服务团队应及时介入收尾工作，确保平稳过渡到运维期，并有效开展主动服务，切实起到保驾护航的作用。

通过以上措施，可以确保IT运维服务的全面性和高效性，满足用户的多样化需求。
