### 密码保护服务的风险
使用相同用户名和密码访问多个服务存在安全隐患。例如，攻击者可能从一个免费的互联网邮件网站获取用户的明文用户名和密码，然后利用这些信息登录到重要的在线银行账户。这突显了重复使用密码的风险。

### 基本认证的局限性
1. **缺乏中间人防护**：基本认证没有提供针对代理或中间节点篡改报文内容的防护措施，尽管它们不修改认证首部。
2. **易受假冒服务器攻击**：如果用户被引导至恶意服务器或网关，攻击者可以诱骗用户提供密码并存储以备后续使用，同时向用户发送伪造的错误消息。

### 基本认证的应用场景
在相对安全的环境中，基本认证可以用于文档个性化或简单的访问控制。例如，公司内部的产品管理可能会对未发布的产品计划进行密码保护，防止信息提前泄露。对于非高度机密的信息，如私人照片或个人站点，基本认证也足以阻止一般用户的无意访问。将基本认证与SSL等加密技术结合使用，可以进一步增强安全性。

### 安全建议
- 在更安全的系统中使用不同的用户名和密码，避免因密码重用导致的安全风险。
- 虽然公司内部员工通常不会恶意获取密码，但仍需谨慎处理敏感数据，特别是那些一旦被恶意获取会造成重大损失的数据。

### 摘要认证的优势
摘要认证是另一种HTTP认证协议，旨在解决基本认证的主要缺陷：
- **密码隐藏**：密码永远不会以明文形式在网络上传输。
- **防重放攻击**：通过引入随机数（nonce）机制，防止恶意用户截获并重放认证过程。
- **报文篡改防护**：可选择性地防止报文内容被篡改。
- **抵御常见攻击**：提供了额外的安全保障。

### 摘要认证的工作原理
1. **请求受保护资源**：客户端请求一个受保护的文档。
2. **服务器发起质询**：服务器要求客户端提供用户名和密码的摘要。
3. **客户端响应**：客户端计算密码的摘要，并将其与用户名一起发送给服务器。
4. **验证摘要**：服务器比较收到的摘要与其自己计算的摘要，如果匹配则提供文档。

### 单向摘要函数
- **定义**：单向摘要函数是一种将无限输入值转换为有限输出值的函数。
- **特性**：即使知道摘要，也很难逆向推导出原始输入。
- **示例**：MD5是一种常用的摘要函数，它将任意长度的输入转换为128位的摘要。

### 随机数防止重放攻击
- **作用**：通过在密码中加入随机数，确保每次生成的摘要都是唯一的，从而防止重放攻击。
- **实现**：服务器在WWW-Authenticate质询中发送随机数，客户端在计算摘要时包含该随机数。

### 摘要认证的握手机制
- **步骤**：
  1. 服务器生成随机数并发送质询。
  2. 客户端选择算法，计算摘要并发送响应。
  3. 服务器验证摘要，确认身份后提供资源。

### 摘要计算
- **输入数据**：公共信息、保密信息和有时限的随机值。
- **算法**：通常简单且易于实现，附录F提供了示例代码。

### 总结
虽然基本认证便捷灵活，但其安全性较低。摘要认证通过隐藏密码、防止重放攻击和报文篡改等措施，提供了更强的安全性。结合传输层安全（TLS）和HTTPS协议，可以进一步提升安全性。
