3.3 虚拟内存
3.3.1 分页
3.3.2 页表
3.3.3 加速分页过程
3.3.4 针对大内存的页表
3.4 页面置换算法
3.4.1 最优页面置换算法
3.4.2 最近未使用页面置换算法
3.4.3 先进先出页面置换算法
3.4.4 第二次机会页面置换算法
3.4.5 时钟页面置换算法
3.4.6 最近最少使用页面置换算法
3.4.7 用软件模拟LRU
3.4.8 工作集页面置换算法
3.4.9 工作集时钟页面置换算法
3.4.10 页面置换算法小结
3.5 分页系统中的设计问题
3.5.1 局部分配策略与全局分配策略
3.5.2 负载控制
3.5.3 页面大小
3.5.4 分离的指令空间和数据空间
3.5.5 共享页面
3.5.6 共享库
3.5.7 内存映射文件
3.5.8 清除策略
3.5.9 虚拟内存接口
3.6 有关实现的问题
3.6.1 与分页有关的工作
3.6.2 缺页中断处理
3.6.3 指令备份
3.6.4 锁定内存中的页面
3.6.5 后备存储
3.6.6 策略和机制的分离
3.7 分段
3.7.1 纯分段的实现
3.7.2 分段和分页结合：MULTICS
3.7.3 分段和分页结合：Intel Pentium
3.8 有关存储管理的研究
3.9 小结
习题
第4章 文件系统
