 FAILEDTOWRITEPWD,Failed to write the password records to   file.,N/A,6,PWDCTL/6/FAILEDTOWRITEPWD: Failed to   write the password records to file.,设备无法将用户密码写入密码记录文件,请检查设备文件系统存储空间是否充足
 MIRROR_SYNC_CFG_FAIL,"Failed to restore configuration for   monitoring group [UINT32] in [STRING], because [STRING]",$1：监控组编号   $2：恢复失败的业务板的槽位号   $3：数据恢复失败的详细原因,4,"QOS/4/MIRROR_SYNC_CFG_FAIL: Failed to   restore configuration for monitoring group 1 in chassis 2 slot 1, because monitoring   resources are insufficient.",业务板插入设备后，恢复该业务板监控组数据失败。失败原因如下：   ·监控端口总数超过当前监控组支持的最大数量   ·当前业务板监控资源不足   ·监控组中端口的类型在当前业务板不支持,删除或者修改不支持配置
 QOS_CAR_APPLYUSER_FAIL,[STRING]; Failed to apply the [STRING]   CAR in [STRING] profile [STRING] to the user. Reason: [STRING].,$1：用户标识信息   $2：CAR应用方向   $3：Profile类型   $4：Profile名称   $5：失败原因,4,QOS/4/QOS_CAR_APPLYUSER_FAIL: -MAC=1111-2222-3333-IP=192.168.1.2-SVLAN=100-VPN=”N/A”-Port=GigabitEthernet5/1/5;   Failed to apply the inbound CAR in user profile a to the user. Reason: The   resources are insufficient.,1.用户上线，下发配置的CAR信息失败   2.用户已经上线，修改CAR信息或者增加CAR应用失败,取消CAR在profile下的应用或者修改CAR的相关参数信息
 QOS_CBWFQ_REMOVED,CBWFQ is removed from [STRING].,$1：接口名称,3,QOS/3/QOS_CBWFQ_REMOVED: CBWFQ is removed   from GigabitEthernet4/0/1.,因接口最大带宽或接口速率更改后低于接口上原来配置的CBWFQ要求的带宽或速率，系统从接口上删除CBWFQ,增大接口最大带宽或接口速率后重新应用被删除的CBWFQ
 QOS_GTS_APPLYUSER_FAIL,[STRING]; Failed to apply GTS in user   profile [STRING] to the user. Reason: [STRING].,$1：用户标识信息   $2：User profile名称   $3：失败原因,4,QOS/4/QOS_GTS_APPLYUSER_FAIL: -MAC=1111-2222-3333-IP=192.168.1.2/16-CVLAN=100-Port=GigabitEthernet5/1/5;   Failed to apply GTS in user profile a to the user. Reason: The resources are   insufficient.,1.用户上线，下发配置的GTS信息失败   2.用户已经上线，修改GTS信息或者增加GTS应用失败,取消GTS在user profile下的应用或者修改GTS的相关参数信息
 QOS_NOT_ENOUGH_BANDWIDTH,Policy [STRING] requested bandwidth [UINT32](kbps).   Only [UINT32](kbps) is available on [STRING].,$1：QoS策略名称   $2：CBWFQ需要的带宽   $3：接口可用带宽   $4：接口名称,3,QOS/3/QOS_NOT_ENOUGH_BANDWIDTH: Policy d   requested bandwidth 10000(kbps). Only 80(kbps) is available on   GigabitEthernet4/0/1.,因CBWFQ要求的带宽大于接口最大带宽，CBWFQ配置失败,增大接口最大带宽值或减小CBWFQ要求的带宽值
 QOS_POLICY_APPLYCOPP_CBFAIL,Failed to apply classifier-behavior [STRING]   in policy [STRING] to the [STRING] direction of control plane slot [UINT32].   [STRING].,$1：CB对名称   $2：QoS策略名称   $3：流量方向   $4：槽位号   $5：失败原因,4,QOS/4/QOS_POLICY_APPLYCOPP_CBFAIL: Failed   to apply classifier-behavior d in policy b to the inbound direction of   control plane slot 3. The behavior is empty.,系统在控制平面的某个方向上应用或更新QoS策略中的某个CB对失败,请根据失败原因，修改策略中的配置
 QOS_POLICY_APPLYCOPP_FAIL,Failed to apply or refresh QoS policy [STRING]   to the [STRING] direction of control plane slot [UINT32]. [STRING].,$1：QoS策略名称   $2：流量方向   $3：槽位号   $4：失败原因,4,QOS/4/QOS_POLICY_APPLYCOPP_FAIL: Failed   to apply or refresh QoS policy b to the inbound direction of control plane   slot 3. The operation is not supported.,系统在控制平面的某个方向上应用或更新QoS策略失败,请根据失败原因，修改策略中的配置
 QOS_POLICY_APPLYGLOBAL_CBFAIL,Failed to apply classifier-behavior [STRING]   in policy [STRING] to the [STRING] direction globally. [STRING].,$1：CB对名称   $2：QoS策略名称   $3：流量方向   $4：失败原因,4,QOS/4/QOS_POLICY_APPLYGLOBAL_CBFAIL: Failed   to apply classifier-behavior a in policy b to the outbound direction globally.   The behavior is empty.,系统在某个方向上全局应用或更新QoS策略中的某个CB对失败,请根据失败原因，修改策略中的配置
 QOS_POLICY_APPLYGLOBAL_FAIL,Failed to apply or refresh QoS policy [STRING]   to the [STRING] direction globally. [STRING].,$1：QoS策略名称   $2：流量方向   $3：失败原因,4,QOS/4/QOS_POLICY_APPLYGLOBAL_FAIL: Failed   to apply or refresh QoS policy b to the inbound direction globally. The   operation is not supported.,系统在某个方向上全局应用或更新QoS策略失败,请根据失败原因，修改策略中的配置
 QOS_POLICY_APPLYIF_CBFAIL,Failed to apply classifier-behavior [STRING]   in policy [STRING] to the [STRING] direction of interface [STRING]. [STRING].,$1：CB对名称   $2：QoS策略名称   $3：流量方向   $4：接口名称   $5：失败原因,4,QOS/4/QOS_POLICY_APPLYIF_CBFAIL: Failed   to apply classifier-behavior b in policy b to the inbound direction of   interface Ethernet3/1/2. The behavior is empty.,系统在接口的某个方向上应用或更新QoS策略中的某个CB对失败,请根据失败原因，修改策略中的配置
 QOS_POLICY_APPLYIF_FAIL,Failed to apply or refresh QoS policy [STRING]   to the [STRING] direction of interface [STRING]. [STRING].,$1：QoS策略名称   $2：流量方向   $3：接口名称   $4：失败原因,4,QOS/4/QOS_POLICY_APPLYIF_FAIL: Failed to   apply or refresh QoS policy b to the inbound direction of interface   Ethernet3/1/2. The operation is not supported.,系统在接口的某个方向上应用或更新QoS策略失败,请根据失败原因，修改策略中的配置
