### Table 39: Standard SNMPv2 Traps Supported on QFX Series Standalone Switches and QFX Series Virtual Chassis

| Defined in | Trap Name | SNMP Trap OID | System Syslog Tag | Logging Severity Level |
|------------|-----------|---------------|-------------------|------------------------|
| RFC        | ospfNbrStateChange | 1.3.6.1.2.1.14.16.2.1 | - | - |
| RFC        | ospfVirtNbrStateChan | 1.3.6.1.2.1.14.16.2.2 | - | - |
| RFC        | ospfIfConfigError | 1.3.6.1.2.1.14.16.2.3 | - | - |
| RFC        | ospfVirtIfConfigError | 1.3.6.1.2.1.14.16.2.4 | - | - |
| RFC        | ospfIfAuthFailure | 1.3.6.1.2.1.14.16.2.5 | - | - |
| RFC        | ospfVirtIfAuthFailure | 1.3.6.1.2.1.14.16.2.6 | - | - |
| RFC        | ospfIfRxBadPacket | 1.3.6.1.2.1.14.16.2.7 | - | - |
| RFC        | ospfVirtIfRxBadPacket | 1.3.6.1.2.1.14.16.2.8 | - | - |
| RFC        | ospfTxRetransmit | 1.3.6.1.2.1.14.16.2.9 | - | - |
| RFC        | ospfVirtIfTxRetransmit | 1.3.6.1.2.1.14.16.2.10 | - | - |
| RFC        | ospfMaxAgeLsa | 1.3.6.1.2.1.14.16.2.11 | - | - |
| RFC        | ospfIfStateChange | 1.3.6.1.2.1.14.16.2.13 | - | - |

### Startup Notifications
| Defined in | Trap Name | SNMP Trap OID | System Syslog Tag | Logging Severity Level |
|------------|-----------|---------------|-------------------|------------------------|
| RFC 1907   | coldStart | 1.3.6.1.6.3.1.1.5.1 | SNMPD_TRAP_COLD_START | Critical |
| RFC 1907   | warmStart | 1.3.6.1.6.3.1.1.5.2 | SNMPD_TRAP_WARM_START | Error |
| RFC 1907   | authenticationFailure | 1.3.6.1.6.3.1.1.5.5 | SNMPD_TRAP_GEN_FAILURE | Notice |

### VRRP Notifications
| Defined in | Trap Name | SNMP Trap OID | System Syslog Tag | Logging Severity Level |
|------------|-----------|---------------|-------------------|------------------------|
| RFC 2787   | vrrpTrapNewMaster | 1.3.6.1.2.1.68.0.1 | VRRPD_NEWMASTER_TRAP | Warning |
| RFC 2787   | vrrpTrapAuthFailure | 1.3.6.1.2.1.68.0.2 | VRRPD_AUTH_FAILURE_TRAP | Warning |

### Table 40: Enterprise-Specific SNMPv2 Traps Supported on QFX Series Standalone Switches and QFX Series Virtual Chassis

#### Chassis (Alarm Conditions) Notifications
| Source MIB | Trap Name | SNMP Trap OID | System Log Tag | Logging Severity Level |
|------------|-----------|---------------|----------------|------------------------|
| mib-jnx-chassis | jnxPowerSupplyFailure | 1.3.6.1.4.1.2636.4.1.1 | CHASSISD_SNMP_TRAP | Alert |
