![](image_fi/book_art/cover.png)
[]{#cover.xhtml}
![](image_fi/book_art/cover.png)
[]{#toc.xhtml}
```{=html}
```
## Pages
1.  [Page_iii](#f01.xhtml#Page_iii)
2.  [Page_iv](#f02.xhtml#Page_iv)
3.  [Page_v](#f03.xhtml#Page_v)
4.  [Page_xix](#f04.xhtml#Page_xix)
5.  [Page_xx](#f04.xhtml#Page_xx)
6.  [Page_xxi](#f05.xhtml#Page_xxi)
7.  [Page_xxii](#f05.xhtml#Page_xxii)
8.  [Page_xxiii](#f05.xhtml#Page_xxiii)
9.  [Page_xxiv](#f05.xhtml#Page_xxiv)
10. [Page_1](#p01.xhtml#Page_1)
11. [Page_3](#c01.xhtml#Page_3)
12. [Page_4](#c01.xhtml#Page_4)
13. [Page_5](#c01.xhtml#Page_5)
14. [Page_6](#c01.xhtml#Page_6)
15. [Page_7](#c01.xhtml#Page_7)
16. [Page_8](#c01.xhtml#Page_8)
17. [Page_9](#c01.xhtml#Page_9)
18. [Page_10](#c01.xhtml#Page_10)
19. [Page_11](#c01.xhtml#Page_11)
20. [Page_12](#c01.xhtml#Page_12)
21. [Page_13](#c01.xhtml#Page_13)
22. [Page_15](#c02.xhtml#Page_15)
23. [Page_16](#c02.xhtml#Page_16)
24. [Page_17](#c02.xhtml#Page_17)
25. [Page_18](#c02.xhtml#Page_18)
26. [Page_19](#c02.xhtml#Page_19)
27. [Page_20](#c02.xhtml#Page_20)
28. [Page_21](#c02.xhtml#Page_21)
29. [Page_22](#c02.xhtml#Page_22)
30. [Page_23](#c02.xhtml#Page_23)
31. [Page_24](#c02.xhtml#Page_24)
32. [Page_25](#c02.xhtml#Page_25)
33. [Page_26](#c02.xhtml#Page_26)
34. [Page_27](#c02.xhtml#Page_27)
35. [Page_28](#c02.xhtml#Page_28)
36. [Page_29](#c02.xhtml#Page_29)
37. [Page_31](#p02.xhtml#Page_31)
38. [Page_33](#c03.xhtml#Page_33)
39. [Page_34](#c03.xhtml#Page_34)
40. [Page_35](#c03.xhtml#Page_35)
41. [Page_36](#c03.xhtml#Page_36)
42. [Page_37](#c03.xhtml#Page_37)
43. [Page_38](#c03.xhtml#Page_38)
44. [Page_39](#c03.xhtml#Page_39)
45. [Page_40](#c03.xhtml#Page_40)
