| 0            | info        | 1         | [1]         | 4          | VARCHAR      | 29124 | 7281   | Uncompressed | [Min: 00162963, Max: fffeb3eb, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 9        | 0            |  
| 0            | info        | 1         | [1]         | 5          | VARCHAR      | 36405 | 7281   | Uncompressed | [Min: 000081f1, Max: ffe4a15b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 10       | 0            |  
| 0            | info        | 1         | [1]         | 6          | VARCHAR      | 43686 | 7281   | Uncompressed | [Min: 00012a59, Max: ffec8986, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 11       | 0            |  
| 0            | info        | 1         | [1]         | 7          | VARCHAR      | 50967 | 7281   | Uncompressed | [Min: 000166d6, Max: fff60c6e, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 12       | 0            |  
| 0            | info        | 1         | [1]         | 8          | VARCHAR      | 58248 | 7281   | Uncompressed | [Min: 000874d9, Max: ffff7059, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 13       | 0            |  
| 0            | info        | 1         | [1]         | 9          | VARCHAR      | 65529 | 7281   | Uncompressed | [Min: 000c80cf, Max: fffdfb4c, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 14       | 0            |  
| 0            | info        | 1         | [1]         | 10         | VARCHAR      | 72810 | 7281   | Uncompressed | [Min: 00044f40, Max: fffb984b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 15       | 0            |  
| 0            | info        | 1         | [1]         | 11         | VARCHAR      | 80091 | 7281   | Uncompressed | [Min: 000ee8d7, Max: ffdebacf, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 16       | 0            |  
| 0            | info        | 1         | [1]         | 12         | VARCHAR      | 87372 | 7281   | Uncompressed | [Min: 001d86fa, Max: fff35a50, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 17       | 0            |  
| 0            | info        | 1         | [1]         | 13         | VARCHAR      | 94653 | 5347   | Uncompressed | [Min: 0026bf9b, Max: ffe33405, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 18       | 0            |  
| 0            | info        | 1         | [1, 0]      | 0          | VALIDITY     | 0     | 100000 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 0            | crt_time    | 2         | [2]         | 0          | TIMESTAMP    | 0     | 69632  | BitPacking   | [Min: 2022-09-01 06:17:35.027, Max: 2022-09-02 01:38:06.027][Has Null: false, Has No Null: true]              | false       | true       | 19       | 0            |  
