 OFP_METER_ADD,"Openflow instance [UINT16] controller [CHAR]:   add meter [STRING], xid 0x[HEX].",$1：实例ID   $2：控制器ID   $3：Meter表项ID   $4：XID,5,"OFP/5/OFP_METER_ADD: Openflow instance 1 controller   0: add meter 1, xid 0x1.",收到修改meter表信息（增加操作）并通过报文检查。即将添加meter表项,无
 OFP_METER_ADD_FAILED,Openflow instance [UINT16] controller [CHAR]:   failed to add meter [STRING].,$1：实例ID   $2：控制器ID   $3：Meter表项ID,4,OFP/4/OFP_METER_ADD_FAILED: Openflow Instance   1 controller 0: failed to add meter 1.,添加meter表项失败,无
 OFP_METER_DEL,"Openflow instance [UINT16] controller [CHAR]:   delete meter [STRING], xid 0x[HEX].",$1：实例ID   $2：控制器ID   $3：Meter表项ID   $4：XID,5,"OFP/5/OFP_METER_DEL: Openflow instance 1 controller   0: delete meter 1, xid 0x1.",收到修改meter表信息（删除操作）并通过报文检查。即将删除指定的meter表项,无
 OFP_METER_MOD,"Openflow instance [UINT16] controller [CHAR]:   modify meter [STRING], xid 0x[HEX].",$1：实例ID   $2：控制器ID   $3：Meter表项ID   $4：XID,5,"OFP/5/OFP_METER_MOD: Openflow Instance 1 controller   0: modify meter 1, xid 0x1.",收到修改meter表信息（修改操作）并通过报文检查。即将修改指定的meter表项,无
 OFP_METER_MOD_FAILED,Openflow instance [UINT16] controller [CHAR]:   failed to modify meter [STRING].,$1：实例ID   $2：控制器ID   $3：Meter表项ID,4,OFP/4/OFP_METER_MOD_FAILED: Openflow instance   1 controller 0: failed to modify meter 1.,修改meter表项失败,控制器重试修改操作或直接删除meter表项
 OFP_MISS_RMV_GROUP,The table-miss flow entry in table [CHAR]   of instance [UINT16] was deleted with a group_mod message.,$1：流表ID   $2：实例ID,5,OFP/5/OFP_MISS_RMV_GROUP: The table-miss   flow entry in table 0 of instance 1 was deleted with a group_mod message.,Group删除导致的table-miss表项删除,无
 OFP_MISS_RMV_HARDTIME,The table-miss flow entry in table [CHAR]   of instance [UINT16] was deleted because of an hard-time expiration.,$1：流表ID   $2：实例ID,5,OFP/5/OFP_MISS_RMV_HARDTIME: The   table-miss flow entry in table 0 of instance 1 was deleted because of an hard-time   expiration.,Hard-time超时导致的table-miss表项删除,无
 OFP_MISS_RMV_IDLETIME,The table-miss flow entry in table [CHAR]   of instance [UINT16] was deleted because of an idle-time expiration.,$1：流表ID   $2：实例ID,5,OFP/5/OFP_MISS_RMV_IDLETIME: The   table-miss flow entry in table 0 of instance 1 was deleted because of an   idle-time expiration.,Idle-time超时导致的table-miss表项删除,无
 OFP_MISS_RMV_METER,The table-miss flow entry in table [CHAR]   of instance [UINT16] was deleted with a meter_mod message.,$1：流表ID   $2：实例ID,5,OFP/5/OFP_MISS_RMV_METER: The table-miss   flow entry in table 0 of instance 1 was deleted with a meter_mod message.,Meter删除导致的table-miss表项删除,无
 OFP_RADARDETECTION,"inIfIndex = [UINT32], packageId = [UINT16],   innerTTL = [CHAR], outerTTL = [CHAR].",$1：报文入接口索引   $2：报文标记   $3：报文内层IP头的Time   To Live取值   $4：报文外层IP头的Time   To Live取值,5,"OFP/5/OFP_RADARDETECTION: inIfIndex = 1,   packageId = 1, innerTTL = 128, outerTTL = 128.",收到用于雷达探测或VM仿真功能的报文,无
 PORT_MOD,"Port modified. InstanceID=[UINT16], IfIndex=[UINT32],   PortDown=[STRING], NoRecv=[STRING], NoFwd=[STRING], NoPktIn=[STRING],   Speed=[STRING], Duplex=[STRING].",$1：实例ID   $2：接口索引   $3：接口状态是否设置为down。NoChange表示不改变接口状态，True表示设置接口down，False表示设置接口up   $4：设置接口不接收报文。NoChange表示不改变接口设置，True表示设置接口不接收报文，False表示设置接口接收报文   $5：设置接口不发送报文。NoChange表示不改变接口设置，True表示设置接口不发送报文，False表示设置接口发送报文   $6：设置接口上的报文不上送控制器。NoChange表示不改变接口设置，True表示设置接口的报文不上送控制器，False表示设置接口的报文上送控制器   $7：设置接口速率。取值包括10M、100M、1G、10G、40G、100G、Auto和Error。其中Error表示设置的速率不支持。如果取值为空，表示没有设置该参数   $8：设置接口的双工模式。取值包括Full、Half、Auto和Error。其中Error表示设置的双工模式不支持。如果取值为空，表示没有设置该参数,5,"OFP/5/PORT_MOD: Port modified. InstanceID   =1, IfIndex =8, PortDown=False, NoRecv=NoChange, NoFwd=NoChange,   NoPktIn=NoChange, Speed=, Duplex=.",控制器修改实例1中接口索引为8的接口，将接口设为up状态,无
