get the following warnings and errors:
    Severity	Code	Description	Project	File	Line	Suppression State
    Warning	C4251	'c10::InefficientStdFunctionContext::ptr_': class 'std::unique_ptr>' needs to have dll-interface to be used by clients of struct 'c10::InefficientStdFunctionContext'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\allocator.h	183	
    Error (active)	E1866	attribute does not apply to any entity	LibTorch-1.4-example	C:\Users\XX\Documents\libtorch-1.4\include\c10\util\ArrayRef.h	278	
    Warning	C4275	non dll-interface class 'std::exception' used as base for dll-interface class 'c10::Error'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\exception.h	28	
    Warning	C4251	'c10::Error::msg_stack_': class 'std::vector>' needs to have dll-interface to be used by clients of class 'c10::Error'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\exception.h	29	
    Warning	C4251	'c10::Error::backtrace_': class 'std::basic_string,std::allocator>' needs to have dll-interface to be used by clients of class 'c10::Error'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\exception.h	30	
    Warning	C4251	'c10::Error::msg_': class 'std::basic_string,std::allocator>' needs to have dll-interface to be used by clients of class 'c10::Error'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\exception.h	35	
    Warning	C4251	'c10::Error::msg_without_backtrace_': class 'std::basic_string,std::allocator>' needs to have dll-interface to be used by clients of class 'c10::Error'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\exception.h	36	
    Warning	C4251	'c10::DataPtr::ptr_': class 'c10::detail::UniqueVoidPtr' needs to have dll-interface to be used by clients of class 'c10::DataPtr'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\allocator.h	21	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	172	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	175	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	178	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	181	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	185	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	188	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	191	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	194	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	200	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	203	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	206	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	209	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	213	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	216	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	219	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half-inl.h	222	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	148	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	151	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	154	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	157	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	161	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	164	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	167	
    Warning	C4244	'argument': conversion from 'int' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	170	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	176	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	179	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	182	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	185	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	189	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	192	
