### Entry Statistics

Table 7 presents the 10-minute mean number of circuits per client collected during period 2 (refer to Table 2). The 10-minute mean number of unique clients was 13,800 ± 153 (1.11%) with 95% confidence. For more details, see Figure 2.

| Hist. Bin | Active (Count × 10³) | Inactive (Count × 10³) | Active (% of Total) | Inactive (% of Total) |
|-----------|----------------------|------------------------|---------------------|-----------------------|
| [1,2)     | 4.13 ± 0.144 (3.50%) | 2.92 ± 0.049 (1.68%)   | 30.0% ± 1.10%       | 21.2% ± 0.426%        |
| [2,5)     | 2.31 ± 0.144 (6.26%) | 2.05 ± 0.049 (2.40%)   | 16.7% ± 1.06%       | 14.8% ± 0.392%        |
| [5,15)    | 0.904 ± 0.144 (16.0%) | 1.01 ± 0.049 (4.87%)   | 6.55% ± 1.05%       | 7.31% ± 0.365%        |
| [15,∞)    | 1.76 ± 0.144 (8.23%)  | 1.37 ± 0.049 (3.62%)   | 12.7% ± 1.06%       | 9.86% ± 0.373%        |

### Exit Statistics

This section provides tables and a graphical figure of exit statistics, which were included in the main body of the paper. Additionally, a graphical figure that was not included in the main body due to space constraints is provided here. 

- **Table 8**: 10-minute mean number of streams per active circuit during periods 5, 6, and 7 (see Table 2). Refer to Figure 3 for visual representation.
- **Table 9**: 10-minute mean number of inbound bytes per stream during periods 5, 6, and 7 (see Table 2). Refer to Figure 4a for visual representation.
- **Table 10**: 10-minute mean number of outbound bytes per stream during periods 5, 6, and 7 (see Table 2). Refer to Figure 4b for visual representation.
- **Figure 12**: Distribution of total bytes per stream (inbound + outbound) during periods 5, 6, and 7. Full values are shown in Table 11.

#### Table 8: Streams per Active Circuit

| Hist. Bin | All (Count × 10³) | Web (Count × 10³) | Other (Count × 10³) | All (% of Total) | Web (% of Total) | Other (% of Total) |
|-----------|--------------------|-------------------|---------------------|------------------|------------------|-------------------|
| [1,3)     | 20.2 ± 0.59 (2.92%) | 16.9 ± 0.69 (4.07%) | 3.85 ± 0.049 (1.29%) | 54.8% ± 1.82%    | 57.1% ± 2.68%    | 58.8% ± 0.876%    |
| [3,7)     | 8.50 ± 0.59 (6.94%) | 6.09 ± 0.69 (11.3%) | 1.61 ± 0.049 (3.08%) | 23.0% ± 1.64%    | 20.6% ± 2.37%    | 24.6% ± 0.778%    |
| [7,15)    | 3.98 ± 0.59 (14.8%) | 2.56 ± 0.69 (26.8%) | 0.68 ± 0.049 (7.31%) | 10.8% ± 1.61%    | 8.68% ± 2.33%    | 10.3% ± 0.759%    |
| [15,31)   | 2.03 ± 0.59 (29.0%) | 1.29 ± 0.69 (53.0%) | 0.20 ± 0.049 (25.2%) | 5.51% ± 1.60%    | 4.38% ± 2.33%    | 3.00% ± 0.756%    |
| [31,63)   | 1.41 ± 0.59 (41.8%) | 1.23 ± 0.69 (55.7%) | 0.025 ± 0.049 (200%) | 3.82% ± 1.60%    | 4.17% ± 2.33%    | 0.38% ± 0.755%    |
| [63,∞)    | 0.946 ± 0.59 (62.3%) | 0.038 ± 0.69 (1790%) | 0.031 ± 0.049 (160%) | 2.57% ± 1.60%    | 0.13% ± 2.32%    | 0.47% ± 0.755%    |

#### Table 9: Inbound Bytes per Stream

| Hist. Bin | All (Count × 2²⁰) | Web (Count × 2²⁰) | Other (Count × 2²⁰) | All (% of Total) | Web (% of Total) | Other (% of Total) |
|-----------|-------------------|-------------------|---------------------|------------------|------------------|-------------------|
| (0,2)     | 155 ± 6.40 (4.11%) | 99.6 ± 5.81 (5.83%) | 15.9 ± 0.207 (1.30%) | 42.1% ± 1.88%    | 39.6% ± 2.49%    | 54.2% ± 0.801%    |
| [2,16)    | 113 ± 6.40 (5.65%) | 99.2 ± 5.81 (5.85%) | 3.58 ± 0.207 (5.78%) | 30.7% ± 1.81%    | 39.5% ± 2.48%    | 12.2% ± 0.710%    |
| [16,65)   | 39.5 ± 6.40 (16.2%) | 30.0 ± 5.81 (19.4%) | 0.830 ± 0.207 (24.9%) | 10.7% ± 1.74%    | 11.9% ± 2.33%    | 2.83% ± 0.705%    |
| [65,128)  | 13.6 ± 6.40 (47.0%) | 5.51 ± 5.81 (105%) | 0.186 ± 0.207 (111%) | 3.69% ± 1.73%    | 2.19% ± 2.31%    | 0.632% ± 0.704%   |
| [128,∞)   | 23.1 ± 6.40 (27.8%) | 23.0 ± 5.81 (25.3%) | 1.08 ± 0.207 (19.1%) | 6.24% ± 1.74%    | 9.14% ± 2.32%    | 3.69% ± 0.705%    |

#### Table 10: Outbound Bytes per Stream

| Hist. Bin | All (Count × 2²⁰) | Web (Count × 2²⁰) | Other (Count × 2²⁰) | All (% of Total) | Web (% of Total) | Other (% of Total) |
|-----------|-------------------|-------------------|---------------------|------------------|------------------|-------------------|
| (0,0.5)   | 174 ± 6.40 (3.68%) | 97.3 ± 5.81 (5.97%) | 19.4 ± 0.207 (1.07%) | 47.0% ± 1.91%    | 38.7% ± 2.48%    | 66.1% ± 0.844%    |
| [0.5,1)   | 111 ± 6.40 (5.75%) | 94.4 ± 5.81 (6.15%) | 5.19 ± 0.207 (3.99%) | 30.1% ± 1.81%    | 37.6% ± 2.47%    | 17.7% ± 0.715%    |
| [1,2)     | 51.2 ± 6.40 (12.5%) | 37.2 ± 5.81 (15.6%) | 1.70 ± 0.207 (12.2%) | 13.9% ± 1.75%    | 14.8% ± 2.34%    | 5.78% ± 0.706%    |
| [2,4)     | 14.4 ± 6.40 (44.4%) | 13.6 ± 5.81 (42.8%) | 0.412 ± 0.207 (50.3%) | 3.90% ± 1.73%    | 5.40% ± 2.31%    | 1.40% ± 0.704%    |
| [4,∞)     | 10.9 ± 6.40 (58.5%) | 14.7 ± 5.81 (39.6%) | 2.01 ± 0.207 (10.3%) | 2.96% ± 1.73%    | 5.84% ± 2.31%    | 6.84% ± 0.706%    |

#### Table 11: Total Bytes per Stream (Inbound + Outbound)

| Hist. Bin | All (Count × 2²⁰) | Web (Count × 2²⁰) | Other (Count × 2²⁰) | All (% of Total) | Web (% of Total) | Other (% of Total) |
|-----------|-------------------|-------------------|---------------------|------------------|------------------|-------------------|
