以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 安全漏洞报告列表

| 标题 | 作者 | 受影响公司 | 漏洞类型 | 奖金 | 发布日期 |
| --- | --- | --- | --- | --- | --- |
| [如何在Yahoo! Guesthouse中发现SSRF（侦察胜利）](https://medium.com/@th3g3nt3l/how-i-found-an-ssrf-in-yahoo-guesthouse-recon-wins-8722672e41d4) | [Th3G3nt3lman](https://twitter.com/Th3G3nt3lman) | Yahoo | SSRF | - | 2017-10-20 |
| [自动化接管OLX上的所有广告：一个IDOR故事](https://kciredor.com/taking-over-every-ad-on-olx-automated-an-idor-story.html) | [Roderick Schaefer](https://twitter.com/kciredor_) | OLX | IDOR | - | 2017-10-18 |
| [通过请求不同内容类型的资源暴露敏感数据](https://medium.com/@yogendra_h1/sensitive-data-exposure-by-requesting-a-resource-with-a-different-content-type-27412a9d6e2f) | [Yogendra Jaiswal (Vulnholic)](https://twitter.com/yogendra_h1) | - | 信息泄露 | - | 2017-10-17 |
| [如何入侵所有[REDACT]代理账户](https://medium.com/@neerajedwards/how-i-hacked-all-the-redact-agents-accounts-ec165b7c514a) | [Neeraj Sonaniya](https://twitter.com/neeraj_sonaniya) | - | 默认凭据 | $100 | 2017-10-17 |
| [使用SSRF漏洞读取内部文件](https://medium.com/@neerajedwards/reading-internal-files-using-ssrf-vulnerability-703c5706eefb) | [Neeraj Sonaniya](https://twitter.com/neeraj_sonaniya) | - | SSRF | - | 2017-10-16 |
| [DOM XSS – auth.uber.com](http://stamone-bug-bounty.blogspot.com/2017/10/dom-xss-auth_14.html) | StamOne_ | Uber | DOM XSS | - | 2017-10-14 |
| [如何通过Atom feed和单个文件共享链接查看某人的所有私有文件](https://medium.com/bugbountywriteup/how-i-was-able-to-see-someones-all-private-files-with-a-single-file-share-link-through-atom-feed-7cde46d7e84d) | [Yogendra Jaiswal (Vulnholic)](https://twitter.com/yogendra_h1) | - | 信息泄露 | - | 2017-10-13 |
| [使用Service Worker API泄露Amazon.com的CSRF令牌](https://ahussam.me/Amazon-leaking-csrf-token-using-service-worker/) | [Abdullah Hussam (@Abdulahhusam)](https://twitter.com/Abdulahhusam) | Amazon | CSRF | $0 | 2017-10-11 |
| [Bugcrowd的域名和子域接管漏洞！](https://blog.securitybreached.org/2017/10/10/bugcrowds-domain-subdomain-takeover-vulnerability) | [Muhammad Khizer Javed / babayaga47 (@khizer_javed47)](https://twitter.com/khizer_javed47?lang=en) | Bugcrowd | 子域接管 | $600 | 2017-10-10 |
| [利用不安全的跨源资源共享（CORS）漏洞](https://blog.securitybreached.org/2017/10/10/exploiting-insecure-cross-origin-resource-sharing-cors-api-artsy-net) | [Muhammad Khizer Javed / babayaga47 (@khizer_javed47)](https://twitter.com/khizer_javed47?lang=en) | Artsy | CORS缺陷 | - | 2017-10-10 |
| [通过过期的Cloudfront分发进行子域接管](https://blog.securitybreached.org/2017/10/10/subdomain-takeover-lamborghini-hacked/ | live.lamborghini.co) | [Muhammad Khizer Javed / babayaga47 (@khizer_javed47)](https://twitter.com/khizer_javed47?lang=en) | Lamborghini | 子域接管 | - | 2017-10-10 |
| [Facebook GraphQL CSRF](https://philippeharewood.com/facebook-graphql-csrf/) | [Philippe Harewood](https://twitter.com/phwd) | Facebook | CSRF | $7,500 | 2017-10-08 |
| [如何查看任何私人Twitter账户的私有推文](https://medium.com/secjuice/how-i-was-able-to-view-private-tweets-of-any-private-twitter-account-86a9d2640ded) | [Cj Legacion](https://twitter.com/LegacionCj) | Twitter | IDOR | - | 2017-10-06 |
