## 阿里云ApsaraDB RDS for PostgreSQL 最佳实践 - 1 教你做RDS性能测试  
##### [TAG 24](../class/24.md)
### 作者                                                                       
digoal                     
### 日期                       
2015-12-20                       
### 标签                     
PostgreSQL , 阿里云RDS    
----                    
## 背景           
来阿里云之前，做的一些RDS测试。  
几个月过去了，阿里云RDS PG在性能方面做出了大量的代码层优化，感兴趣的童鞋赶紧测试，来PK我之前的测试数据吧。  
测试机申请的RDS都是最低配置的，容量5GB，内存1GB，支持100个连接，IOPS 400。  
先看看配置吧，为了提高性能，有一些参数是可以调整的，如下：  
```  
postgres=> select name,substring(setting,1,10),unit from pg_settings order by category, name;  
                name                 |         substring         | unit   
-------------------------------------+---------------------------+------  
 autovacuum                          | on                        |   
 autovacuum_analyze_scale_factor     | 0.1                       |     
 autovacuum_analyze_threshold        | 50                        |   
 autovacuum_freeze_max_age           | 200000000                 |   
 autovacuum_max_workers              | 5                         |   
 autovacuum_multixact_freeze_max_age | 400000000                 |   
 autovacuum_naptime                  | 60                        | s      
 autovacuum_vacuum_cost_delay        | 0                         | ms     
 autovacuum_vacuum_cost_limit        | -1                        |   
 autovacuum_vacuum_scale_factor      | 0.1                       |        
 autovacuum_vacuum_threshold         | 50                        |   
 client_encoding                     | UTF8                      |   
 DateStyle                           | ISO, YMD                  |   
 default_text_search_config          | pg_catalog                |   
 extra_float_digits                  | 0                         |   
 IntervalStyle                       | postgres                  |   
 lc_collate                          | zh_CN.UTF-                |   -- 建议使用C，减少字符串比较时的MEMCPY   
 lc_ctype                            | zh_CN.UTF-                |   -- 如果lc-ctype=C，则无法使用pg_trgm插件加速中文的模糊查询。因此不建议为C
 lc_messages                         | C                         |   
 lc_monetary                         | zh_CN.UTF-                |   
 lc_numeric                          | zh_CN.UTF-                |   
 lc_time                             | zh_CN.UTF-                |   
 server_encoding                     | UTF8                      |   
 TimeZone                            | PRC                       |   
 timezone_abbreviations              | Default                   |   
 gin_fuzzy_search_limit              | 0                         |   
 tcp_keepalives_count                | 9                         |   
 tcp_keepalives_idle                 | 7200                      | s    -- 建议改小，例如60，如果有跨广域网访问的话。  
 tcp_keepalives_interval             | 75                        | s    -- 建议改小  
 local_preload_libraries             |                           |   
 bytea_output                        | hex                       |   
 check_function_bodies               | on                        |   
 default_tablespace                  |                           |   
 default_transaction_deferrable      | off                       |   
 default_transaction_isolation       | read commi                |   
 default_transaction_read_only       | off                       |   
 lock_timeout                        | 0                         | ms      --  建议用户针对自己的业务，修改锁等待超时  
 search_path                         | "$user",pu                |   
 session_replication_role            | origin                    |   
 statement_timeout                   | 0                         | ms      --  建议用户针对自己的业务，修改语句执行超时  
 temp_tablespaces                    |                           |   
 transaction_deferrable              | off                       |   
 transaction_isolation               | read commi                |   
 transaction_read_only               | off                       |   
 vacuum_freeze_min_age               | 50000000                  |   
