PostgreSQL提供了权限检查函数，对所有对象都适用，如下。  
```  
postgres=# \df *.*privile*  
                                           List of functions  
   Schema   |                Name                | Result data type |    Argument data types     | Type   
------------+------------------------------------+------------------+----------------------------+------  
 pg_catalog | has_any_column_privilege           | boolean          | name, oid, text            | func  
 pg_catalog | has_any_column_privilege           | boolean          | name, text, text           | func  
 pg_catalog | has_any_column_privilege           | boolean          | oid, oid, text             | func  
 pg_catalog | has_any_column_privilege           | boolean          | oid, text                  | func  
 pg_catalog | has_any_column_privilege           | boolean          | oid, text, text            | func  
 pg_catalog | has_any_column_privilege           | boolean          | text, text                 | func  
 pg_catalog | has_column_privilege               | boolean          | name, oid, smallint, text  | func  
 pg_catalog | has_column_privilege               | boolean          | name, oid, text, text      | func  
 pg_catalog | has_column_privilege               | boolean          | name, text, smallint, text | func  
 pg_catalog | has_column_privilege               | boolean          | name, text, text, text     | func  
 pg_catalog | has_column_privilege               | boolean          | oid, oid, smallint, text   | func  
 pg_catalog | has_column_privilege               | boolean          | oid, oid, text, text       | func  
 pg_catalog | has_column_privilege               | boolean          | oid, smallint, text        | func  
 pg_catalog | has_column_privilege               | boolean          | oid, text, smallint, text  | func  
 pg_catalog | has_column_privilege               | boolean          | oid, text, text            | func  
 pg_catalog | has_column_privilege               | boolean          | oid, text, text, text      | func  
 pg_catalog | has_column_privilege               | boolean          | text, smallint, text       | func  
 pg_catalog | has_column_privilege               | boolean          | text, text, text           | func  
 pg_catalog | has_database_privilege             | boolean          | name, oid, text            | func  
 pg_catalog | has_database_privilege             | boolean          | name, text, text           | func  
 pg_catalog | has_database_privilege             | boolean          | oid, oid, text             | func  
 pg_catalog | has_database_privilege             | boolean          | oid, text                  | func  
 pg_catalog | has_database_privilege             | boolean          | oid, text, text            | func  
 pg_catalog | has_database_privilege             | boolean          | text, text                 | func  
 pg_catalog | has_foreign_data_wrapper_privilege | boolean          | name, oid, text            | func  
 pg_catalog | has_foreign_data_wrapper_privilege | boolean          | name, text, text           | func  
 pg_catalog | has_foreign_data_wrapper_privilege | boolean          | oid, oid, text             | func  
 pg_catalog | has_foreign_data_wrapper_privilege | boolean          | oid, text                  | func  
 pg_catalog | has_foreign_data_wrapper_privilege | boolean          | oid, text, text            | func  
 pg_catalog | has_foreign_data_wrapper_privilege | boolean          | text, text                 | func  
 pg_catalog | has_function_privilege             | boolean          | name, oid, text            | func  
 pg_catalog | has_function_privilege             | boolean          | name, text, text           | func  
 pg_catalog | has_function_privilege             | boolean          | oid, oid, text             | func  
 pg_catalog | has_function_privilege             | boolean          | oid, text                  | func  
 pg_catalog | has_function_privilege             | boolean          | oid, text, text            | func  
 pg_catalog | has_function_privilege             | boolean          | text, text                 | func  
 pg_catalog | has_language_privilege             | boolean          | name, oid, text            | func  
 pg_catalog | has_language_privilege             | boolean          | name, text, text           | func  
 pg_catalog | has_language_privilege             | boolean          | oid, oid, text             | func  
 pg_catalog | has_language_privilege             | boolean          | oid, text                  | func  
 pg_catalog | has_language_privilege             | boolean          | oid, text, text            | func  
 pg_catalog | has_language_privilege             | boolean          | text, text                 | func  
 pg_catalog | has_schema_privilege               | boolean          | name, oid, text            | func  
 pg_catalog | has_schema_privilege               | boolean          | name, text, text           | func  
 pg_catalog | has_schema_privilege               | boolean          | oid, oid, text             | func  
 pg_catalog | has_schema_privilege               | boolean          | oid, text                  | func  
 pg_catalog | has_schema_privilege               | boolean          | oid, text, text            | func  
 pg_catalog | has_schema_privilege               | boolean          | text, text                 | func  
 pg_catalog | has_sequence_privilege             | boolean          | name, oid, text            | func  
 pg_catalog | has_sequence_privilege             | boolean          | name, text, text           | func  
 pg_catalog | has_sequence_privilege             | boolean          | oid, oid, text             | func  
 pg_catalog | has_sequence_privilege             | boolean          | oid, text                  | func  
 pg_catalog | has_sequence_privilege             | boolean          | oid, text, text            | func  
 pg_catalog | has_sequence_privilege             | boolean          | text, text                 | func  
 pg_catalog | has_server_privilege               | boolean          | name, oid, text            | func  
 pg_catalog | has_server_privilege               | boolean          | name, text, text           | func  
 pg_catalog | has_server_privilege               | boolean          | oid, oid, text             | func  
 pg_catalog | has_server_privilege               | boolean          | oid, text                  | func  
 pg_catalog | has_server_privilege               | boolean          | oid, text, text            | func  
 pg_catalog | has_server_privilege               | boolean          | text, text                 | func  
 pg_catalog | has_table_privilege                | boolean          | name, oid, text            | func  
 pg_catalog | has_table_privilege                | boolean          | name, text, text           | func  
 pg_catalog | has_table_privilege                | boolean          | oid, oid, text             | func  
 pg_catalog | has_table_privilege                | boolean          | oid, text                  | func  
 pg_catalog | has_table_privilege                | boolean          | oid, text, text            | func  
 pg_catalog | has_table_privilege                | boolean          | text, text                 | func  
