# DogCS 4.4 补丁分析

## 声明
最近，安全社区中流传出一些截图，声称某团队的TeamServer被入侵，所有Beacon都被删除。这些截图显示使用的是DogCS 4.4版本。基于这些信息，有人开始质疑该工具存在后门，并将责任归咎于开发人员。这种无端指责令人感到非常不满。

随后，开发团队宣布不再公开发布DogCS系列工具，导致原本计划发布的DogCS 4.5版本也被搁置。作为开发者的一名忠实粉丝（虽然未曾与开发者见面，但一直在学习和分析其代码），我决定公开之前完成的DogCS 4.4补丁分析笔记，以澄清事实并为开发者正名。这份笔记在两周前已经完成，原本并不打算公开。

## 加入我们的社区
我们社区是一个充满干货分享的地方，成员们通过投资自己的时间和精力，获得了更多的回报。欢迎加入我们的社区！

## 前言
本文将对DogCS 4.4版本的补丁进行详细分析。首先，我们将对比原版和修改后的文件，然后逐一解析每个文件的改动内容。

## 文件对比
### Java 端
以下是对比结果中发生变化的Java类文件：

- `aggressor/Aggressor.class`
- `aggressor/AggressorClient.class`
- `aggressor/browsers/Connect.class`
- `aggressor/browsers/Sessions.class`
- `aggressor/dialogs/AboutDialog.class`
- `aggressor/dialogs/ConnectDialog.class`
- `aggressor/headless/Start.class`
- `aggressor/MultiFrame.class`
- `aggressor/TabManager.class`
- `aggressor/windows/BeaconConsole.class`
- `aggressor/windows/CredentialManager.class`
- `aggressor/windows/DownloadBrowser.class`
- `aggressor/windows/FileBrowser.class`
- `aggressor/windows/Files.class`
- `aggressor/windows/KeystrokeBrowser.class`
- `aggressor/windows/ScreenshotBrowser.class`
- `aggressor/windows/SecureShellConsole.class`
- `beacon/BeaconC2.class`
- `beacon/BeaconData.class`
- `beacon/BeaconHTTP.class`
- `beacon/BeaconPayload.class`
- `beacon/BeaconSetup.class`
- `beacon/CommandBuilder.class`
- `beacon/jobs/DesktopJob.class`
- `beacon/TaskBeacon.class`
- `beacon/TaskBeaconCallback.class`
- `beacon/Tasks.class`
- `c2profile/MalleableHook.class`
- `c2profile/MalleableStager.class`
- `cloudstrike/NanoHTTPD.class`
- `cloudstrike/WebServer.class`
- `common/AssertUtils.class`
- `common/AuthCrypto.class`
- `common/Authorization.class`
- `common/BeaconEntry.class`
- `common/CommonUtils.class`
- `common/Download.class`
- `common/Helper.class`
- `common/License.class`
- `common/ListenerConfig.class`
- `common/LoggedEvent.class`
- `common/MudgeSanity.class`
- `common/Requirements.class`
- `common/Starter.class`
- `common/Starter2.class`
- `common/TeamSocket.class`
- `dns/AsymmetricCrypto.class`
- `dns/BaseSecurity.class`
- `server/Beacons.class`
- `server/Listeners.class`
- `server/ManageUser.class`
- `server/Resources.class`
- `server/ServerUtils.class`
- `server/TeamServer.class`
- `ssl/SecureServerSocket.class`
- `ssl/SecureSocket.class`
- `stagers/BeaconBindStagerX64.class`
- `stagers/BeaconBindStagerX86.class`
- `stagers/BeaconDNSStagerX86.class`
- `stagers/BeaconHTTPSStagerX64.class`
- `stagers/BeaconHTTPSStagerX86.class`
- `stagers/BeaconHTTPStagerX64.class`
- `stagers/BeaconHTTPStagerX86.class`
- `stagers/BeaconPipeStagerX86.class`
- `stagers/ForeignHTTPSStagerX86.class`
- `stagers/ForeignHTTPStagerX86.class`
- `stagers/ForeignReverseStagerX64.class`
- `stagers/ForeignReverseStagerX86.class`
- `stagers/GenericBindStager.class`
- `stagers/GenericDNSStagerX86.class`
- `stagers/GenericHTTPSStagerX64.class`
- `stagers/GenericHTTPSStagerX86.class`
- `stagers/GenericHTTPStager.class`
- `stagers/GenericHTTPStagerX64.class`
- `stagers/GenericHTTPStagerX86.class`
- `stagers/GenericStager.class`
- `stagers/Stagers.class`

### DLL 端
以下是发生变化的DLL文件：

- `resources/winvnc.x64.dll`
- `resources/winvnc.x86.dll`
- `sleeve/beacon.dll`
- `sleeve/beacon.x64.dll`
- `sleeve/dnsb.dll`
- `sleeve/dnsb.x64.dll`
- `sleeve/extc2.dll`
- `sleeve/extc2.x64.dll`
- `sleeve/hashdump.dll`
- `sleeve/hashdump.x64.dll`
- `sleeve/mimikatz-chrome.x64.dll`
- `sleeve/mimikatz-chrome.x86.dll`
- `sleeve/mimikatz-full.x64.dll`
- `sleeve/mimikatz-full.x86.dll`
- `sleeve/mimikatz-min.x64.dll`
- `sleeve/mimikatz-min.x86.dll`
- `sleeve/pivot.dll`
- `sleeve/pivot.x64.dll`
- `sleeve/screenshot.dll`
- `sleeve/screenshot.x64.dll`

### 其他文件
- `resources/credits.txt`
- `resources/ua.txt`
- `scripts/default.cna`

## 修改内容
### 版本信息
- 更新了版本信息。

### 用户界面
- 将UI风格改为FlatIntelliJLaf。
- 删除了Cobalt Strike的文件完整性校验。

### Java 端
#### `aggressor/Aggressor.class`
- **修改内容**: 客户端界面显示的标题。

#### `aggressor/AggressorClient.class`
- **修改内容**:
  - 修改连接按钮标题。
  - 修改帮助按钮标题，点击后弹出changelog。

#### `aggressor/browsers/Connect.class`
- **修改内容**: 修复修改UI风格之后 JTable渲染Icon的bug。

#### `aggressor/browsers/Sessions.class`
- **修改内容**: 修复修改UI风格之后 JTable渲染Icon的bug。

更多详细的文件对比和修改内容将在后续章节中进一步展开。
