### 优化后的文本

#### 图7：SKA方案在所有服务中的提取率累积分布函数（CDF）
对于所有位置，尽管具有准确的统计知识，80% 的段落的提取率仅达到 37%。

- **提取率（%）**
  - 0
  - 20
  - 40
  - 60
  - 80
  - 100

- **地点**
  - NED
  - GER1
  - GER2

#### 图8：主用户干扰限制对GSM1800 DL频谱提取率的影响
(a) 提取率随着干扰限制的增加而非线性增加。
(b) 随着主用户干扰限制的放宽，SKA相对于NKA的增益减少。

- **PU干扰限制**
  - 0.02
  - 0.04
  - 0.06
  - 0.08
  - 0.1
  - 0.2
  - 0.3
  - 0.4

- **地点**
  - NED
  - GER1
  - GER2

### 主用户干扰限制的影响
访问策略的设计意味着主用户干扰限制对提取率有显著影响。例如，NKA的提取率与干扰限制成线性关系。为了理解SKA的这种依赖关系，我们在图8(a)中绘制了平均提取率作为主用户干扰限制的函数。正如预期的那样，放宽干扰限制可以提高频谱提取率。然而，两者之间的关系是非线性的。事实上，当主用户返回信道的概率随现有信道空闲时间单调增加时，SKA的频谱提取率是主用户干扰限制的单调递增且凹函数。由于篇幅限制，我们省略了证明。由于这种非线性关系，我们可以证明，随着主用户干扰限制的增加，SKA相对于NKA的增益会缩小，这也在图8(b)中得到了验证。

### 可用频谱与提取频谱的关系
我们的第二个问题是平均频谱可用性是否是提取频谱量的可靠预测指标。回答这个问题尤为重要，因为许多现有的研究都使用平均频谱可用性来评估机会访问。使用RWTH数据集，我们通过检查提取频谱量与可用频谱量之间的关系来重新评估这一主张。

- **提取率（%）**
  - 0
  - 10
  - 20
  - 30
  - 40
  - 50
  - 60
  - 70
  - 80

- **频谱可用性**
  - 0
  - 0.2
  - 0.4
  - 0.6
  - 0.8
  - 1

- **地点**
  - NED
  - GER1
  - GER2

#### 图9：GSM1800DL在NED处的频谱提取率散点图
(a) NKA的提取率约为10%。
(b) SKA在频谱可用性增加时变得更加有效，尽管在高可用性值时存在显著差异。
(c) 但是，由于高可用性值时存在较大方差，频谱可用性不再是提取频谱的准确指标。

### 提取频谱的可用性
我们还希望了解使用提取频谱信道服务于传统无线应用的可行性。为此，我们检查了次级设备所经历的信道服务时间和阻塞时间的统计模式。对于每个频率信道，服务时间定义了次级用户可以连续访问信道的时间，而阻塞时间定义了次级用户必须等待才能访问信道的时间。

#### 图10：使用SKA方案和0.1主用户干扰限制，在三个位置测量的次级用户的阻塞和服务时间的累积分布
比较此结果与图5（信道的原始空闲和忙时持续时间），我们看到服务时间比主用户空闲时间小一个数量级，而阻塞时间比主用户忙时大一个数量级！虽然令人失望，但考虑到SKA的提取率<30%，这一结果是可以预料的。

绝对值并不理想。次级用户经历了长时间的阻塞（2-200秒）和短暂的服务时间（2-10秒）。这意味着次级用户的实际使用时间非常有限。

- **服务时间**
  - 1
  - 0.9
  - 0.8
  - 0.7
  - 0.6
  - 0.5
  - 0.4
  - 0.3
  - 0.2
  - 0.1
  - 0

- **持续时间（秒）**
  - 10
  - 100
  - 1000

- **地点**
  - NED
  - GER1
  - GER2

### 相关性和互信息
#### 图11：GSM 1800-DL的相关系数和互信息
- **相关系数**
  - 1
  - 0.8
  - 0.6
  - 0.4
  - 0.2
  - 0
  - -0.2

- **互信息**
  - 0.05
  - 0.04
  - 0.03
  - 0.02
  - 0.01
  - 0

- **时间（小时）**
  - 0
  - 5
  - 10
  - 15
  - 20
  - 25

- **频率滞后（MHz）**
  - 0
  - 10
  - 20
  - 30
  - 40
  - 50
  - 60
  - 70
  - 80

通过这些优化，文本更加清晰、连贯和专业，能够更好地传达研究结果和分析。
