    Warning	C4267	'return': conversion from 'size_t' to 'uint32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\function.h	217	
    Warning	C4251	'torch::autograd::AutogradContext::saved_data': class 'ska::flat_hash_map,std::equal_to,std::allocator>>' needs to have dll-interface to be used by clients of struct 'torch::autograd::AutogradContext'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\custom_function.h	84	
    Warning	C4251	'torch::autograd::AutogradContext::non_differentiable_': class 'std::unordered_set,std::equal_to,std::allocator>' needs to have dll-interface to be used by clients of struct 'torch::autograd::AutogradContext'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\custom_function.h	105	
    Warning	C4251	'torch::autograd::AutogradContext::dirty_inputs_': class 'std::unordered_set,std::equal_to,std::allocator>' needs to have dll-interface to be used by clients of struct 'torch::autograd::AutogradContext'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\custom_function.h	106	
    Warning	C4251	'torch::autograd::AutogradContext::saved_variables_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::autograd::AutogradContext'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\custom_function.h	107	
    Warning	C4251	'torch::autograd::AutogradContext::to_save_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::autograd::AutogradContext'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\custom_function.h	108	
    Warning	C4251	'torch::autograd::AutogradContext::grad_fn_': class 'std::weak_ptr' needs to have dll-interface to be used by clients of struct 'torch::autograd::AutogradContext'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\custom_function.h	113	
    Warning	C4251	'torch::autograd::VariableInfo::size': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::autograd::VariableInfo'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\custom_function.h	129	
    Warning	C4251	'torch::optim::detail::OptimizerBase::parameters_': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::detail::OptimizerBase'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\optimizer.h	83	
    Warning	C4275	non dll-interface class 'torch::optim::Optimizer' used as base for dll-interface class 'torch::optim::Adagrad'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adagrad.h	28	
    Warning	C4251	'torch::optim::Adagrad::sum_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::Adagrad'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adagrad.h	44	
    Warning	C4251	'torch::optim::Adagrad::step_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::Adagrad'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adagrad.h	45	
