# 企业业务风控平台建设
## 卢明樊：爱奇艺的业务安全风控“秘籍”
摘自[卢明樊：爱奇艺的业务安全风控“秘籍”](https://www.freebuf.com/articles/people/233378.html)，仅作笔记记录，如有侵权请告知。

### 风控建设的九个阶段

本文详细介绍了风控体系建设的九个关键阶段：

1. **风险识别与管控**
   - 将风控措施与具体业务紧密结合。
   - 对不同业务场景进行分类，特别注意高风险和核心环节。
   - 应用二八法则，集中资源处理最关键的风险点。

2. **系统快速搭建**
   - 当应用场景较为单一时，可选择第三方解决方案以加速部署。
   - 面对复杂且变化频繁的需求，则应考虑自主研发一套完整的风控体系。大规模公司还需构建红蓝对抗机制增强安全性。
     ![](https://image-host-toky.oss-cn-shanghai.aliyuncs.com/20200501072131.png)
     图：爱奇艺风险中台架构概览
   - 此系统整合了包括但不限于：
     - 安全意识培训
     - 风险评估
     - 系统加固
     - 高性能计算引擎
     - 威胁情报收集
     - 用户端防护（如数据采集、验证等）
     - 实时拦截功能
     - 大数据分析能力
     - 模型训练与优化
     - 跨部门协作机制
     - 持续监控与预警
     - 紧急响应流程
     - 策略调整与持续运营

3. **优化引擎效能**
   - 在保证风控效果的同时提高其与日常运营活动之间的协同效率。

4. **实现数据驱动决策**
   - 通过整合来自多个渠道的信息（例如实时日志、服务记录、用户反馈等），经过清洗、分析后形成有价值的洞察，并将其应用于模型训练及策略制定过程中。
   - 构建高效的大数据处理平台对于支撑整个风控框架至关重要。

5. **云端协作模式**
   - 强调终端设备与云端服务器之间紧密配合的重要性，共同提升整体防御水平。

6. **跨领域联合防控**
   - 促进各部门间的数据共享和技术交流，形成统一战线抵御潜在威胁。

7. **智能化转型**
   - 从传统基于规则的方法转向更加灵活智能的方式，利用机器学习技术自动检测异常行为并作出相应反应。
   - 开发通用性强且易于理解的算法模块，以便于在不同情境下迅速应用。

8. **长期运维支持**
   - 认识到风险管理是一个持续改进的过程，需要专门团队负责定期审查现有措施的有效性并根据最新情况作出调整。
   - 除了技术支持外，还需要具备丰富实战经验的专业人士参与其中。

9. **中台化管理**
   - 针对日益多样化且不断演变的企业需求，建立一个能够快速适应新挑战的标准平台，为用户提供便捷的服务接入接口以及强大的后台支撑。
