以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 事件日志记录

**时间范围：2023年12月10日 11:01:46 - 11:02:30**

**目标服务器：LabSZ**

**攻击源IP地址：183.62.140.253**

#### 认证失败事件

| 序号 | 时间 (UTC)      | 事件描述                                                         | 事件代码 |
|------|-----------------|------------------------------------------------------------------|----------|
| 1    | 2023-12-10 11:01:46 | root 用户从 183.62.140.253:59850 SSH2 登录尝试失败               | E9       |
| 2    | 2023-12-10 11:01:46 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 3    | 2023-12-10 11:01:46 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 4    | 2023-12-10 11:01:48 | root 用户从 183.62.140.253:60231 SSH2 登录尝试失败               | E9       |
| 5    | 2023-12-10 11:01:48 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 6    | 2023-12-10 11:01:48 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 7    | 2023-12-10 11:01:50 | root 用户从 183.62.140.253:60637 SSH2 登录尝试失败               | E9       |
| 8    | 2023-12-10 11:01:50 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 9    | 2023-12-10 11:01:50 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 10   | 2023-12-10 11:01:52 | root 用户从 183.62.140.253:60948 SSH2 登录尝试失败               | E9       |
| 11   | 2023-12-10 11:01:52 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 12   | 2023-12-10 11:01:52 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 13   | 2023-12-10 11:01:55 | root 用户从 183.62.140.253:33150 SSH2 登录尝试失败               | E9       |
| 14   | 2023-12-10 11:01:55 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 15   | 2023-12-10 11:01:55 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 16   | 2023-12-10 11:01:57 | root 用户从 183.62.140.253:33581 SSH2 登录尝试失败               | E9       |
| 17   | 2023-12-10 11:01:57 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 18   | 2023-12-10 11:01:57 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 19   | 2023-12-10 11:01:59 | root 用户从 183.62.140.253:33946 SSH2 登录尝试失败               | E9       |
| 20   | 2023-12-10 11:01:59 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
