E190,instruction plb 
E191,interrupt threshold...0
E192,invalid 
E193,invalid operation exception 
E194,job  timed out. Block freed.
E195,Kernel detected  integer alignment exceptions  iar  dear   iar  dear   iar  dear   iar  dear   iar  dear   iar  dear   iar  dear   iar  dear 
E196,kernel panic
E197,L1 DCACHE summary averages: #ofDirtyLines:  out of 1024 #ofDirtyDblWord:  out of 4096
E198,L3   register: 
E199,L3 major internal error
E200,LinkCard is not fully functional
E201,lr: cr: xer: ctr:
E202,Lustre mount FAILED :  : block_id : location
E203,Lustre mount FAILED :  : point /p/gb1
E204,machine check 
E205,MACHINE CHECK DCR read timeout  iar  lr 
E206,machine check: i-fetch......................0
E207,machine check interrupt  L2 dcache unit   parity error
E208,machine check interrupt  L2 DCU read error
E209,machine check interrupt  L3 major internal error
E210,machine check interrupt  Torus/Tree/GI read error 0
E211,machine check interrupt  L2 dcache unit data parity error
E212,MACHINE CHECK PLB write IRQ  iar  lr 
E213,Machine Check Status Register: 
E214,machine check status register: 
E215,machine state register:
E216,Machine State Register: 
E217,machine state register: 
E218,machine state register: machine state register: machine state register: machine state register: machine state register: machine
E219,MailboxMonitor::serviceMailboxes() lib_ido_error: -1019 socket closed
E220,MailboxMonitor::serviceMailboxes() lib_ido_error: -1114 unexpected socket error: Broken pipe
E221,mask..................
E222,max number of outstanding prefetches.....7
E223,"max time in a cr RAS KERNEL INFO  total interrupts.  critical input interrupts.  microseconds total spent on critical input interrupts,  microseconds max time in a critical input interrupt."
E224,memory and bus summary...........................0
E225,memory manager 
E226,memory manager / command manager address parity..0
E227,memory manager address error.....................0
E228,memory manager address parity error..............0
E229,memory manager refresh contention................0
E230,memory manager refresh counter timeout...........0
E231,memory manager RMW buffer parity.................0
E232,memory manager store buffer parity...............0
E233,memory manager strobe gate.......................0
E234,memory manager uncorrectable 
E235,Microloader Assertion
E236,MidplaneSwitchController performing bit sparing on  bit 
E237,MidplaneSwitchController::clearPort() bll_clear_port failed: 
E238,MidplaneSwitchController::parityAlignment() pap failed:   
E239,MidplaneSwitchController::receiveTrain() iap failed:   
E240,MidplaneSwitchController::sendTrain() port disconnected: 
E241,minus  
E242,minus 
E243,miscompare............0
E244,Missing reverse cable: Cable     -->     is present BUT the reverse cable     -->     is missing
E245,mmcs_db_server has been started: /bgl/BlueLight/ppcfloor/bglsys/bin/mmcs_db_server --useDatabase BGL --dbproperties serverdb.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all
E246,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties db.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all
E247,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties db.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all --shutdown-timeout 120
E248,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties db.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all --shutdown-timeout 120 --shutdown-timeout 240
E249,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties ./serverdb.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all
E250,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties serverdb.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all
E251,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties serverdb.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all --no-reconnect-blocks
E252,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties serverdb.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all --shutdown-timeout 
E253,mmcs_server exited abnormally due to signal: Segmentation fault
E254,monitor caught java.lang.IllegalStateException: while executing CONTROL Operation caught java.io.EOFException and is stopping
E255,monitor caught java.lang.IllegalStateException: while executing  Operation caught java.net.SocketException: Broken pipe and is stopping
E256,monitor caught java.lang.UnsupportedOperationException: power module  not present and is stopping
E257,msr= dear= esr= fpscr=
E258,New ido chip inserted into the database:    
E259,"NFS Mount failed on  slept  seconds, retrying "
E260,no ethernet link
E261,No power module  found found on link card
E262,Node card is not fully functional
E263,"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. TEMPERATURE MASK IS ACTIVE. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK."
E264,"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK."
