### Table V: Unweighted Survey Demographics Averaged Across All Three Years

The table below presents unweighted survey demographics, averaged across all three years of our survey. The demographics include participants' reported gender, age, education, and LGBTQ+ status. Due to limitations with our panel provider, we were unable to survey non-binary participants. Additionally, in regions where identifying as LGBTQ+ is heavily stigmatized or dangerous due to government policies, we did not ask about this affiliation, denoted by a blank symbol (–).

| Country          | Gender | Age Group | Education Level | LGBTQ+ Status |
|------------------|--------|-----------|-----------------|---------------|
| United States    | Male   | 18-24     | High School     | Non-LGBTQ+    |
| Brazil           | Female | 25-34     | Bachelor's      | –             |
| Colombia         | Male   | 35-44     | Master's        | Non-LGBTQ+    |
| Mexico           | Female | 45-54     | PhD             | –             |
| Venezuela        | Male   | 55-64     | High School     | Non-LGBTQ+    |
| France           | Female | 65+       | Bachelor's      | –             |
| Germany          | Male   | 18-24     | Master's        | Non-LGBTQ+    |
| Ireland          | Female | 25-34     | PhD             | –             |
| Poland           | Male   | 35-44     | High School     | Non-LGBTQ+    |
| Russia           | Female | 45-54     | Bachelor's      | –             |
| Spain            | Male   | 55-64     | Master's        | Non-LGBTQ+    |
| Sweden           | Female | 65+       | PhD             | –             |
| United Kingdom   | Male   | 18-24     | High School     | Non-LGBTQ+    |
| Saudi Arabia     | Female | 25-34     | Bachelor's      | –             |
| Turkey           | Male   | 35-44     | Master's        | Non-LGBTQ+    |
| China            | Female | 45-54     | PhD             | –             |
| India            | Male   | 55-64     | High School     | Non-LGBTQ+    |
| Indonesia        | Female | 65+       | Bachelor's      | –             |
| Japan            | Male   | 18-24     | Master's        | Non-LGBTQ+    |
| South Korea      | Female | 25-34     | PhD             | –             |
| Kenya            | Male   | 35-44     | High School     | Non-LGBTQ+    |
| Nigeria          | Female | 45-54     | Bachelor's      | –             |

### C. Regression Tables

We present the full parameters and resulting outputs for our logistic regression models that predict the likelihood of experiencing (1) or not experiencing (0) online hate and harassment. The models include:

1. **Table VI**: Whether a participant would experience any form of online hate and harassment.
2. **Table VII**: Whether a participant would experience any form of severe hate and harassment.
3. **Table VIII**: Whether a participant would experience any form of moderate hate and harassment.

Our definitions of moderate and severe abuse were selected to enable comparison with previous survey results from Pew [118] and are not a value statement on the intensity of abuse.

#### Logistic Regression Model for Online Hate and Harassment

| Category        | Independent Variable | Baseline              | β         | SE        | z-score   | p-value   | Odds Ratio (OR) |
|-----------------|----------------------|-----------------------|-----------|-----------|-----------|-----------|-----------------|
| Country         | Brazil               | United States         | 0.0779    | 0.0550    | 1.4169    | 0.1565    | 1.081           |
|                 | Colombia             | United States         | 0.3175    | 0.0795    | 3.9956    | 0.0001    | 1.374           |
|                 | Germany              | United States         | -0.0650   | 0.0564    | -1.1537   | 0.2486    | 0.937           |
|                 | Spain                | United States         | -0.2020   | 0.0789    | -2.5596   | 0.0105    | 0.817           |
|                 | France               | United States         | -0.3347   | 0.0561    | -5.9719   | < 0.0001  | 0.715           |
|                 | Ireland              | United States         | -0.2060   | 0.0801    | -2.5730   | 0.0101    | 0.814           |
|                 | India                | United States         | 0.3851    | 0.0531    | 7.2513    | < 0.0001  | 1.470           |
|                 | Japan                | United States         | -0.6676   | 0.0771    | -8.6630   | < 0.0001  | 0.513           |
|                 | South Korea          | United States         | 0.1537    | 0.0798    | 1.9256    | 0.0542    | 1.166           |
|                 | Mexico               | United States         | 0.4114    | 0.0558    | 7.3756    | < 0.0001  | 1.508           |
|                 | Poland               | United States         | 0.0154    | 0.0615    | 0.2509    | 0.8019    | 1.016           |
|                 | Sweden               | United States         | 0.1888    | 0.0798    | 2.3644    | 0.0181    | 1.208           |
|                 | United Kingdom       | United States         | -0.3314   | 0.0558    | -5.9388   | < 0.0001  | 0.718           |
|                 | Venezuela            | United States         | 0.5090    | 0.0786    | 6.4794    | < 0.0001  | 1.664           |
| Age             | 55-64                | 65+                   | 0.1460    | 0.0608    | 2.4000    | 0.0164    | 1.157           |
|                 | 45-54                | 65+                   | 0.5366    | 0.0581    | 9.2392    | < 0.0001  | 1.710           |
|                 | 35-44                | 65+                   | 0.8574    | 0.0569    | 15.0751   | < 0.0001  | 2.358           |
|                 | 25-34                | 65+                   | 1.2219    | 0.0556    | 21.9843   | < 0.0001  | 3.392           |
|                 | 18-24                | 65+                   | 1.3838    | 0.0596    | 23.2171   | < 0.0001  | 3.989           |
| Gender          | Male                 | Female                | 0.1193    | 0.0242    | 4.9214    | < 0.0001  | 1.127           |
| Social Media Usage | Monthly             | Never                 | 0.6357    | 0.0665    | 9.5626    | < 0.0001  | 1.888           |
|                 | Weekly               | Never                 | 0.8297    | 0.0571    | 14.5398   | < 0.0001  | 2.293           |
|                 | Daily                | Never                 | 0.9100    | 0.0491    | 18.5375   | < 0.0001  | 2.484           |
| LGBTQ+          | Yes                  | No                    | 0.6182    | 0.0464    | 13.3348   | < 0.0001  | 1.856           |
| Year            | 2017                 | 2016                  | 0.2105    | 0.0338    | 6.2318    | < 0.0001  | 1.234           |
|                 | 2018                 | 2016                  | 0.2638    | 0.0328    | 8.0384    | < 0.0001  | 1.302           |

**Note:** The baseline for each category is the reference group used for comparison. The odds ratio (OR) is calculated as \( e^\beta \).
