| .dcx	          | application/x-dcx |
| .dgn	          | application/x-dgn |
| .dll	          | application/x-msdownload |
| .dot	          | application/msword |
| .dtd	          | text/xml |
| .dwf	          | application/x-dwf |
| .dxb	          | application/x-dxb |
| .edn	          | application/vnd.adobe.edn |
| .eml	          | message/rfc822 |
| .epi	          | application/x-epi |
| .eps	          | application/postscript |
| .exe	          | application/x-msdownload |
| .fdf	          | application/vnd.fdf |
| .fo	          | text/xml |
| .g4	          | application/x-g4 |
| .	              | application/x- |
| .gl2	          | application/x-gl2 |
| .hgl	          | application/x-hgl |
| .hpg	          | application/x-hpgl |
| .hqx	          | application/mac-binhex40 |
| .hta	          | application/hta |
| .htm	          | text/html |
| .htt	          | text/webviewhtml |
| .icb	          | application/x-icb |
| .ico	          | application/x-ico |
| .ig4	          | application/x-g4 |
| .iii	          | application/x-iphone |
| .ins	          | application/x-internet-signup |
| .IVF	          | video/x-ivf |
| .jfif	          | image/jpeg |
| .jpe	          | application/x-jpe |
| .jpg	          | image/jpeg |
| .js	          | application/x-javascript |
| .la1	          | audio/x-liquid-file |
| .latex	      | application/x-latex |
| .lbm	          | application/x-lbm |
| .ls	          | application/x-javascript |
| .m1v	          | video/x-mpeg |
| .m3u	          | audio/mpegurl |
| .mac	          | application/x-mac |
| .math	          | text/xml |
| .mdb	          | application/x-mdb |
| .mht	          | message/rfc822 |
| .mi	          | application/x-mi |
| .midi	          | audio/mid |
| .mml	          | text/xml |
| .mns	          | audio/x-musicnet-stream |
| .movie	      | video/x-sgi-movie |
| .mp2	          | audio/mp2 |
| .mp3	          | audio/mp3 |
| .mpa	          | video/x-mpg |
| .mpe	          | video/x-mpeg |
| .mpg	          | video/mpg |
| .mpp	          | application/vnd.ms-project |
| .mpt	          | application/vnd.ms-project |
| .mpv2	          | video/mpeg |
| .mpx	          | application/vnd.ms-project |
| .mxp	          | application/x-mmxp |
| .nrf	          | application/x-nrf |
| .odc	          | text/x-ms-odc |
| .p10	          | application/pkcs10 |
| .p7b	          | application/x-pkcs7-certificates |
| .p7m	          | application/pkcs7-mime |
| .p7s	          | application/pkcs7-signature |
| .pci	          | application/x-pci |
| .pcx	          | application/x-pcx |
| .pdf	          | application/pdf |
| .pfx	          | application/x-pkcs12 |
| .pic	          | application/x-pic |
| .pl	          | application/x-perl |
| .pls	          | audio/scpls |
| .png	          | image/png |
| .pot	          | application/vnd.ms-powerpoint |
| .ppm	          | application/x-ppm |
| .ppt	          | application/vnd.ms-powerpoint |
| .pr	          | application/x-pr |
| .prn	          | application/x-prn |
| .ps	          | application/x-ps |
| .ptn	          | application/x-ptn |
| .r3t	          | text/vnd.rn-realtext3d |
| .ram	          | audio/x-pn-realaudio |
| .rat	          | application/rat-file |
| .rec	          | application/vnd.rn-recording |
| .rgb	          | application/x-rgb |
| .rjt	          | application/vnd.rn-realsystem-rjt |
| .rle	          | application/x-rle |
| .rmf	          | application/vnd.adobe.rmf |
| .rmj	          | application/vnd.rn-realsystem-rmj |
| .rmp	          | application/vnd.rn-rn_music_package |
| .rmvb	          | application/vnd.rn-realmedia-vbr |
| .rnx	          | application/vnd.rn-realplayer |
| .rpm	          | audio/x-pn-realaudio-plugin |
| .rt	          | text/vnd.rn-realtext |
| .rtf	          | application/x-rtf |
| .sam	          | application/x-sam |
| .sdp	          | application/sdp |
| .sit	          | application/x-stuffit |
| .sld	          | application/x-sld |
| .smi	          | application/smil |
| .smk	          | application/x-smk |
| .sol	          | text/plain |
| .spc	          | application/x-pkcs7-certificates |
| .spp	          | text/xml |
| .sst	          | application/vnd.ms-pki.certstore |
| .stm	          | text/html |
| .svg	          | text/xml |
| .tdf	          | application/x-tdf |
| .tga	          | application/x-tga |
| .tif	          | application/x-tif |
| .tld	          | text/xml |
| .torrent	      | application/x-bittorrent |
| .txt	          | text/plain |
| .uls	          | text/iuls |
| .vda	          | application/x-vda |
| .vml	          | text/xml |
| .vsd	          | application/vnd.visio |
| .vss	          | application/vnd.visio |
| .vst	          | application/x-vst |
| .vsx	          | application/vnd.visio |
| .vxml	          | text/xml |
| .wax	          | audio/x-ms-wax |
| .wb2	          | application/x-wb2 |
| .wbmp	          | image/vnd.wap.wbmp |
| .wk3	          | application/x-wk3 |
| .wkq	          | application/x-wkq |
| .wm	          | video/x-ms-wm |
| .wmd	          | application/x-ms-wmd |
| .wml	          | text/vnd.wap.wml |
| .wmx	          | video/x-ms-wmx |
| .wp6	          | application/x-wp6 |
| .wpg	          | application/x-wpg |
| .wq1	          | application/x-wq1 |
| .wri	          | application/x-wri |
| .ws	          | application/x-ws |
| .wsc	          | text/scriptlet |
| .wvx	          | video/x-ms-wvx |
| .xdr	          | text/xml |
| .xfdf	          | application/vnd.adobe.xfdf |
| .xls	          | application/vnd.ms-excel |
| .xlw	          | application/x-xlw |
| .xpl	          | audio/scpls |
| .xql	          | text/xml |
| .xsd	          | text/xml |
| .xslt	          | text/xml |
| .x_b	          | application/x-x_b |
| .sisx	          | application/vnd.symbian.install |
| .ipa	          | application/vnd.iphone |
| .xap	          | application/x-silverlight-app |
---
