### Structural and Administrative Services Used by Cybercriminals

This section discusses the structural and administrative services, such as registrars and name servers, that are frequently utilized by cybercriminals. These components represent approximately 1.5% of the entire registry's zone.

### Model Validation and Performance Testing

**Validation Period:**
- **Duration:** June 2015
- **Purpose:** To select the best models and parameters.

**Performance Testing:**
- **Duration:** July 2015 to May 2016 (11 months)
- **Process:** The prediction model uses a sliding window on a daily basis. Each day, the model is trained on data from the previous 15 to 60 days.

### Featureset for Reputation-Based Classification and Similarity-Based Clustering

The following table outlines the features used for reputation-based classification ('Cla' column) and similarity-based clustering ('Clu' column).

| Type       | Feature                              | Cla | Clu |
|------------|--------------------------------------|-----|-----|
| Ordinal    | Domain Length                        | X   |     |
| Ordinal    | Number of Digits in Domain           | X   |     |
| Ordinal    | Maximum Length of Consecutive Digits | X   |     |
| Ordinal    | Offset of Maximum Digits             | X   |     |
| Ordinal    | Maximum Length of Hexadecimal        | X   |     |
| Ordinal    | Offset of Maximum Hexadecimal        | X   |     |
| Ordinal    | Hour of Registration                 | X   |     |
| Categorical| Registrant Country Code              | X   |     |
| Continuous | Registrant Address Score             | X   |     |
| Continuous | Registrar Reputation Percentage      | X   |     |
| Continuous | Name Servers Reputation Percentage  | X   |     |
| Continuous | Email Provider Reputation Percentage| X   |     |
| Continuous | Phone Number Reputation Percentage   | X   |     |
| Continuous | Registrar Reputation (14 Days)       | X   |     |
| Continuous | Name Servers Reputation (14 Days)    | X   |     |
| Continuous | Email Provider Reputation (14 Days)  | X   |     |
| Continuous | Phone Number Reputation (14 Days)    | X   |     |
| Continuous | Registrar Reputation (30 Days)       | X   |     |
| Continuous | Name Servers Reputation (30 Days)    | X   |     |
| Continuous | Email Provider Reputation (30 Days)  | X   |     |
| Continuous | Phone Number Reputation (30 Days)    | X   |     |
| Continuous | Registrar Reputation (60 Days)       | X   |     |
| Continuous | Name Servers Reputation (60 Days)    | X   |     |
| Continuous | Email Provider Reputation (60 Days)  | X   |     |
| Continuous | Phone Number Reputation (60 Days)    | X   |     |
| Categorical| Registrar                           | X   |     |
| Categorical| Email Provider                      | X   |     |
| String     | Registrant Street                    | X   |     |
| String     | Registrant Phone                     | X   |     |
| String     | Registrant Email Account             | X   |     |
| String     | Registrant Name                      | X   |     |
| String     | Registrant City                      | X   |     |
| String     | Registrant Postcode                  | X   |     |

This structured approach ensures a clear and comprehensive understanding of the features used in the classification and clustering processes.
