400139 在PLC中删除DB39，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400140 在PLC中删除DB40，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400141 在PLC中删除DB41，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400142 在PLC中删除DB42，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
报警
1326 诊断手册, 01/2022, 6FC5398-6BP40-6RA6
PLC 报警
400143 在PLC中删除DB43，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400144 在PLC中删除DB44，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400145 在PLC中删除DB45，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400146 在PLC中删除DB46，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400147 在PLC中删除DB47，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400148 在PLC中删除DB48，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400149 在PLC中删除DB49，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400150 在PLC中删除DB50，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
报警
诊断手册, 01/2022, 6FC5398-6BP40-6RA6 1327
PLC 报警
