# G0066: Elderwood

## Description
Elderwood, identified as [G0066](https://attack.mitre.org/groups/G0066) by MITRE, is a suspected Chinese cyber espionage group. It was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. (Citation: Security Affairs Elderwood Sept 2012) The group has targeted a wide range of organizations, including defense organizations, supply chain manufacturers, human rights and nongovernmental organizations (NGOs), and IT service providers. (Citations: Symantec Elderwood Sept 2012, CSM Elderwood Sept 2012)

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027/) | Elderwood has encrypted documents and malicious executables. | Network protocol analysis, process use of network, file monitoring, malware reverse engineering, binary file metadata, process command-line parameters, environment variable, process monitoring, Windows event logs, network intrusion detection system, email gateway, SSL/TLS inspection |
| Linux, Windows, macOS | [Execution](https://attack.mitre.org/tactics/execution/) | [Exploitation for Client Execution](https://attack.mitre.org/techniques/T1203/) | Elderwood has exploited vulnerabilities in endpoint software, such as Microsoft Internet Explorer and Adobe Flash, to gain execution. They have also used zero-day exploits. | Anti-virus, system calls, process monitoring |
| Windows, macOS | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Software Packing](https://attack.mitre.org/techniques/T1045/) | Elderwood has packed malware payloads before delivering them to victims. | Binary file metadata |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/), [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/) | [Remote File Copy](https://attack.mitre.org/techniques/T1105/) | The Ritsol backdoor trojan, used by Elderwood, can download files onto a compromised host from a remote location. | File monitoring, packet capture, process use of network, Netflow/Enclave netflow, network protocol analysis, process monitoring |
| Linux, Windows, macOS | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Supply Chain Compromise](https://attack.mitre.org/techniques/T1195/) | Elderwood has targeted manufacturers in the defense industry's supply chain. | Web proxy, file monitoring |
| Windows, macOS, Linux, Office 365, SaaS | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Link](https://attack.mitre.org/techniques/T1192/) | Elderwood has delivered zero-day exploits and malware to victims via targeted emails containing links to malicious content hosted on uncommon web servers. | Packet capture, web proxy, email gateway, detonation chamber, SSL/TLS inspection, DNS records, mail server |
| Windows, macOS, Linux | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | Elderwood has delivered zero-day exploits and malware to victims via targeted emails containing malicious attachments. | File monitoring, packet capture, network intrusion detection system, detonation chamber, email gateway, mail server |
| Windows, Linux, macOS, SaaS | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Drive-by Compromise](https://attack.mitre.org/techniques/T1189/) | Elderwood has delivered zero-day exploits and malware to victims by injecting malicious code into specific public web pages visited by targets within a particular sector. | Packet capture, network device logs, process use of network, web proxy, network intrusion detection system, SSL/TLS inspection |
| Linux, Windows, macOS | [Execution](https://attack.mitre.org/tactics/execution/) | [User Execution](https://attack.mitre.org/techniques/T1204/) | Elderwood has leveraged various types of spearphishing to get users to open links and attachments. | Anti-virus, process command-line parameters, process monitoring |

This table provides a detailed overview of the tactics, techniques, and procedures (TTPs) used by the Elderwood group, along with the relevant data sources for detection and analysis.
