| 1            | info        | 1         | [1, 0]      | 0          | VALIDITY     | 122880 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 1            | crt_time    | 2         | [2]         | 0          | TIMESTAMP    | 122880 | 69632  | BitPacking   | [Min: 2022-09-02 18:21:06.752, Max: 2022-09-03 13:41:37.752][Has Null: false, Has No Null: true]              | false       | true       | 62       | 0            |  
| 1            | crt_time    | 2         | [2]         | 1          | TIMESTAMP    | 192512 | 53248  | BitPacking   | [Min: 2022-09-03 13:41:38.752, Max: 2022-09-04 04:29:05.752][Has Null: false, Has No Null: true]              | false       | true       | 63       | 0            |  
| 1            | crt_time    | 2         | [2, 0]      | 0          | VALIDITY     | 122880 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 1            | c1          | 3         | [3]         | 0          | BIGINT       | 122880 | 122880 | BitPacking   | [Min: 0, Max: 10000][Has Null: false, Has No Null: true]                                                      | false       | true       | 64       | 0            |  
| 1            | c1          | 3         | [3, 0]      | 0          | VALIDITY     | 122880 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 2            | id          | 0         | [0]         | 0          | BIGINT       | 245760 | 122880 | BitPacking   | [Min: 245761, Max: 368640][Has Null: false, Has No Null: true]                                                | false       | true       | 65       | 0            |  
| 2            | id          | 0         | [0, 0]      | 0          | VALIDITY     | 245760 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 2            | info        | 1         | [1]         | 0          | VARCHAR      | 245760 | 7281   | Uncompressed | [Min: 000d929e, Max: fffa26a7, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 66       | 0            |  
| 2            | info        | 1         | [1]         | 1          | VARCHAR      | 253041 | 7281   | Uncompressed | [Min: 000d575d, Max: fffca288, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 67       | 0            |  
| 2            | info        | 1         | [1]         | 2          | VARCHAR      | 260322 | 7281   | Uncompressed | [Min: 00011bb7, Max: fffa8cf6, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 68       | 0            |  
| 2            | info        | 1         | [1]         | 3          | VARCHAR      | 267603 | 7281   | Uncompressed | [Min: 00039b56, Max: fff01a25, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 69       | 0            |  
| 2            | info        | 1         | [1]         | 4          | VARCHAR      | 274884 | 7281   | Uncompressed | [Min: 0002eac1, Max: fffeb86b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 70       | 0            |  
| 2            | info        | 1         | [1]         | 5          | VARCHAR      | 282165 | 7281   | Uncompressed | [Min: 0004cc82, Max: fffcb6d4, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 71       | 0            |  
| 2            | info        | 1         | [1]         | 6          | VARCHAR      | 289446 | 7281   | Uncompressed | [Min: 0005f660, Max: fff735f8, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 72       | 0            |  
| 2            | info        | 1         | [1]         | 7          | VARCHAR      | 296727 | 7281   | Uncompressed | [Min: 000b3416, Max: fff685e7, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 73       | 0            |  
| 2            | info        | 1         | [1]         | 8          | VARCHAR      | 304008 | 7281   | Uncompressed | [Min: 0000ecb0, Max: fff7a404, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 74       | 0            |  
