           0x102ffd000 -        0x10338dfff +com.github.AtomFramework (0)  /Applications/Atom.app/Contents/Frameworks/Atom Framework.framework/Versions/A/Atom Framework
           0x103738000 -        0x10374dff7 +com.github.Squirrel (1.0 - 1)  /Applications/Atom.app/Contents/Frameworks/Squirrel.framework/Versions/A/Squirrel
           0x10376c000 -        0x1037cfff7 +org.reactivecocoa.ReactiveCocoa (1.0 - 1)  /Applications/Atom.app/Contents/Frameworks/ReactiveCocoa.framework/Versions/A/ReactiveCocoa
           0x10384a000 -        0x10385efff +org.mantle.Mantle (1.0 - ???)  /Applications/Atom.app/Contents/Frameworks/Mantle.framework/Versions/A/Mantle
           0x10387a000 -        0x107322fbf +libchromiumcontent.dylib (0)  /Applications/Atom.app/Contents/Frameworks/Atom Framework.framework/Versions/A/Libraries/libchromiumcontent.dylib
           0x107fb7000 -        0x107feefff  com.apple.audio.midi.CoreMIDI (1.10 - 88)  /System/Library/Frameworks/CoreMIDI.framework/Versions/A/CoreMIDI
           0x10c5a1000 -        0x10c7b4fff +ffmpegsumo.so (0)  /Applications/Atom.app/Contents/Frameworks/Atom Framework.framework/Libraries/ffmpegsumo.so
           0x10e865000 -        0x10e868ff7 +pathwatcher.node (???)  /Applications/Atom.app/Contents/Resources/app.asar.unpacked/node_modules/pathwatcher/build/Release/pathwatcher.node
           0x10e86f000 -        0x10e870fff +keyboard-layout-observer.node (???)  /Applications/Atom.app/Contents/Resources/app.asar.unpacked/node_modules/atom-keymap/node_modules/keyboard-layout/build/Release/keyboard-layout-observer.node
           0x10fb22000 -        0x10fb23fff  ATSHI.dylib (375.2)  /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Resources/ATSHI.dylib
           0x1101c2000 -        0x110216fff +onig_scanner.node (???)  /Applications/Atom.app/Contents/Resources/app.asar.unpacked/node_modules/oniguruma/build/Release/onig_scanner.node
           0x111317000 -        0x1113baff7 +git.node (???)  /Applications/Atom.app/Contents/Resources/app.asar.unpacked/node_modules/git-utils/build/Release/git.node
           0x111853000 -        0x111854ff7 +scrollbar-style-observer.node (???)  /Applications/Atom.app/Contents/Resources/app.asar.unpacked/node_modules/scrollbar-style/build/Release/scrollbar-style-observer.node
        0x7fff60f33000 -     0x7fff60f69837  dyld (353.2.1)  /usr/lib/dyld
        0x7fff81e3b000 -     0x7fff820b9fff  com.apple.RawCamera.bundle (6.04 - 791)  /System/Library/CoreServices/RawCamera.bundle/Contents/MacOS/RawCamera
