### 问题描述
我最近发现我的Chase在线账户似乎被攻击者访问了。我发现通过Chase的移动存款功能有一系列小额存款（共五笔，每笔都不到20美元），但我并没有进行这些存款操作。我认为这可能是攻击者在测试是否有人监控这个账户。我已经联系了Chase银行冻结了我的账户，并且他们正在进行调查。

我不确定这种情况是如何发生的。我的猜测是这可能与我公寓楼里的访客网络有关，我有时会连接到该网络，并可能不小心用它登录了我的Chase账户。但Chase使用的是HTTPS协议，按理说不应该有问题。我也怀疑这可能是由于我的设备上的恶意软件导致的，但我只使用Ubuntu和iOS系统，并且很少安装第三方软件。我没有信息安全方面的背景，所以对这种情况不太了解。如果这不是原因，那么这种情况是如何发生的？我的Chase账户密码并不与其他任何账户相同，虽然不算非常强，但也还算可以。我从未将密码告诉过任何人。这种情况是如何发生的？我还能做些什么来了解更多情况？未来我应该如何防止这种情况再次发生？

**更新：** 对于未来的读者，这次事件最终证明并不是恶意行为，只是一个误会。

### 回答
#### 联系银行并报告问题
1. **立即联系银行**：尽快联系Chase银行，报告这一异常情况，并请求他们冻结你的账户。
2. **详细说明情况**：向银行提供所有相关信息，包括你发现的小额存款的时间、金额等。

#### 可能的原因
1. **退款骗局**：这可能是“退款骗局”的一种表现形式。诈骗者可能会冒充银行工作人员，通过社会工程学手段诱骗你按照他们的指示“退还”资金。
   - **注意事项**：真正的银行在处理错误存款时，不需要你提供详细的个人信息或进行复杂的验证步骤。

2. **网络安全性**：
   - **公共Wi-Fi**：尽管Chase使用HTTPS协议，但在不安全的公共Wi-Fi环境下，仍然可能存在中间人攻击的风险。
   - **密码强度**：即使你的密码不是最弱的，但如果不够复杂，也可能被破解。建议使用包含字母、数字和特殊字符的长密码。
   - **多因素认证**：启用多因素认证（MFA）可以大大增加账户的安全性。

#### 进一步行动
1. **更改密码**：立即更改你的Chase账户密码，并确保新密码足够强。
2. **检查设备**：进行全面的设备安全检查，确保没有恶意软件。
3. **启用多因素认证**：为你的Chase账户启用多因素认证，以增加额外的安全层。
4. **定期监控账户**：定期检查账户活动，以便及时发现并报告任何可疑行为。

#### 预防措施
1. **避免使用公共Wi-Fi进行敏感操作**：尽量不在公共Wi-Fi环境下进行银行交易或其他敏感操作。
2. **使用密码管理器**：使用密码管理器生成和存储强密码。
3. **保持软件更新**：确保所有设备的操作系统和应用程序都是最新版本，以修复已知的安全漏洞。
4. **教育自己**：了解常见的网络钓鱼和社会工程学攻击手法，提高自己的安全意识。

希望这些信息对你有所帮助。如果你还有其他疑问或需要进一步的帮助，请随时告诉我。
