+---+---+-----------------------+---------+---+------------+----------+---+
| 4 |   | \-\-\-\-\--Purpose    | \       | \ | Max256Text | 允许中文 | * |
| 4 |   |                       |  | [ |            |          | * |
| . |   | 用途                  |         | 0 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 4 |   | \-\-\-                | \ | [ | umericText |          | * |
| . |   |                       |         | 1 |            |          | √ |
|   |   | 被背书人数            |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 4 |   | \-\-                  | \ | [ |            |          |   |
| . |   |                       |         | 0 |            |          |   |
|   |   | 被背书人清单          |         | . |            |          |   |
|   |   |                       |         | . |            |          |   |
|   |   |                       |         | n |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 4 |   | \-\-\-\-\-\-\--Name   | \  | \ | Max60Text  | 允许中文 | * |
| 7 |   |                       |         | [ |            |          | * |
| . |   | 被背书人名称          |         | 1 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 4 |   | \-\-\-\-\--ImageType  | \ | [ |            | 写票据正 | * |
| . |   | 票据图像类型          |         | 1 |            | 背面图像 | √ |
|   |   |                       |         | . |            | 的类型（ | * |
|   |   |                       |         | . |            | 图片文件 | * |
|   |   |                       |         | 1 |            | 后缀名） |   |
|   |   |                       |         | \ |            | ，比如jp |   |
|   |   |                       |         | ] |            | g、JPG等 |   |
|   |   |                       |         |   |            | ，类型根 |   |
|   |   |                       |         |   |            | 据实际情 |   |
|   |   |                       |         |   |            | 况填写。 |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 4 |   | \-\-\-                | \ | [ | umericText | 图片经过 | * |
