以下是优化后的文本，使其更加清晰、连贯和专业：

---

### SSH 认证失败日志

1. **事件编号**: 130  
   **日期时间**: 2023-12-10 07:34:07  
   **主机名**: LabSZ  
   **进程ID**: 24295  
   **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19 user=root  
   **简要信息**: E20, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost= user=

2. **事件编号**: 131  
   **日期时间**: 2023-12-10 07:34:10  
   **主机名**: LabSZ  
   **进程ID**: 24295  
   **消息**: root 用户从 123.235.32.19 端口 50950 ssh2 登录密码错误  
   **简要信息**: E9, 从 端口  ssh2 登录密码错误

3. **事件编号**: 132  
   **日期时间**: 2023-12-10 07:34:10  
   **主机名**: LabSZ  
   **进程ID**: 24295  
   **消息**: 收到来自 123.235.32.19 的断开连接: 11: Bye Bye [preauth]  
   **简要信息**: E24, 收到来自 : : Bye Bye [preauth]

4. **事件编号**: 133  
   **日期时间**: 2023-12-10 07:34:13  
   **主机名**: LabSZ  
   **进程ID**: 24297  
   **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19 user=root  
   **简要信息**: E20, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost= user=

5. **事件编号**: 134  
   **日期时间**: 2023-12-10 07:34:15  
   **主机名**: LabSZ  
   **进程ID**: 24297  
   **消息**: root 用户从 123.235.32.19 端口 54024 ssh2 登录密码错误  
   **简要信息**: E9, 从 端口  ssh2 登录密码错误

6. **事件编号**: 135  
   **日期时间**: 2023-12-10 07:34:15  
   **主机名**: LabSZ  
   **进程ID**: 24297  
   **消息**: 收到来自 123.235.32.19 的断开连接: 11: Bye Bye [preauth]  
   **简要信息**: E24, 收到来自 : : Bye Bye [preauth]

7. **事件编号**: 136  
   **日期时间**: 2023-12-10 07:34:21  
   **主机名**: LabSZ  
   **进程ID**: 24299  
   **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19 user=root  
   **简要信息**: E20, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost= user=

8. **事件编号**: 137  
   **日期时间**: 2023-12-10 07:34:23  
   **主机名**: LabSZ  
   **进程ID**: 24299  
   **消息**: root 用户从 123.235.32.19 端口 57100 ssh2 登录密码错误  
   **简要信息**: E9, 从 端口  ssh2 登录密码错误

9. **事件编号**: 138  
   **日期时间**: 2023-12-10 07:34:24  
   **主机名**: LabSZ  
   **进程ID**: 24299  
   **消息**: 收到来自 123.235.32.19 的断开连接: 11: Bye Bye [preauth]  
   **简要信息**: E24, 收到来自 : : Bye Bye [preauth]

10. **事件编号**: 139  
    **日期时间**: 2023-12-10 07:34:33  
    **主机名**: LabSZ  
    **进程ID**: 24301  
    **消息**: 未从 123.235.32.19 收到标识字符串  
    **简要信息**: E3, 未收到标识字符串

11. **事件编号**: 140  
    **日期时间**: 2023-12-10 07:35:15  
    **主机名**: LabSZ  
    **进程ID**: 24303  
    **消息**: 未从 177.79.82.136 收到标识字符串  
    **简要信息**: E3, 未收到标识字符串

12. **事件编号**: 141  
    **日期时间**: 2023-12-10 07:42:49  
    **主机名**: LabSZ  
    **进程ID**: 24318  
    **消息**: 无效用户 inspur 从 183.136.162.51 尝试登录  
    **简要信息**: E13, 无效用户  从 尝试登录

13. **事件编号**: 142  
    **日期时间**: 2023-12-10 07:42:49  
    **主机名**: LabSZ  
    **进程ID**: 24318  
    **消息**: input_userauth_request: 无效用户 inspur [preauth]  
    **简要信息**: E12, input_userauth_request: 无效用户  [preauth]

14. **事件编号**: 143  
    **日期时间**: 2023-12-10 07:42:49  
    **主机名**: LabSZ  
    **进程ID**: 24318  
    **消息**: pam_unix(sshd:auth): 检查密码; 用户未知  
    **简要信息**: E21, pam_unix(sshd:auth): 检查密码; 用户未知

15. **事件编号**: 144  
    **日期时间**: 2023-12-10 07:42:49  
    **主机名**: LabSZ  
    **进程ID**: 24318  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.136.162.51  
    **简要信息**: E19, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost=

16. **事件编号**: 145  
    **日期时间**: 2023-12-10 07:42:51  
    **主机名**: LabSZ  
    **进程ID**: 24318  
    **消息**: 无效用户 inspur 从 183.136.162.51 端口 55204 ssh2 登录密码错误  
    **简要信息**: E10, 无效用户 从 端口  ssh2 登录密码错误

17. **事件编号**: 146  
    **日期时间**: 2023-12-10 07:42:51  
    **主机名**: LabSZ  
    **进程ID**: 24318  
    **消息**: 收到来自 183.136.162.51 的断开连接: 11: Bye Bye [preauth]  
    **简要信息**: E24, 收到来自 : : Bye Bye [preauth]

18. **事件编号**: 147  
    **日期时间**: 2023-12-10 07:48:00  
    **主机名**: LabSZ  
    **进程ID**: 24321  
    **消息**: 反向映射检查 getaddrinfo for 191-210-223-172.user.vivozap.com.br [191.210.223.172] 失败 - 可能的入侵尝试！  
    **简要信息**: E27, 反向映射检查 getaddrinfo for  [] 失败 - 可能的入侵尝试！

19. **事件编号**: 148  
    **日期时间**: 2023-12-10 07:48:00  
    **主机名**: LabSZ  
    **进程ID**: 24321  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=191.210.223.172 user=root  
    **简要信息**: E20, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost= user=

20. **事件编号**: 149  
    **日期时间**: 2023-12-10 07:48:03  
    **主机名**: LabSZ  
    **进程ID**: 24321  
    **消息**: root 用户从 191.210.223.172 端口 31473 ssh2 登录密码错误  
    **简要信息**: E9, 从 端口  ssh2 登录密码错误

21. **事件编号**: 150  
