### 优化后的文本

#### 错误消息：747026
**错误消息**：%ASA-4-747026: Clustering: New cluster member `unit-name` rejected due to cluster interface name mismatch (`ifc-name` on new unit, `ifc-name` on local unit).

**说明**：主设备检测到加入设备的集群控制链路接口名称不匹配。

**建议的操作**：无。

#### 错误消息：747027
**错误消息**：%ASA-4-747027: Clustering: Failed to enroll unit `unit-name` due to insufficient size of cluster pool `pool-name` in `context-name`.

**说明**：由于配置的最小集群池大小限制，主设备无法注册加入设备。

**建议的操作**：无。

#### 错误消息：747028
**错误消息**：%ASA-4-747028: Clustering: New cluster member `unit-name` rejected due to interface mode mismatch (`mode-name` on new unit, `mode-name` on local unit).

**说明**：主设备检测到加入设备的接口模式不匹配（无论是跨接口模式还是单个接口模式）。

**建议的操作**：无。

#### 错误消息：747029
**错误消息**：%ASA-4-747029: Clustering: Unit `unit-name` is quitting due to Cluster Control Link down.

**说明**：由于集群控制链路故障，设备禁用了集群功能。

**建议的操作**：无。

#### 错误消息：747030
**错误消息**：%ASA-3-747030: Clustering: Asking slave unit `unit-name` to quit because it failed interface health check x times (last failure on `interface-name`), Clustering must be manually enabled on the unit to re-join.

**说明**：接口运行状况检查失败，并且已超出最大重新加入尝试次数。从属设备已禁用集群功能。

**建议的操作**：无。

#### 错误消息：747031
**错误消息**：%ASA-3-747031: Clustering: Platform mismatch between cluster master (`platform-type`) and joining unit `unit-name` (`platform-type`). `unit-name` aborting cluster join.

**说明**：加入设备的平台类型与集群主设备的平台类型不匹配。

- **`unit-name`**：集群引导程序中的设备名称。
- **`platform-type`**：ASA平台的类型。

**建议的操作**：确保加入设备与集群主设备具有相同类型的平台。

#### 错误消息：747032
**错误消息**：%ASA-3-747032: Clustering: Service module mismatch between cluster master (`module-name`) and joining unit `unit-name` (`module-name`) in slot `slot-number`. `unit-name` aborting cluster join.

**说明**：加入设备的外部模块与集群主设备中的模块不一致（模块类型和安装顺序）。

- **`module-name`**：外部模块的名称。
- **`unit-name`**：集群引导程序中的设备名称。
- **`slot-number`**：发生不匹配的插槽编号。

**建议的操作**：确保加入设备中安装的模块与集群主设备中的模块属于相同类型，并且与集群主设备中的模块顺序相同。

#### 错误消息：747033
**错误消息**：%ASA-3-747033: Clustering: Interface mismatch between cluster master and joining unit `unit-name`. `unit-name` aborting cluster join.

**说明**：加入设备的接口与集群主设备上的接口不同。

- **`unit-name`**：集群引导程序中的设备名称。

**建议的操作**：确保加入设备上的接口与集群主设备上的接口相同。

#### 错误消息：747034
**错误消息**：%ASA-4-747034: Unit `%s` is quitting due to Cluster Control Link down (%d times after last rejoin). Rejoin will be attempted after %d minutes.

**说明**：集群控制链路处于关闭状态，设备被踢出并尝试重新加入。

**建议的操作**：等待设备重新加入。

#### 错误消息：747035
**错误消息**：%ASA-4-747035: Unit `%s` is quitting due to Cluster Control Link down. Clustering must be manually enabled on the unit to rejoin.

**说明**：集群控制链路处于关闭状态，设备被踢出且没有尝试重新加入。

**建议的操作**：手动重新加入该设备。

#### 错误消息：747036
**错误消息**：%ASA-3-747036: Application software mismatch between cluster master `%s` [Master unit name] (`%s` [Master application software name]) and joining unit (`%s` [Joining unit application software name]). `%s` [Joining member name] aborting cluster join.

**说明**：主设备和加入的从属设备上的应用不相同。从属设备将被踢出。

**建议的操作**：确保从属设备运行相同的应用/服务，并手动重新加入该设备。

#### 错误消息：747037
**错误消息**：%ASA-3-747037: Asking slave unit `%s` to quit due to its Security Service Module health check failure %d times, and its Security Service Module state is `%s`. Rejoin will be attempted after %d minutes.

**说明**：从属设备上的SSM运行状况检查失败，主设备要求从属设备退出并尝试重新加入。

**建议的操作**：无。

#### 错误消息：747038
**错误消息**：%ASA-3-747038: Asking slave unit `%s` to quit due to Security Service Module health check failure %d times, and its Security Service Card Module is `%s`. Clustering must be manually enabled on this unit to rejoin.

**说明**：从属设备上的SSM运行状况检查失败，主设备要求从属设备退出并尝试重新加入。

**建议的操作**：手动重新加入该设备。

#### 错误消息：747039
**错误消息**：%ASA-3-747039: Unit `%s` is quitting due to system failure for %d time(s) (last failure is `%s` [cluster system failure reason]). Rejoin will be attempted after %d minutes.

**说明**：集群系统失败，并且该设备自行踢出并尝试重新加入。

**建议的操作**：无需执行任何操作。

#### 错误消息：747040
**错误消息**：%ASA-3-747040: Unit `%s` is quitting due to system failure for %d time(s) (last failure is `%s` [cluster system failure reason]). Clustering must be manually enabled on the unit to rejoin.

**说明**：集群系统失败，并且该设备自行踢出且没有尝试重新加入。

**建议的操作**：手动重新加入该设备。

#### 错误消息：747041
**错误消息**：%ASA-3-747041: Master unit `%s` is quitting due to interface health check failure on `%s` [interface name], %d times. Clustering must be manually enabled on the unit to rejoin.

**说明**：主设备上的接口运行状况检查失败，主设备自行踢出并尝试重新加入。

**建议的操作**：手动重新加入该设备。

#### 错误消息：748001
**错误消息**：%ASA-5-748001: Module `slot_number` in chassis `chassis_number` is leaving the cluster due to a chassis configuration change.

**说明**：在MIO中更改了集群控制链路、从MIO中删除了集群组，或者在MIO配置中删除了板卡模块。

- **`slot_number`**：机箱内的板卡插槽ID。
- **`chassis_number`**：机箱ID（对于每个机箱是唯一的）。

**建议的操作**：无需执行任何操作。

#### 错误消息：748002
**错误消息**：%ASA-4-748002: Clustering configuration on the chassis is missing or incomplete; clustering is disabled.

**说明**：MIO中缺少配置或配置不完整（例如，未配置集群组或集群控制链路）。

- **`slot_number`**：机箱内的板卡插槽ID。
- **`chassis_number`**：机箱ID（对于每个机箱是唯一的）。

**建议的操作**：转到MIO控制台并配置集群服务类型，将模块添加到服务类型，并相应地定义集群控制链路。

#### 错误消息：748003
