用户在管理agent、字典、仪表盘等资源时，通常需要与第三方CMDB的信息对接。当信息量达到数百上千条时，以列表形式展示这些记录变得难以管理。为了方便展示和管理，日志易引入了组织结构标签的概念。

### 组织标签概述
组织标签是一种类似文件夹路径的目录结构，用于组织和管理日志易中的各种资源及agent分组。每一层组织目录可以包含多个资源、agent分组以及下一级组织目录，日志易最多支持4个层级的组织目录。更多关于组织标签的内容，请参阅《日志易使用手册》中的“资源管理”章节。

### 为agent分组添加组织标签
要为agent分组添加组织标签，请先访问agent分组列表页面。点击右上角的"更多"按钮后选择"分组设置"，即可进入agent分组管理界面进行相应操作。
- 在新建或编辑agent分组时，可以选择设置组织标签（如图所示）。若未设置，默认情况下新的agent分组将直接显示在顶级组织目录中。
- 您可以通过手动输入`org...`格式来创建新标签，或者从下拉菜单中选取已存在的系统标签。请注意，每个agent分组只能关联一个组织标签。

### 修改agent分组的组织标签
一旦agent分组创建完成，修改其组织标签有两种方法：
1. 类似于新建过程，在agent分组管理页面左侧的组织目录树中找到目标分组，然后在右侧编辑面板内更新相关信息。
2. 或者直接通过拖拽方式，在左侧目录树中将特定的agent分组移动至所需的组织目录下，这样便自动完成了标签更改。

### 其他管理功能
- **快捷操作**：当鼠标悬停于agent分组上方时，右键单击可执行包括编辑、跳转、删除、配置采集规则以及添加/移除收藏在内的多种任务；同样地，左键选中某个分组也能实现上述大部分功能。
- **快速搜索**：利用位于左侧目录树顶部的搜索框，输入关键词即能迅速定位到相关联的agent分组，并且该分组所在的整个路径会被展开并高亮显示。
- **收藏功能**：对于已加入个人收藏夹的agent分组，在主列表视图中切换至"我的收藏"选项卡即可快速浏览所有被标记项，但此模式下不会显示完整的层次结构。
