# G0088: TEMP.Veles
## Description
[TEMP.Veles](https://attack.mitre.org/groups/G0088) is a Russia-based threat group known for targeting critical infrastructure. The group has been observed using the TRITON malware framework, which is designed to manipulate industrial safety systems. (Citations: [FireEye TRITON 2019](https://attack.mitre.org/groups/G0088), [FireEye TEMP.Veles 2018](https://attack.mitre.org/groups/G0088), [FireEye TEMP.Veles JSON April 2019](https://attack.mitre.org/groups/G0088))

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Indicator Removal from Tools](https://attack.mitre.org/techniques/T1066/) | TEMP.Veles has modified files based on the open-source project cryptcat to reduce antivirus detection rates. | Process use of network, Process monitoring, Process command-line parameters, Anti-virus, Binary file metadata |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/) | [PowerShell](https://attack.mitre.org/techniques/T1086/) | TEMP.Veles has used the publicly-available PowerShell-based tool, WMImplant, and PowerShell for timestomping. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/) | [Commonly Used Port](https://attack.mitre.org/techniques/T1043/) | TEMP.Veles has used port 443 for C2 communication. | Packet capture, Netflow/Enclave netflow, Process use of network, Process monitoring |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/) | [Uncommonly Used Port](https://attack.mitre.org/techniques/T1065/) | TEMP.Veles has used ports 4444, 8531, and 50501 for C2 communication. | Netflow/Enclave netflow, Process use of network, Process monitoring |
| Linux, Windows, macOS | [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [Web Shell](https://attack.mitre.org/techniques/T1100/) | TEMP.Veles has planted web shells on Outlook Exchange servers. | Anti-virus, Authentication logs, File monitoring, Netflow/Enclave netflow, Process monitoring |
| Windows | [Persistence](https://attack.mitre.org/tactics/persistence/), [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [External Remote Services](https://attack.mitre.org/techniques/T1133/) | TEMP.Veles has used a VPN to maintain persistence in the victim environment. | Authentication logs |
| Windows | [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/) | [Remote Desktop Protocol](https://attack.mitre.org/techniques/T1076/) | TEMP.Veles has utilized RDP throughout their operations. | Authentication logs, Netflow/Enclave netflow, Process monitoring |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/), [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Valid Accounts](https://attack.mitre.org/techniques/T1078/) | TEMP.Veles has used compromised VPN accounts. | AWS CloudTrail logs, Stackdriver logs, Authentication logs, Process monitoring |
| Linux, macOS, Windows | [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/) | [Remote Services](https://attack.mitre.org/techniques/T1021/) | TEMP.Veles has relied on encrypted SSH-based tunnels for transferring tools and executing remote commands. | Authentication logs |
| Linux, macOS, Windows, AWS, GCP, Azure | [Collection](https://attack.mitre.org/tactics/collection/) | [Data Staged](https://attack.mitre.org/techniques/T1074/) | TEMP.Veles has created staging folders in infrequently used directories. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [File Deletion](https://attack.mitre.org/techniques/T1107/) | TEMP.Veles routinely deletes tools, logs, and other files after use. | File monitoring, Process command-line parameters, Binary file metadata |
| Linux, Windows, macOS | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Timestomp](https://attack.mitre.org/techniques/T1099/) | TEMP.Veles uses timestomping to modify the $STANDARD_INFORMATION attribute on tools. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/), [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [Scheduled Task](https://attack.mitre.org/techniques/T1053/) | TEMP.Veles has used scheduled task XML triggers. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
