 DRNI_SYSEVENT_MAC_CHANGE,System MAC address changed from [STRING] to   [STRING].,$1：旧的系统MAC   $2：新的系统MAC,6,DRNI/6/DRNI_SYSEVENT_MAC_CHANGE: System MAC   address changed from 1-1-1 to 2-2-2.,分布式聚合系统MAC变化，触发该日志的原因为用户设置,无
 DRNI_SYSEVENT_NUMBER_CHANGE,System number changed from [UINT16] to [UINT16].,$1：旧的系统编号   $2：新的系统编号,6,DRNI/6/DRNI_SYSEVENT_NUMBER_CHANGE: System   number changed from 1 to 2.,分布式聚合系统编号变化，触发该日志的原因为用户设置,无
 DRNI_SYSEVENT_PRIORITY_CHANGE,System priority changed from [UINT16] to [UINT16].,$1：旧的系统优先级   $2：新的系统优先级,6,DRNI/6/DRNI_SYSEVENT_PRIORITY_CHANGE: System   priority changed from 123 to 564.,分布式聚合系统优先级改变，触发该日志的原因为用户设置,无
 DrvStack_FAILTURE,"The port [STRING] has been changed to inactive status, please   check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   The port   Ten1/0/39 has been changed to inactive status, please check.",Active状态下的IRF物理端口收到了Request报文，状态切换为Inactive,请检查端口状态
 DrvStack_FAILTURE,"The port [STRING] has been changed to active status, please check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   The port   Ten1/0/39 has been changed to active status, please check.",Inactive状态的IRF物理端口收到对端发送的检测恢复（Recover）报文，状态切换为Active,故障端口已自动恢复，不需要处理
 DrvStack_FAILTURE,"The port [STRING] does not support the Enhance HigMode, please   check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   The port   Ten1/0/39 does not support the Enhance HigMode, please check.",IRF物理端口不支持工作在增强模式（port group interface mode enhanced）,配置IRF物理端口工作在非增强模式
 DrvStack_FAILTURE,"The port [STRING] can't receive irf pkt and has been changed to   inactive status, please check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   The port   Ten1/0/39 can't receive irf pkt and has been changed to inactive status,   please check.",IRF物理端口无法收到IRF探测报文（没有stm报文统计计数），状态切换为Inactive   需要注意的是，对于IRF端口绑定的最后一个Active状态物理端口，不改变其Active状态，仅做记录,请检查端口状态
 DrvStack_FAILTURE,"The port [STRING] can't receive irf pkt, please check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   The port   Ten1/0/39 can't receive irf pkt, please check.",IRF物理端口无法收到IRF探测报文（没有stm报文统计计数）。但此端口为IRF端口绑定的最后一个Active状态物理端口，因此不改变其Active状态，仅做记录,请检查端口状态
 DrvStack_FAILTURE,"Port [STRING] Connect fail, Reason: LooPBack, please check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   Port   Ten1/0/39 Connect fail, Reason: LooPBack, please check.",端口收到自己发出的IRF协议报文，请检查,由于物理连接错误或对端配置错误，IRF物理端口出现环路，请检查物理链接或对端配置
 DrvStack_FAILTURE,"Port [STRING] Connect fail, Reason: MemberID is ths same, please   check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   Port   Ten1/0/39 Connect fail, Reason: MemberID is ths same, please check.",链路两端成员设备的IRF成员编号相同，请检查,IRF中的每台设备应配置不同的成员编号，请检查成员编号配置，确保每台成员设备编号唯一
 DrvStack_FAILTURE,"Port [STRING] Connect fail, Reason: Check timeout, please check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   Port   Ten1/0/39 Connect fail, Reason: Check timeout, please check.",IRF物理端口检测到连接错误，原因可能为：   ·对端非IRF物理端口   ·链路状态不是UP,请检查IRF物理端口两端配置是否正确，物理链路连接是否正确
 DrvStack_FAILTURE,"Port [STRING] Connect fail, Reason: Fiber Connect Error, please   check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   Port   Ten1/0/39 Connect fail, Reason: Fiber Connect Error, please check.",端口光纤连接错误，本端从端口A发出报文，但没有在端口A的收接口收到回复报文，而在端口B（Ten1/0/39）收到回复报文，请检查,请检查光纤连接
 DrvStack_FAILTURE,"Port [STRING] Connect fail, Reason: Topo Invalid, please check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   Port   Ten1/0/39 Connect fail, Reason: Topo Invalid, please check.",IRF拓扑异常，无法建立IRF，请检查   此日志表示本端和直连对端成员编号、IRF端口连接正确，但IRF中存在其它拓扑错误。典型情况例如：IRF1的连接关系为2-3，IRF2的连接关系为4-2（这里用成员编号表示设备），在成员编号为3的设备和成员编号为4的设备间建立IRF连接后，在成员编号为3和4的设备上会上报此日志信息，因为合并后的IRF中会出现两个编号为2的成员设备,请检查IRF中是否有重复的成员编号，确保每台成员设备编号唯一
 DrvStack_FAILTURE,"Port [STRING] Connect fail, Reason: Peer Notify, please check.",$1：IRF物理端口名称简称,4,"DRVPLAT/4/DrvDebug:   Port   Ten2/0/39 Connect fail, Reason: Peer Notify, please check.",对端设备上报IRF拓扑异常，请检查,请在对端设备上查看IRF拓扑异常日志信息，根据日志信息进行处理
 DrvStack_FAILTURE,Rx/Tx failure detected between the CPU and switching chip on slot [UINT32].,$1：IRF成员设备编号,4,DRVPLAT/4/DrvDebug:   Rx/Tx   failure detected between the CPU and switching chip on slot 1.,检测到成员设备CPU口丢包,检查设备是否繁忙，或者是否存在PCIE口故障。如果是由于设备繁忙导致，可以自动恢复。如果是由于PCIE口故障导致，请重启设备尝试恢复，如果仍不能解决，则需要更换设备
 Dev_FAILTURE,The subcard in slot [INT32] subslot   [INT32] was not supported.,$1：设备在IRF中的成员编号   $2：子卡所在的子槽位号,3,DEV/3/SUBCARD_INSERTED:   The subcard in slot 1 subslot 3 was not   supported.,用户插入的子卡为设备不支持的型号,核对子卡型号，更换成设备支持的子卡
 Dev_FAILTURE,"Slot [INT32],unit [INT32] [STRING] entry [INT32]   parity error.",$1：设备在IRF中的成员编号   $2：设备芯片的编号   $3：表项名称   $4：发生错误的表项索引,4,"DRVPLAT/4/DrvDebug:   Slot 1,unit 0 FP_UDF_TCAM entry 284   parity error.",设备转发芯片上表项发生奇偶校验错误,查看设备日志中是否存在相同表项和索引的恢复日志   ·存在：该表项奇偶校验错误已被修复，无需处理   ·不存在：查看与该表项相关的转发服务是否正常
 Dev_FAILTURE,"Slot [INT32],unit [INT32] [STRING] entry [INT32]   parity error. RECOVERED",$1：设备在IRF中的成员编号   $2：设备芯片的编号   $3：表项名称   $4：发生错误的表项索引,4,"DRVPLAT/4/DrvDebug:   Slot 1,unit 0 FP_UDF_TCAM entry 284   parity error. RECOVERED",设备转发芯片上表项奇偶校验错误已修复,无需处理
 Dev_FAILTURE,Slot [INT32] Chip [INT32] occurs [INT32]   parity/ecc errors in [INT32] seconds.,$1：设备在IRF中的成员编号   $2：设备芯片的编号   $3：发生奇偶校验错误的次数   $4：奇偶校验日志发送周期,4,DRVPLAT/4/DrvDebug:   Slot 2 Chip 0 occurs 1 parity/ecc errors   in 10 seconds.,设备在日志发送周期内发生奇偶校验错误的次数大于配置的告警门限,请排查设备收到的parity error相关的日志   ·若已全部修复，则无需处理   ·若存在未修复日志且设备仍在打印该日志，请重启设备，如仍无法解决请联系H3C用服人员处理
 EDEV_ALARM_IN_REMOVED,Alarm removed in alarm-in port on   [STRING].,$1：表示设备，取值为the device（集中式设备）   $1：表示设备在IRF中的成员编号，取值为slot xx（集中式IRF设备）,5,EDEV/5/EDEV_ALARM_IN_REMOVED: Alarm   removed on the alarm-in port on slot 1.（集中式IRF设备）,某个告警输入接口的告警信号已解除，恢复到正常状态,无
 EDEV_ALARM_IN_REPORTEDOCCURRED,Alarm reported on the alarm-in port on   [STRING].,$1：表示设备，取值为the device（集中式设备）   $1：表示设备在IRF中的成员编号，取值为slot xx（集中式IRF设备）,5,EDEV/5/EDEV_ALARM_IN_REPORTEDOCCURRED: Alarm   reported on the alarm-in port on slot 1.（集中式IRF设备）,某个告警输入接口收到告警信号,检查和告警输入接口相连的设备，确认该邻居设备是否发生异常
