# 启明星辰ADLab
## 智能语音设备安全研究
### 演讲人：王启泽
### 2019年

---

### 目录
1. 背景
2. 网络安全
3. 语音及内容安全
4. 隐私审计

---

### 1. 背景
#### 语音正成为人与设备交互的方式
- **语音信息丰富**：
  - 性别、年龄
  - 环境、健康状况
  - 想法、情绪
  - 籍贯

#### 我们的研究对象
- **关注点**：安全及隐私

---

### 2. 网络安全
#### 音箱网络架构
- **云平台**
- **客户端**
- **智能音箱**
  - **通信协议**：HTTPS/MQTTS, DLNA/蓝牙, 自定义协议

#### 云平台的特权命令
- 打开远程shell
- 更换语音云服务地址
- System(*)

#### 智能音箱攻击演示
- **伪造特权命令**
- **设备间通信**：
  - 多个音箱协商响应用户命令
  - 攻击者通过伪造广播干扰决策

#### 漏洞列表
- **CNVD-2019-13611, CNVD-2019-06254**：远程命令执行、远程代码执行
- **CNVD-2019-07688, CNVD-2019-15526**：播放恶意音频
- **CNVD-2019-12111, CNVD-2019-13278**：敏感信息泄露
- **CNVD-2019-12775**：语音窃听

---

### 3. 语音及内容安全
#### 语音安全
- **语音唤醒/声纹识别**
- **声音传播**
- **语音识别/语义理解**

#### 超声波攻击
- **超声波**：20kHz以上
- **次声波**：20Hz以下
- **人耳可听声**：20Hz至20kHz

#### 超声波攻击演示
- **笔记本电脑喇叭性能提升**：无需额外硬件即可发出超声波信号
- **新型智能手机问题**：基于韵母的攻击

#### 语音识别攻击
- **汉字发音**：声母和韵母
- **韵母特征**：元音或元音加辅音
- **唤醒词算法**：主要根据元音判断

#### 声纹识别
- **常见攻击方法**：
  - 拼接合成攻击
  - 样本攻击
  - 持续语速变化攻击
  - 端到端攻击
  - 录音攻击

#### 内容安全
- **获取应答内容**：文字转语音
- **播放**：语义识别
- **敏感词**：中英文敏感词

---

### 4. 隐私审计
#### 隐私权
- **用户权利**：
  - 决定哪些个人信息可以被收集
  - 了解数据收集方式、共享对象及目的

#### 语音设备使用场景的隐私泄露
- **设备注册阶段**：
  - 地理位置
  - 周边WiFi信息
  - 路由器MAC地址
  - WiFi密码
  - 已安装应用情况
  - 短/彩信

- **设备使用阶段**：
  - 音频信息
  - 通信录
  - 设备使用情况
  - 业务使用情况
  - 日志
  - 音视频信息

#### 常见的隐私风险
- **误唤醒**：泄漏通话内容
- **APP权限**：泄漏通信录等敏感信息
- **日志收集**：泄漏WiFi密码等信息
- **API接口**：合作厂家获得非业务需要的敏感信息
- **明文通信**：泄漏用户账户及密码等信息

#### 总结
- **物联网通信场景增多**
- **声纹识别算法不成熟**
- **公众对隐私关注度提高**
- **需关注设备间认证安全**
- **需加强设备及数据隐私保护**

---

### 感谢
- ADLab小伙伴
- KCon组委会
- 谢谢观看

### 演讲人：王启泽
### Email: [PI:EMAIL]
