### 前期准备：制度、人员和技术保障

前期准备主要包括三个关键方面：制度、人员和技术。这三个方面可以进一步细分为“5P”模型，具体内容如下：

#### 制度方面
1. **制定漏洞管理办法和操作指引**：
   - 制定详细的漏洞管理办法及相关操作指引文件。
   - 通过合同或服务协议明确各方职责义务，规范服务流程。
   - 强化人员审核和管理，防范安全风险。

2. **服务商责任界定**：
   - 在合同中明确规定网络产品提供商的安全责任，包括对所提供产品的安全风险、应急响应和安全事件处置的责任、响应时间和应急处置要求等。

#### 人员方面
- **角色与职责**：
  - 明确漏洞管理过程中的各个角色及其职责。
  - 建立考核和奖惩机制，确保相关人员能够有效执行任务。
  - 制定应急预案，以应对可能出现的各类安全事件。

#### 技术层面
- **漏洞管理平台**：
  - 慎重选择漏洞管理平台，确保其使用便捷，有利于漏洞跟踪和提升修复效率。
  - 考察平台的自定义流程能力、通知能力、报表分析能力、自动化验证能力、漏洞修复知识库、漏洞情报能力和自动化的漏洞风险分级能力。

- **扫描验证工具**：
  - 使用高效的扫描验证工具，确保漏洞发现的准确性和及时性。

- **资产管理支撑系统**：
  - 完善资产信息，扩大扫描测试范围，确保资产信息的完整性和准确性。

### 漏洞管理流程

#### （一）漏洞发现
1. **资产纳管**：
   - 完善资产信息，确保覆盖所有类型的资产（如哑终端、公共终端、移动终端、小程序、公众号、APP、云服务、API 等）。
   - 通过HIDS代理等方式丰富内部细节，定期与主动扫描或流量检测结果进行比对，查缺补漏。

2. **发现渠道**：
   - 多样化的漏洞发现方式，包括上线检测、上线后日常扫描、安全众测、渗透测试、红蓝对抗和其他专项测试。
   - 及时获取标准化产品或组件的漏洞情报信息，来源包括国家信息安全漏洞库（CNNVD）、安全服务厂商、行业监管机构和公安机关等。

#### （二）漏洞研判
- **快速定位和评估**：
  - 快速识别并评估漏洞的危害程度和紧迫程度，决定修复顺序、修复方式和修复时限。
  - 明确定级标准，结合漏洞本身和资产情况对漏洞风险进行综合评价。
  - 根据实际情况调整漏洞风险级别，考虑因素包括漏洞防范情况和外部环境因素。

#### （三）漏洞修复
- **高效流转**：
  - 通过工单系统高效流转漏洞修复任务，自动关联修复责任人，并持续跟进。
  - 建立延期修复机制，对于特殊情况下的延期申请，设置不同的审批程序和延期期限要求。

- **风险控制方案**：
  - 制定全面的风险控制方案，包括修复方案和漏洞防范措施。
  - 对于高危及以上漏洞，采取有效的风险防范措施，如排查、监控和阻断漏洞利用，限制漏洞利用等。

通过以上步骤，可以确保漏洞管理工作的系统化、规范化和高效化，从而有效减少漏洞带来的风险。
