为了使这段文本更加清晰、连贯和专业，我将对其进行重新排版，并对内容进行适当调整。以下是优化后的版本：

---

### 参考文献
- [CGT12]
- [IKN+17]

### 选举威胁日志
- **州内选民**
- **州际选民**

#### 威胁日志参数
- **N = 2**
- **N = 4**
- **N = 8**

### 性能数据

| N | LAN 时间 (秒) | WAN 时间 (秒) | n | 总通信量 (MB) |
|---|---------------|---------------|---|----------------|
| 28 | 0.02 | 0.2 | 2.9 | 0.02 |
| 28 | 2.0 | 0.01 | *0.1 | - |
| 28 | 1.0 | 0.03 | 7.0 | 0.01 |
| 28 | 0.01 | 0.02 | 0.05 | 0.10 |
| 212 | 0.03 | 0.2 | 23.4 | 0.03 |
| 212 | 8.0 | 0.02 | 2.2 | - |
| 212 | 16.0 | 0.04 | 115.0 | 0.02 |
| 212 | 0.02 | 0.03 | 0.09 | 0.19 |
| 216 | 0.2 | 0.4 | 374.4 | 0.3 |
| 216 | 128.0 | 0.2 | 9.1 | - |
| 216 | 262.0 | 0.3 | 1,860.0 | 0.2 |
| 216 | 0.3 | 0.2 | 0.9 | 1.7 |
| 220 | 4.9 | 3.8 | *5,990.4 | 9.1 |
| 220 | *2,048.0 | 3.1 | 86.6 | - |
| 220 | 4190.0 | 6.8 | 29,700.0 | 4.7 |
| 220 | 7.0 | 5.1 | 17.9 | 47.1 |
| 224 | 117 | 58 | *95,846 | 192 |
| 224 | *32,768 | 74 | *1385 | - |
| 224 | 67,100 | 158 | 475,000 | 114 |
| 224 | 134 | 121 | 388 | 1,021 |

### 额外性能数据

| N | LAN 时间 (秒) | WAN 时间 (秒) | n | 总通信量 (MB) |
|---|---------------|---------------|---|----------------|
| 28 | 2.3 | 0.6 | - | 2.6 |
| 28 | - | 1.1 | - | - |
| 28 | - | - | - | 3.7 |
| 28 | - | 1.0 | 1.6 | 2.4 |
| 28 | 6.6 | 14.9 | - | - |
| 212 | 2.5 | 0.6 | - | 2.9 |
| 212 | - | 1.1 | 10.0 | 13.0 |
| 212 | - | - | 4.0 | - |
| 212 | - | 1.0 | 1.6 | 2.5 |
| 212 | 6.8 | 15.3 | - | - |
| 216 | 6.4 | 1.3 | - | 6.6 |
| 216 | - | 1.8 | 45.3 | 56.2 |
| 216 | - | - | 7.9 | - |
| 216 | - | 2.2 | 4.0 | 4.8 |
| 216 | 13.1 | 30.0 | - | - |
| 220 | 41.4 | 7.5 | - | 61.4 |
| 220 | - | 15.8 | 389.9 | *899.2 |
| 220 | - | - | 51.0 | - |
| 220 | - | 27.1 | 45.4 | 34.6 |
| 220 | 108.7 | 264.3 | - | - |
| 224 | 902 | 106 | - | 1,337 |
| 224 | - | 267 | *6,238 | *14,387 |
| 224 | - | - | 1,099 | - |
| 224 | - | 456 | 747 | 585 |
| 224 | 1,739 | 4,228 | - | - |

### 更多性能数据

| N | LAN 时间 (秒) | WAN 时间 (秒) | n | 总通信量 (MB) |
|---|---------------|---------------|---|----------------|
| 28 | 0.2 | 0.04 | - | 0.3 |
| 28 | - | 0.1 | - | - |
| 28 | - | - | 0.1 | 0.3 |
| 28 | - | 0.1 | 0.2 | 0.4 |
| 28 | 0.2 | 0.6 | 1.4 | - |
| 212 | 3.0 | 0.5 | - | 4.9 |
| 212 | - | 2.0 | 52.7 | 14.3 |
| 212 | - | 0.4 | 2.0 | 1.9 |
| 212 | - | 3.4 | 5.7 | 3.1 |
| 212 | 9.7 | 22.8 | - | - |
| 216 | 48.1 | 8.1 | - | 78.1 |
| 216 | - | 32.6 | 826.1 | 171.3 |
| 216 | - | 6.2 | 33.1 | 30.2 |
| 216 | - | 54.1 | 91.3 | 50.2 |
| 216 | 155.4 | 365.7 | - | - |
| 220 | 769.4 | 127.2 | - | 1,249.4 |
| 220 | - | 521.5 | 9,971.4 | *2,740.8 |
| 220 | - | 99.0 | 526.5 | 483.0 |
| 220 | - | 867.1 | 1,463.9 | 804.2 |
| 220 | 2,487.8 | 5,854.9 | - | - |
| 224 | 12,318 | 1,955 | - | - |

---

通过这种结构化的方式，可以更清楚地展示数据和信息，便于读者理解和分析。
