# APP合规开发指南

##### 译文声明
本文为翻译文章，仅供参考。具体内容及含义以原文为准。

根据工业和信息化部发布的《APP侵害用户权益专项整治》（337号函）和《纵深推进APP侵害用户权益专项整治行动》（164号函）的相关要求，本文将详细介绍在APP开发过程中技术层面的合规注意事项。

## 一、违规收集个人信息、违规使用个人信息

### 问题类型
- **违规收集个人信息**：APP或SDK未告知用户收集个人信息的目的、方式和范围，并且未经用户同意，私自收集用户个人信息。
- **违规使用个人信息**：APP或SDK未向用户告知且未经用户同意，私自使用个人信息，将其用于提供服务之外的目的，特别是私自向其他应用或服务器发送、共享用户个人信息。

### 个人信息定义
根据《个人信息安全规范》和《移动互联网应用程序(App)收集个人信息基本要求》，个人信息是指“以电子或其他方式能够单独或与其他信息结合识别特定自然人身份或反映特定自然人活动情况的各种信息。”除了常见的姓名、出生日期、身份证号码、生物特征信息、通讯录、本机号码等个人信息外，APP开发中还会涉及各种设备信息，因其不可变更的唯一性或追踪属性，同样也在个人信息范畴内。

#### 设备信息
- **Android系统**：IMEI、MAC地址、MEID、IMSI、SN、ICCID等设备唯一标识符，Android ID、WiFi（WiFi名称、WiFi MAC地址以及设备扫描到的所有WiFi信息），SIM卡信息（IMSI、SIM卡序列号ICCID、手机号、运营商信息），应用安装列表（设备所有已安装应用的包名和应用名），传感器（传感器列表、加速度传感器、温度传感器等），蓝牙信息（设备蓝牙地址和设备扫描到的蓝牙设备信息），基站定位、GPS（用户地理位置信息），账户（各类应用注册的不同账号信息）、剪切板、IP地址、硬件序列号、SDCard信息（公有目录）等。
- **iOS系统**：IDFA，IDFV，WiFi（bssid, ssid），GPS，运营商，传感器（加速器、陀螺仪、磁力器）、IP地址等。特别注意，苹果上架时会检测是否调用TrueDepth APIs（面部追踪）。

### 合规建议
1. **用户同意隐私政策前不应收集任何个人信息**：
   - 在用户同意《隐私政策》弹窗前不进行调用。
   - 如果用户不同意《隐私政策》弹窗进入APP时不进行调用（访客态或停留在APP内）。

2. **详细声明收集信息**：
   - 在《隐私政策》中详细说明APP和引入的SDK收集的个人信息，包括设备信息。
   - 对于无使用需求的SDK不应接入（注意，若使用海外SDK则涉及跨境传输问题）。

3. **接入最新版本SDK**：
   - 结合官方合规接入指南，不要在未同意隐私政策前初始化收集信息。
   - SDK无合理必要功能不能超范围收集信息，如非定位型SDK默认收集位置信息等。
   - 例如，某PUSH SDK旧版本存在漏洞，导致攻击者可以窃取用户隐私信息，应及时更新到最新版。

## 二、超范围收集个人信息

### 问题类型
- **超范围收集个人信息**：APP或SDK非服务所必需或无合理应用场景，特别是在静默状态下或在后台运行时，超范围收集个人信息的行为。

### 合规建议
1. **非必要功能后台及静默运行时不收集信息**：
   - 不要设计轮询机制（如一些定位SDK设置固定n分钟收集信息）。
   - 例如，每隔一分钟请求一次位置更新是不合规的。

2. **收集频率控制**：
   - 尽可能保证全局只收集1次（最多不超过3次），收集频次不要超过1次/秒。
   - 非必要情况下，禁止每使用一次用户信息就调用API获取一次用户个人信息。
   - 建议通过缓存技术将收集的用户信息储存在缓存中，当需要使用用户信息时从缓存中调用。
   - 例如，将Android ID保存到缓存中，从缓存中读取。

3. **默认不调用全量应用列表**：
   - 不要通过shell命令获取全量应用列表。
   - 调用应用列表相关方法包括但不限于：`getInstalledApplications`、`getInstalledApplicationsAsUser`、`getInstalledPackages`、`getInstalledPackagesAsUser`、`queryIntentActivitiesAsUser`（此方法可以输出包名，如果输出了手机已安装应用的全部包名就属于全量）。

4. **注册流程中不应强制申请权限**：
   - 因用户拒绝授权而影响注册登录，会被认定为过度索权。
   - 注册必要信息建议参考网信《常见类型移动互联网应用程序必要个人信息范围规定》。

5. **按Home键退出APP后**：
   - 在后台静默状态下，APP或SDK不能有收集行为。

## 三、APP强制、频繁、过度索取权限

### 合规建议
1. **调用时机**：
   - 遵循场景化授权，即在服务所必要的场景中，用户主动触发功能后申请，在用户主动触发前不应有相关调用行为。

2. **权限声明**：
   - 不需要的权限不应在Android的`manifest.xml`文件或iOS的`info.plist`中声明。
   - Android系统中`targetSDKVersion`应不低于23。

3. **敏感权限**：
   - **通讯录、定位、相册（存储）、相机、麦克风等**：Android端申请时用顶栏浮窗等形式同步告知目的，iOS端可直接编辑系统弹窗。
   - 例如，Android端顶栏浮窗代码实现示例。

4. **用户授权处理**：
   - APP运行时场景化向用户申请授权，用户拒绝授权后，APP不应退出、关闭、循环弹窗申请权限使用户无法继续使用或者影响正常注册或登录。
   - 例如，用户拒绝授权APP退出或关闭；用户拒绝授权重复向用户申请权限，使用户陷入弹窗循环。

5. **电话权限**：
   - `READ_PHONE_STATE`权限属于Android系统权限，APP可通过此权限获取设备IMSI（国际移动用户识别码）、IMEI（国际移动设备识别码）等设备唯一标识信息，建议不做申请。
   - 不可变更的唯一设备标识（IMEI、MAC地址、MEID、IMSI、SN、ICCID），建议采用可变标识（AndroidID、OAID等）代替。
   - 例如，收集不可变更的唯一设备标识是不合规的。

6. **存储权限**：
   - 安卓申请存储权限可用`mediastore`或SAF框架实现，iOS可用进程外选取器或共享列表替代申请photos权限，不能频繁提示用户更改授权方式。

7. **特殊敏感权限**：
   - 如设备管理器、辅助功能、监听通知栏、悬浮窗等，需APP内弹窗，用户单独同意授权后才能使用。

通过以上合规建议，可以帮助开发者在APP开发过程中更好地遵守相关法律法规，保护用户隐私，提升用户体验。
