# 反欺诈类产品调研

## 天御金融反欺诈
### 概览
- **提供商**：知道创宇
- **官网**：[https://www.yunaq.com/product/jrfqz](https://www.yunaq.com/product/jrfqz)
- **API文档**：[https://www.yunaq.com/help/category?id=5f48c4633255140011afe04e](https://www.yunaq.com/help/category?id=5f48c4633255140011afe04e)

天御金融反欺诈通过人工智能和机器学习技术，精准识别恶意用户与行为，解决客户在支付、借贷、风控等业务环节遇到的欺诈威胁，从而提升风险识别能力并降低企业损失。

### 功能盘点
- **海量知识图谱**
  - 用于发现有组织的团伙欺诈行为。
- **高效响应**
  - 黑产情报收集雷达7*24小时工作。
- **多维度风险识别**
  - 识别不同类型（如信贷中介、不法分子、羊毛党、恶意欺诈、失信者）的欺诈风险。
- **资深风控团队**
- **超强AI计算**
  - 应用机器学习和人工智能于欺诈风险识别中，构建特征引擎，并迭代更新黑产知识图谱，以有效识别各类欺诈风险。
- **超高查得率**
  - 覆盖亿级别的黑产库，涵盖手机、设备、IP等多个维度字段。

### 核心功能分析
该产品主要亮点在于其基于ZoomEye网络空间测绘数据，实现了较高的设备覆盖率。此外，在知识图谱的应用方面较为突出，尤其擅长团伙欺诈的检测。

### 技术分析
- 知识图谱应用于团伙发现
- 机器学习技术的应用及特征引擎构建
- 基于网络空间测绘数据提高覆盖率

## 永安在线
### 概览
- **官网**：[https://www.yazx.com/](https://www.yazx.com/)
- **风险IP画像**：[https://www.yazx.com/RiskIP.html](https://www.yazx.com/RiskIP.html)
- **手机号风险画像**：[https://www.yazx.com/RiskPhoneNumber.html](https://www.yazx.com/RiskPhoneNumber.html)

### 功能盘点
- **手机号风险画像**
  - 精准识别黑产手机号，准确度达99.5%。
  - 提供风险号码的历史作恶行为和时间。
  - 专属“拦截卡”风险感知，提供更多种类的黑卡类别。
  - 定期对存量数据进行盘点与再评估。
- **风险IP画像**
  - 实时判定IP状态，采用打分机制量化风险值，精准识别恶意动态IP。
  - 识别利用秒拨等工具伪装成正常用户IP的黑产资源。
  - 易用性：去除复杂字段说明，量化风险值并实时更新。
  - 适用性：所有数据均可忽略场景不匹配问题。

### 核心功能分析
永安在线的产品在易用性和可量化性上表现出色，并结合了多年的反欺诈经验。尽管介绍的技术点不多，但其核心优势在于情报数据的实用性和准确性。

### 技术分析
- 使用风险标签
- 结合历史风险信息
- 独家“拦截卡”手机黑卡类别

## 腾讯防水墙
### 概览
- **黑产情报**：[https://007.qq.com/before-insight.html?ADTAG=index.head](https://007.qq.com/before-insight.html?ADTAG=index.head)
- **金融反欺诈**：[https://007.qq.com/finance-anti-fraud.html?ADTAG=aqpg.head](https://007.qq.com/finance-anti-fraud.html?ADTAG=aqpg.head)

### 功能盘点
- **黑产意图情报**
- **产业链情报**
- **团伙情报**
- **资源情报**
- **获利情报**

- **海量安全数据**
  - 整合腾讯安全场景数据，形成庞大的知识图谱体系，有效识别异常行为。
- **黑标签库**
  - 基于十年社交行为数据，沉淀上千种黑标签画像。
- **团伙欺诈识别**
  - 对不同用户账号、手机号、设备、实名信息、网络IP等属性进行图挖掘和关联性分析。

### 核心功能分析
- 基于海量数据的知识图谱构建、图挖掘和关联性分析，以识别异常行为和发掘团伙信息。
- 围绕情报的六个W（When, Where, Who, What, Why, How）进行布局。
- 基于腾讯多年积累的社交行为数据，在团伙发现和黑用户标签库上有显著优势。

### 技术分析
- **机器学习聚合情报**
  - 从安全大数据黑用户库、TSRC白帽子线索、暗网挖掘、黑产活动指标等海量数据中提取关键情报。
- **安全专家定位威胁**
  - 安全专家根据风险挖掘引擎发现的蛛丝马迹，高效准确地定位威胁根源。
- **情报网络评估影响**
  - 构建一个准确可靠的情报网络，根据黑产活动的频率和强度推断威胁的影响范围和规模。

## 数美科技
- **数美黑产研究院官网**：[https://www.ishumei.com/research/research.html](https://www.ishumei.com/research/research.html)
- **研究成果**：![image-20210309102209952](https://image-host-toky.oss-cn-shanghai.aliyuncs.com/image-20210309102209952.png)

## 总结
综合三家的黑产情报和反欺诈类产品，目前这些产品主要处于标签数据输出阶段，但也都在团伙发现和关联性分析方面进行了深入研究。有趣的是，每家公司都充分利用了自身的优势数据，例如知道创宇的网络空间测绘数据、永安在线的黑产对抗经验和腾讯的社交行为数据。这表明对抗黑产需要充分利用自身的数据优势。

在技术层面，普遍采用了知识图谱构建的方法来进行关联性分析和团伙发现。总体来看，设备覆盖率较高（超过99%），但在黑产产业链的研究方面，只有腾讯防水墙有所提及。
