# G0080: Cobalt Group

## Description
The [Cobalt Group](https://attack.mitre.org/groups/G0080) is a financially motivated threat actor primarily targeting financial institutions. The group has conducted intrusions to steal money by compromising ATM systems, card processing, payment systems, and SWIFT systems. Their primary targets have been banks in Eastern Europe, Central Asia, and Southeast Asia. Despite the arrest of one of its alleged leaders in Spain in early 2018, the group remains active. Cobalt Group has also targeted organizations to gain access and subsequently compromise additional victims. (Citations: Talos Cobalt Group July 2018, PTSecurity Cobalt Group Aug 2017, PTSecurity Cobalt Dec 2016, Group IB Cobalt Aug 2017, Proofpoint Cobalt June 2017, RiskIQ Cobalt Nov 2017, RiskIQ Cobalt Jan 2018). Reports suggest potential links between Cobalt Group and the malware [Carbanak](https://attack.mitre.org/software/S0030) and the group [Carbanak](https://attack.mitre.org/groups/G0008) (Citation: Europol Cobalt Mar 2018).

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows | Defense Evasion, Execution | [Signed Binary Proxy Execution](https://attack.mitre.org/techniques/T1218/) | Cobalt Group used `odbcconf` to proxy the execution of malicious DLL files. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Execution | [Command-Line Interface](https://attack.mitre.org/techniques/T1059/) | Cobalt Group used a JavaScript backdoor capable of launching `cmd.exe` to execute shell commands. | Process monitoring, Process command-line parameters |
| macOS, Windows | Discovery | [Security Software Discovery](https://attack.mitre.org/techniques/T1063/) | Cobalt Group used a JavaScript backdoor to collect a list of security solutions installed on the victim's machine. | File monitoring, Process monitoring, Process command-line parameters |
| macOS, Windows | Lateral Movement, Persistence | [Logon Scripts](https://attack.mitre.org/techniques/T1037/) | Cobalt Group added persistence by registering the file name for the next stage malware under `UserInitMprLogonScript`. | File monitoring, Process monitoring |
| Linux, macOS, Windows | Command and Control, Lateral Movement | [Remote File Copy](https://attack.mitre.org/techniques/T1105/) | Cobalt Group used public sites like GitHub and SendSpace to upload and download files to victim computers. Their JavaScript backdoor can also download files. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Linux, macOS, Windows | Defense Evasion | [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027/) | Cobalt Group obfuscated several scriptlets and code on the victim’s machine using XOR and RC4. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |
| Windows | Defense Evasion, Execution | [CMSTP](https://attack.mitre.org/techniques/T1191/) | Cobalt Group used `cmstp.exe /s /ns C:\Users\ADMINI~W\AppData\Local\Temp\XKNqbpzl.txt` to bypass AppLocker and launch a malicious script. | Process monitoring, Process command-line parameters, Process use of network, Windows event logs |
| Windows | Lateral Movement | [Remote Desktop Protocol](https://attack.mitre.org/techniques/T1076/) | Cobalt Group used Remote Desktop Protocol for lateral movement. | Authentication logs, Netflow/Enclave netflow, Process monitoring |
| Linux, macOS, Windows, AWS, GCP, Azure, Office 365, SaaS, Azure AD | Defense Evasion, Persistence | [Redundant Access](https://attack.mitre.org/techniques/T1108/) | Cobalt Group used TeamViewer to maintain remote access if control via Cobalt Strike was lost. | Office 365 account logs, Azure activity logs, AWS CloudTrail logs, Stackdriver logs, Process monitoring, Process use of network, Packet capture, Network protocol analysis, File monitoring, Authentication logs, Binary file metadata |
| Linux, Windows, macOS | Execution | [User Execution](https://attack.mitre.org/techniques/T1204/) | Cobalt Group sent emails with malicious attachments or links that required users to execute a file or macro to infect the victim machine. | Anti-virus, Process command-line parameters, Process monitoring |
| Linux, Windows, macOS, AWS, GCP, Azure | Discovery | [Network Service Scanning](https://attack.mitre.org/techniques/T1046/) | Cobalt Group used SoftPerfect Network Scanner for network scanning. | Netflow/Enclave netflow, Network protocol analysis, Packet capture, Process command-line parameters, Process use of network |
| Windows | Persistence, Privilege Escalation | [New Service](https://attack.mitre.org/techniques/T1050/) | Cobalt Group created new services to establish persistence. | Windows Registry, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Command and Control | [Standard Application Layer Protocol](https://attack.mitre.org/techniques/T1071/) | Cobalt Group used HTTPS and DNS tunneling for C2, and Plink utility for SSH tunnels. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Windows, macOS, Linux, Office 365, SaaS | Initial Access | [Spearphishing Link](https://attack.mitre.org/techniques/T1192/) | Cobalt Group sent emails with URLs pointing to malicious documents. | Packet capture, Web proxy, Email gateway, Detonation chamber, SSL/TLS inspection, DNS records, Mail server |
