# 金山云安全：一种不同的云安全思路

## 演讲人
- **姓名**：孙明焱（CardMagic）
- **职位**：现任金山网络产品总监，负责金山毒霸相关开发
- **背景**：
  - 前奇虎360云查杀产品负责人
  - 前Trend Micro技术经理
  - 前NEC开发工程师
  - Antirootkit工具DarkSpy的作者（被趋势科技收购）
  - 在各类安全开发领域有丰富的经验，曾负责开发多种云安全产品

## 议程
1. 金山云架构
2. 金山云防御
3. 金山云查杀

### 金山云架构
#### 信息安全问题的源头
- **病毒**
  - 病毒作者及产业链
  - 病毒技术
- **反病毒软件**
  - 反病毒厂商
  - 反病毒技术

#### 云端智能鉴定技术
- **海量样本**
- **样本相关信息**
- **数据挖掘技术**
- **十年病毒技术积累**

#### 常规云安全
- **病毒作者**
- **用户**
- **后台自动系统**
- **特征自动发布**
- **互联网**

#### 黑色产业链解决
1. **为什么了解黑色产业链有助于病毒检测？**
   - 作为直接鉴定器，用于文件和URL的验证
   - 预测病毒传播范围，提前做好准备
   - 通过聚类分析，简化病毒特征提取和验证

2. **金山在黑色产业链方面的积累**
   - 独特的产业链归类系统
   - 自动特征提取系统
   - 专门团队进行监控和维护

#### 普通指纹云与微特征云
- **普通指纹云**
  - 客户端频繁更新导致误报
  - 后台系统扩展成本高
- **微特征云**
  - 减少客户端更新频率
  - 降低后台系统压力

#### 成果展示
- **鹰眼系统**
  - 披露中国大陆十大病毒集团
- **金山云后台**
  - 拥有超过30种鉴定器
  - 每天发布约30万特征
    - 白特征：约25万
    - 黑特征：约5万

### 金山云防御
#### 边界防御
- **定义**
  - 在外部文件进入系统前进行防御
- **必要性**
  - 传统主动防御的不足
  - 病毒执行后行为变化多样

#### 系统防御
- **程序执行**
- **系统防护**

通过这些技术和方法，金山云安全体系能够更有效地应对不断变化的安全威胁，提供更加全面和高效的保护。
