### 文件保存与导出功能

#### 保存文件
- **保存 (Ctrl+S)**
  - 如果您已经保存过文件，此选项将变为灰色不可选。
- **另存为 (Shift+Ctrl+S)**
  - 您可以选择将当前文件保存为另一个文件。这将弹出一个“另存为”对话框（参见第 5.3.1 节 “保存捕获文件为”对话框）。

**注意：**
- 动态捕捉的文件在结束捕捉前不能保存。必须先停止捕捉才能进行保存操作。

#### 文件集合
- **文件集合 > 列表文件**
  - 显示已打开文件的列表。将会弹出一个对话框显示这些文件（参见第 5.5 节 “文件集合”）。
- **文件集合 > 下一个文件**
  - 如果当前加载的文件是文件集合的一部分，该选项将跳转到下一个文件。如果不是，则会跳转到最后一个文件，并且该选项会变为灰色。
- **文件集合 > 上一个文件**
  - 如果当前文件是文件集合的一部分，该选项将跳转到前一个文件。如果不是，则会跳转到文件集合的第一个文件，并且该选项会变为灰色。

#### 导出文件
- **导出 > 作为纯文本文件**
  - 将捕获文件中的所有或部分数据包导出为 ASCII 文本格式。将弹出 Wireshark 导出对话框（参见第 5.6.1 节 “导出为纯文本文件”对话框）。
- **导出 > 作为 PostScript 文件**
  - 将捕获文件的全部或部分导出为 PostScript 格式。将弹出导出对话框（参见第 5.6.2 节 “导出为 PostScript 文件”对话框）。
- **导出 > 作为 CSV 文件**
  - 将捕获文件的全部或部分摘要导出为 CSV 格式（适用于电子表格）。将弹出导出对话框（参见第 5.6.3 节 “导出为 CSV 文件”对话框）。
- **导出 > 作为 PSML 文件**
  - 将捕获文件的全部或部分导出为 PSML 格式的 XML 文件。将弹出导出对话框（参见第 5.6.4 节 “导出为 PSML 文件”对话框）。
- **导出 > 作为 PDML 文件**
  - 将捕获文件的全部或部分导出为 PDML 格式的 XML 文件。将弹出导出对话框（参见第 5.6.5 节 “导出为 PDML 文件”对话框）。
- **导出 > 选定的数据包字节**
  - 将当前在数据包字节面板中选择的字节导出为二进制文件。将弹出导出对话框（参见第 5.6.6 节 “导出选定的数据包字节”对话框）。

#### 打印
- **打印 (Ctrl+P)**
  - 打印捕获文件的全部或部分内容。将弹出打印对话框（参见第 5.7 节 “打印数据包”）。

#### 退出
- **退出 (Ctrl+Q)**
  - 退出 Wireshark。如果未保存文件，Wireshark 会提示是否保存。

### 编辑菜单
Wireshark 的“编辑”菜单包含以下项目：

| 菜单项 | 快捷键 | 描述 |
| --- | --- | --- |
| 复制 > 作为过滤器 | Shift+Ctrl+C | 使用详细信息面板中的选择数据作为显示过滤器。显示过滤器将被复制到剪贴板。 |
| 查找数据包... | Ctrl+F | 打开一个对话框，通过条件查找数据包（参见???）。 |
| 查找下一个 | Ctrl+N | 在使用“查找数据包”后，查找匹配规则的下一个数据包。 |
| 查找上一个 | Ctrl+B | 查找匹配规则的前一个数据包。 |
| 标记数据包（切换） | Ctrl+M | 标记当前选择的数据包（参见第 6.9 节 “标记数据包”）。 |
| 查找下一个标记 | Shift+Ctrl+N | 查找下一个被标记的数据包。 |
| 查找上一个标记 | Ctrl+Shift+B | 查找前一个被标记的数据包。 |
| 标记所有数据包 | 无 | 标记所有数据包。 |
| 取消标记所有数据包 | 无 | 取消所有标记。 |
| 设置时间参考（切换） | Ctrl+T | 以当前数据包时间为参考时间（参见第 6.10.1 节 “数据包参考时间”）。 |
| 查找下一个参考 | 无 | 查找下一个时间参考数据包。 |
| 查找上一个参考 | 无 | 查找前一个时间参考数据包。 |
| 首选项... | Shift+Ctrl+P | 打开首选项对话框，自定义 Wireshark 的各项设置。设置将在每次启动时生效（参见第 9.5 节 “首选项”）。 |

### 视图菜单
Wireshark 的“视图”菜单包含以下项目：

| 菜单项 | 快捷键 | 描述 |
| --- | --- | --- |
| 主工具栏 | 无 | 显示或隐藏主工具栏（参见第 3.13 节 “主工具栏”）。 |
| 过滤工具栏 | 无 | 显示或隐藏过滤工具栏（参见第 3.14 节 “过滤工具栏”）。 |
| 状态栏 | 无 | 显示或隐藏状态栏（参见第 3.18 节 “状态栏”）。 |
| 数据包列表 | 无 | 显示或隐藏数据包列表面板（参见第 3.15 节 “数据包列表面板”）。 |
| 数据包详情 | 无 | 显示或隐藏数据包详情面板（参见第 3.16 节 “数据包详情面板”）。 |
| 数据包字节 | 无 | 显示或隐藏数据包字节面板（参见第 3.17 节 “数据包字节面板”）。 |
| 时间显示格式 > 日期和时间 | 无 | 将时间戳设置为绝对日期-时间格式（年月日，时分秒）（参见第 6.10 节 “时间显示格式及参考时间”）。 |
| 时间显示格式 > 时间 | 无 | 将时间设置为绝对时间-日期格式（时分秒格式）（参见第 6.10 节 “时间显示格式及参考时间”）。 |
| 时间显示格式 > 自捕获开始的秒数 | 无 | 将时间戳设置为从捕获开始计时的秒数格式（参见第 6.10 节 “时间显示格式及参考时间”）。 |
| 时间显示格式 > 自上次捕获包的秒数 | 无 | 将时间戳设置为从上次捕获包开始计时的秒数格式（参见第 6.10 节 “时间显示格式及参考时间”）。 |
| 时间显示格式 > 自上次显示包的秒数 | 无 | 将时间戳设置为从上次显示包开始计时的秒数格式（参见第 6.10 节 “时间显示格式及参考时间”）。 |
| 时间显示格式 > 精度 | 无 | 选择数据包中时间戳的显示精度（参见第 6.10 节 “时间显示格式及参考时间”）。 |
| 名称解析 > 解析名称 | 无 | 仅对当前选定的数据包进行解析（参见第 7.6 节 “名称解析”）。 |
| 名称解析 > 启用 MAC 层解析 | 无 | 是否解析 MAC 地址。 |
| 名称解析 > 启用网络层解析 | 无 | 是否解析网络层地址（IP 地址）（参见第 7.6 节 “名称解析”）。 |
| 名称解析 > 启用传输层解析 | 无 | 是否解析传输层地址（参见第 7.6 节 “名称解析”）。 |
| 以彩色显示数据包列表 | 无 | 以彩色方式显示数据包。请注意，这可能会降低捕获和加载数据包文件的速度。 |
| 实时捕获时自动滚动 | 无 | 控制实时捕获时是否自动滚动。如果启用，新数据进入时面板会向上滚动，使您始终能看到最后的数据。反之，您无法看到满屏以后的数据，除非手动滚动。 |
| 放大 (Ctrl++) | 无 | 增大字体。 |
| 缩小 (Ctrl+-) | 无 | 缩小字体。 |
| 恢复正常大小 (Ctrl+=) | 无 | 恢复字体到正常大小。 |
| 重置所有列宽 | 无 | 重置所有列宽。除非数据包非常大，否则通常会立即更改。 |
| 展开子分支 | 无 | 展开子分支。 |
| 展开所有 | 无 | 展开所选数据包的所有分支。 |
| 收缩所有 | 无 | 收缩所有数据包的所有分支。 |
| 包色彩显示设置... | 无 | 打开一个对话框，让您可以通过过滤表达式来用不同的颜色显示数据包。这对定位特定类型的数据包非常有用（参见第 9.3 节 “包色彩显示设置”）。 |
| 在新窗口中显示数据包 | 无 | 在新窗口中显示当前数据包（新窗口仅包含视图和字节视图两个面板）。 |
| 重新加载 (Ctrl+R) | 无 | 重新加载当前捕获文件。 |

### 跳转菜单
Wireshark 的“跳转”菜单包含以下项目：

| 菜单项 | 快捷键 | 描述 |
| --- | --- | --- |
| 返回 | Alt+Left | 跳转到最近浏览的数据包，类似于浏览器中的页面历史记录。 |
| 前进 | Alt+Right | 跳转到下一个最近浏览的数据包，类似于浏览器。 |
| 跳转到指定数据包 (Ctrl+G) | 无 | 打开一个对话框，输入指定的数据包序号，然后跳转到对应的数据包（参见第 6.8 节 “跳转到指定的数据包”）。 |
| 跳转到对应的应答数据包 | 无 | 跳转到当前数据包的应答数据包。如果不存在，该选项将变为灰色。 |
| 上一个数据包 (Ctrl+Up) | 无 | 移动到数据包列表中的前一个数据包，即使数据包列表面板不是当前焦点也是可用的。 |
| 下一个数据包 (Ctrl+Down) | 无 | 移动到数据包列表中的后一个数据包，同上。 |
| 第一个数据包 | 无 | 移动到列表中的第一个数据包。 |
| 最后一个数据包 | 无 | 移动到列表中的最后一个数据包。 |

### 捕获菜单
Wireshark 的“捕获”菜单包含以下项目：

| 菜单项 | 快捷键 | 说明 |
| --- | --- | --- |
