+---+---+---+-------------------+------------+-----+-----------+---------+---+
| 1 |   | \ |                   | \ | 0.. | untPaymen | 约成功  |   |
| . |   | - |                   |            | 1\] | tTypeCode | 时必填  |   |
|   |   | D |                   |            |     |           |         |   |
|   |   | e |                   |            |     |           |         |   |
|   |   | b |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | r |                   |            |     |           |         |   |
|   |   | A |                   |            |     |           |         |   |
|   |   | c |                   |            |     |           |         |   |
|   |   | c |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | u |                   |            |     |           |         |   |
|   |   | n |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | T |                   |            |     |           |         |   |
|   |   | y |                   |            |     |           |         |   |
|   |   | p |                   |            |     |           |         |   |
|   |   | e |                   |            |     |           |         |   |
|   |   |   |                   |            |     |           |         |   |
|   |   | 付 |                  |            |     |           |         |   |
|   |   | 款 |                  |            |     |           |         |   |
|   |   | 人 |                  |            |     |           |         |   |
|   |   | 账 |                  |            |     |           |         |   |
|   |   | 户 |                  |            |     |           |         |   |
|   |   | 类 |                  |            |     |           |         |   |
|   |   | 型 |                  |            |     |           |         |   |
+---+---+---+-------------------+------------+-----+-----------+---------+---+
| 1 |   | \ |                   | \ | 0.. |           |         |   |
| . |   | - |                   |            | 1\] |           |         |   |
|   |   | D |                   |            |     |           |         |   |
|   |   | e |                   |            |     |           |         |   |
|   |   | b |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | r |                   |            |     |           |         |   |
|   |   | D |                   |            |     |           |         |   |
|   |   | e |                   |            |     |           |         |   |
|   |   | p |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | s |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | N |                   |            |     |           |         |   |
|   |   | a |                   |            |     |           |         |   |
|   |   | m |                   |            |     |           |         |   |
|   |   | e |                   |            |     |           |         |   |
|   |   |   |                   |            |     |           |         |   |
|   |   | 付 |                  |            |     |           |         |   |
|   |   | 款 |                  |            |     |           |         |   |
|   |   | 人 |                  |            |     |           |         |   |
|   |   | 开 |                  |            |     |           |         |   |
|   |   | 户 |                  |            |     |           |         |   |
|   |   | 行 |                  |            |     |           |         |   |
|   |   | 行 |                  |            |     |           |         |   |
|   |   | 名 |                  |            |     |           |         |   |
+---+---+---+-------------------+------------+-----+-----------+---------+---+
| 1 |   | \ |                   | \ | 0.. | eCurrency |         |   |
| . |   | - |                   |            | 1\] | AndAmount |         |   |
|   |   | S |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | n |                   |            |     |           |         |   |
|   |   | g |                   |            |     |           |         |   |
|   |   | l |                   |            |     |           |         |   |
|   |   | e |                   |            |     |           |         |   |
|   |   | T |                   |            |     |           |         |   |
|   |   | r |                   |            |     |           |         |   |
|   |   | a |                   |            |     |           |         |   |
|   |   | n |                   |            |     |           |         |   |
|   |   | s |                   |            |     |           |         |   |
|   |   | a |                   |            |     |           |         |   |
|   |   | c |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | n |                   |            |     |           |         |   |
|   |   | A |                   |            |     |           |         |   |
|   |   | m |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | u |                   |            |     |           |         |   |
|   |   | n |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | L |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | m |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   |   |                   |            |     |           |         |   |
|   |   | 单 |                  |            |     |           |         |   |
|   |   | 笔 |                  |            |     |           |         |   |
|   |   | 业 |                  |            |     |           |         |   |
|   |   | 务 |                  |            |     |           |         |   |
|   |   | 金 |                  |            |     |           |         |   |
|   |   | 额 |                  |            |     |           |         |   |
|   |   | 上 |                  |            |     |           |         |   |
|   |   | 限 |                  |            |     |           |         |   |
+---+---+---+-------------------+------------+-----+-----------+---------+---+
| 1 |   | \ |                   | \ | 0.. | mericText |         |   |
| . |   | - |                   |            | 1\] |           |         |   |
|   |   | [ |                   |            |     |           |         |   |
|   |   | D |                   |            |     |           |         |   |
|   |   | a |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | l |                   |            |     |           |         |   |
|   |   | y |                   |            |     |           |         |   |
|   |   | ] |                   |            |     |           |         |   |
|   |   | ( |                   |            |     |           |         |   |
|   |   | j |                   |            |     |           |         |   |
|   |   | a |                   |            |     |           |         |   |
|   |   | v |                   |            |     |           |         |   |
|   |   | a |                   |            |     |           |         |   |
|   |   | s |                   |            |     |           |         |   |
|   |   | c |                   |            |     |           |         |   |
|   |   | r |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | p |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | : |                   |            |     |           |         |   |
|   |   | v |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | i |                   |            |     |           |         |   |
|   |   | d |                   |            |     |           |         |   |
|   |   | ( |                   |            |     |           |         |   |
|   |   | 0 |                   |            |     |           |         |   |
|   |   | ) |                   |            |     |           |         |   |
|   |   | ) |                   |            |     |           |         |   |
|   |   | T |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   | a |                   |            |     |           |         |   |
|   |   | l |                   |            |     |           |         |   |
|   |   | C |                   |            |     |           |         |   |
|   |   | o |                   |            |     |           |         |   |
|   |   | u |                   |            |     |           |         |   |
|   |   | n |                   |            |     |           |         |   |
|   |   | t |                   |            |     |           |         |   |
|   |   |   |                   |            |     |           |         |   |
|   |   | 日 |                  |            |     |           |         |   |
|   |   | 累 |                  |            |     |           |         |   |
|   |   | 计 |                  |            |     |           |         |   |
|   |   | 业 |                  |            |     |           |         |   |
|   |   | 务 |                  |            |     |           |         |   |
