### Impact on Phone Battery Life and Performance Overhead

The introduction of additional cryptographic functions, such as those used in TLS-OBC and the login ticket issuance, signature, and verification, can have an impact on phone battery life. Additionally, the overhead introduced during the login process, including communication with the phone and additional round trips between the browser and server, can also affect performance. Below, we discuss several of these issues.

#### Cryptographic Overhead

A key concern is the use of TLS-OBC, as every connection to the login service will incur a certain performance penalty. If the latency and overhead introduced by TLS-OBC are too significant, this will result in slower load times for the login page. For a detailed discussion of TLS-OBC performance, we refer the reader to [13]. This study shows that the overhead is negligible once the browser has generated a client certificate (and very small for certain key types even when a new client certificate needs to be generated).

The cryptographic overhead during the login process, which includes generating, checking, and signing the login ticket, is relatively minor compared to the "human-scale" operations performed during login, such as typing a username and password. Additionally, the overhead is minimal compared to the additional round trips between the browser and server. In our test setup, which included 1000 runs, the typical time for login ticket generation and verification was about 1 millisecond. We also examined the timing of other cryptographic operations, but they incurred delays of approximately the same order of magnitude, so we do not report them separately.

### Usability, Deployability, and Security Comparison

Below is a comparison of various authentication schemes in terms of usability, deployability, and security. The table below summarizes the key features and requirements of each scheme.

| Scheme | Passwords | Google 2-Step Verification (2SV) | PhoneAuth – Strict | PhoneAuth – Opportunistic |
|--------|-----------|---------------------------------|--------------------|--------------------------|
| **Usability** | y | y | y | y |
| **Deployability** | s | s | s | s |
| **Security** | e | e | e | e |
| **Effectiveness** | l | l | l | l |
| **Cryptographic Operations** | t | t | t | t |
| **Number of Cryptographic Operations** | o | o | o | o |
| **Verification Required** | f | f | f | f |
| **Login Time** | f | f | f | f |
| **Password Strength** | r | r | r | r |
| **Recovery Options** | e | e | e | e |
| **Latency** | V | V | V | V |
| **Overhead** | O | O | O | O |
| **Network Latency** | L | L | L | L |
| **Ticket Generation** | R | R | R | R |
| **User ID** | G | G | G | G |
| **Ticket Verification** | d | d | d | d |
| **Browser-Side Operations** | e | e | e | e |
| **Ticket Issuance** | l | l | l | l |
| **Phone-Side Operations** | t | t | t | t |
| **Ticket Signature** | o | o | o | o |
| **Ticket Verification** | r | r | r | r |
| **Phone-Side Security** | h | h | h | h |
| **Ticket Issuance** | P | P | P | P |
| **Browser-Side Operations** | o | o | o | o |
| **Ticket Verification** | t | t | t | t |
| **Phone-Side Security** | n | n | n | n |
| **Ticket Issuance** | i | i | i | i |
| **Ticket Verification** | s | s | s | s |
| **Password Strength** | y | y | y | y |
| **Ticket Generation** | c | c | c | c |
| **Request Generation** | T | T | T | T |
| **Ticket Verification** | i | i | i | i |
| **Ticket Issuance** | c | c | c | c |
| **Ticket Verification** | E | E | E | E |

This table provides a comprehensive overview of the different aspects of each authentication scheme, allowing for a more informed decision based on the specific requirements and constraints of the system.
