| MacBook 2015 12"     | 12 inch   | 2304 x 1440 px | 1280 x 800 px | 226 ppi | 113 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook 2016 12"     | 12 inch   | 2304 x 1440 px | 1280 x 800 px | 226 ppi | 113 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook 2017 12"     | 12 inch   | 2304 x 1440 px | 1280 x 800 px | 226 ppi | 113 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Air 2014 11" | 11.6 inch | 1366 x 768 px  | 1366 x 768 px | 135 ppi | 135 ppi | 1.0 mdpi  | OS X Mavericks  |
| MacBook Air 2014 13" | 13.3 inch | 1440 x 900 px  | 1440 x 900 px | 128 ppi | 128 ppi | 1.0 mdpi  | OS X Mavericks  |
| MacBook Air 2015 11" | 11.6 inch | 1366 x 768 px  | 1366 x 768 px | 135 ppi | 135 ppi | 1.0 mdpi  | OS X El Capitan |
| MacBook Air 2015 13" | 13.3 inch | 1440 x 900 px  | 1440 x 900 px | 128 ppi | 128 ppi | 1.0 mdpi  | macOS Sierra    |
| MacBook Air 2017 13" | 13.3 inch | 1440 x 900 px  | 1440 x 900 px | 128 ppi | 128 ppi | 1.0 mdpi  | macOS Mojave    |
| MacBook Air 2018 13" | 13.3 inch | 2560 x 1600 px | 1280 x 800 px | 227 ppi | 113 ppi | 2.0 xhdpi | macOS Mojave    |
| MacBook Air 2020 13" | 13.3 inch | 2560 x 1600 px | 1280 x 800 px | 227 ppi | 114 ppi | 2 xhdpi   | macOS Catalina  |
| MacBook Pro 13" 2018 | 13.3 inch | 2560 x 1600 px | 1280 x 800 px | 227 ppi | 113 ppi | 2.0 xhdpi | macOS Mojave    |
| MacBook Pro 15" 2018 | 15.4 inch | 2880 x 1800 px | 1440 x 900 px | 220 ppi | 112 ppi | 2.0 xhdpi | macOS Mojave    |
| MacBook Pro 16" 2019 | 16 inch   | 3072 x 1920 px | 1536 x 960 px | 226 ppi | 113 ppi | 2.0 xhdpi | macOS Catalina  |
| MacBook Pro 2014 13" | 13.4 inch | 2560 x 1600 px | 1280 x 800 px | 227 ppi | 113 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Pro 2014 15" | 15.4 inch | 2880 x 1800 px | 1440 x 900 px | 220 ppi | 112 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Pro 2015 13" | 13.4 inch | 2560 x 1600 px | 1280 x 800 px | 227 ppi | 113 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Pro 2015 15" | 15.4 inch | 2880 x 1800 px | 1440 x 900 px | 220 ppi | 112 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Pro 2016 13" | 13.4 inch | 2560 x 1600 px | 1280 x 800 px | 227 ppi | 113 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Pro 2016 15" | 15.4 inch | 2880 x 1800 px | 1440 x 900 px | 220 ppi | 112 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Pro 2017 13" | 13.4 inch | 2560 x 1600 px | 1280 x 800 px | 227 ppi | 113 ppi | 2.0 xhdpi | macOS Sierra    |
| MacBook Pro 2017 15" | 15.4 inch | 2880 x 1800 px | 1440 x 900 px | 220 ppi | 112 ppi | 2.0 xhdpi | macOS Sierra    |
{.show-header}
### Smart Watch
| DEVICES                             | SCREEN SIZE          | RESOLUTION              | VIEWPORT                | DENSITY            | DEVICE DENSITY     | RATIO               | OS                               |
|-------------------------------------|----------------------|-------------------------|-------------------------|--------------------|--------------------|---------------------|----------------------------------|
| Apple Watch SE (40mm) (2020)        | 1.57 inch | 394 x 324 px | 197 x 162 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 7.0                      |
| Apple Watch SE (44mm) (2020)        | 1.78 inch | 448 x 368 px | 224 x 184 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 7.0                      |
| Apple Watch Series 3 (38mm)         | 1.5 inch  | 340 x 272 px | 170 x 136 px | 290 ppi | 145 ppi | 2 xhdpi  | watchOS 4.0                      |
| Apple Watch Series 3 (42mm)         | 1.65 inch | 390 x 312 px | 195 x 156 px | 303 ppi | 152 ppi | 2 xhdpi  | watchOS 4.0                      |
| Apple Watch Series 4 (40mm)         | 1.57 inch | 394 x 324 px | 197 x 162 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 5.0                      |
| Apple Watch Series 4 (44mm)         | 1.78 inch | 448 x 368 px | 224 x 184 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 5.0                      |
| Apple Watch Series 5 (40mm)  (2019) | 1.57 inch | 394 x 324 px | 197 x 162 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 6.0                      |
| Apple Watch Series 5 (44mm)  (2019) | 1.78 inch | 448 x 368 px | 224 x 184 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 6.0                      |
| Apple Watch Series 6 (40mm)  (2020) | 1.57 inch | 394 x 324 px | 197 x 162 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 7.0                      |
| Apple Watch Series 6 (44mm)  (2020) | 1.78 inch | 448 x 368 px | 224 x 184 px | 326 ppi | 163 ppi | 2 xhdpi  | watchOS 7.0                      |
| Asus Zenwatch 2 (2015)              | 1.63 inch | 320 x 320 px | 213 x 213 px | 278 ppi | 185 ppi | 1.5 hdpi |                                  |
| Asus Zenwatch 3 (2016)              | 1.39 inch | 400 x 400 px | 267 x 267 px | 287 ppi | 191 ppi | 1.5 hdpi | Android Wear OS 2.1              |
| Asus Zenwatch 3 (2016)              | 1.39 inch | 400 x 400 px | 267 x 267 px | 287 ppi | 191 ppi | 1.5 hdpi | Android Wear OS 2.1              |
| Huawei Watch GT (2018)              | 1.39 inch | 454 x 454 px | 227 x 227 px | 326 ppi | 163 ppi | 2 xhdpi  |                                  |
| Huawei Watch Magic (2018)           | 1.2 inch  | 390 x 390 px | 195 x 195 px | 326 ppi | 163 ppi | 2 xhdpi  |                                  |
| LG G Watch R (2015)                 | 1.3 inch  | 320 x 320 px | 213 x 213 px | 245 ppi | 163 ppi | 1.5 hdpi | Android Wear OS 1.0              |
| LG Watch Sport (2017)               | 1.38 inch | 480 x 480 px | 240 x 240 px | 348 ppi | 174 ppi | 2 xhdpi  | Android Wear 2.0                 |
| LG Watch Urbane 2nd Edition (2016)  | 1.38 inch | 480 x 480 px | 240 x 240 px | 348 ppi | 174 ppi | 2 xhdpi  | Android Wear 2.0                 |
| LG Watch W7 (2018)                  | 1.2 inch  | 360 x 360 px | 240 x 240 px | 300 ppi | 200 ppi | 1.5 hdpi | Android Wear OS 2.0              |
| Samsung Galaxy Watch (2018)         | 1.3 inch  | 360 x 360 px | 240 x 240 px | 278 ppi | 185 ppi | 1.5 hdpi | Tizen-based wearable OS 4.0 |
{.show-header}
